hour_ending,cooling,poolpump,plugload,other,total
1.0,0.0,183.65256,6341.19524274,14796.1222331,21320.9700358
2.0,0.0,141.2712,6065.55635097,14152.9648189,20359.7923699
3.0,0.0,178.001712,5338.43576211,12456.3501116,17972.7875857
4.0,0.0,203.430528,4996.06847211,11657.4931016,16856.9921017
5.0,0.0,200.605104,4901.62927731,11437.1349804,16539.3693617
6.0,0.0,268.41528,4858.32652692,11336.0952295,16462.8370364
7.0,0.0,494.4492,4902.48419118,11439.1297794,16836.0631706
8.0,0.0,647.022096,5136.46884042,11985.093961,17768.5848974
9.0,0.0,791.11872,5172.25918785,12068.6047716,18031.9826795
10.0,0.0,1087.78824,5466.41503029,12754.968404,19309.1716743
11.0,0.0,1310.996736,5417.30419968,12640.3764659,19368.6774016
12.0,0.0,1418.362848,5368.55313291,12526.6239768,19313.5399577
13.0,0.0,1319.473008,5333.10936465,12443.9218508,19096.5042235
14.0,0.0,1268.615376,5080.3324422,11854.1090318,18203.05685
15.0,0.0,1147.122144,4836.51582162,11285.2035838,17268.8415494
16.0,0.0,957.818736,4820.68098723,11248.2556369,17026.7553601
17.0,0.0,796.769568,6126.20569911,14294.4799646,21217.4552317
18.0,0.0,556.608528,7299.69693885,17032.6261906,24888.9316575
19.0,0.0,423.8136,8322.46728213,19419.090325,28165.3712071
20.0,0.0,387.083088,8091.08747736,18879.2041138,27357.3746792
21.0,0.0,310.79664,7557.03475068,17633.0810849,25500.9124756
22.0,0.0,223.208496,6965.53108152,16252.9058569,23441.6454344
23.0,0.0,155.39832,6346.29919995,14808.0314666,21309.7289865
24.0,0.0,172.350864,5321.626968,12417.129592,17911.107424
25.0,0.0,183.65256,5186.85596748,12102.6639241,17473.1724516
26.0,0.0,141.2712,4659.10305504,10871.2404618,15671.6147168
27.0,0.0,178.001712,4168.78419741,9727.16312729,14073.9490367
28.0,0.0,203.430528,4167.17213496,9723.40164824,14094.0043112
29.0,0.0,200.605104,4396.12569723,10257.6266269,14854.3574281
30.0,0.0,268.41528,4751.14632528,11086.0080923,16105.5696976
31.0,0.0,494.4492,5366.08719684,12520.870126,18381.4065228
32.0,0.0,647.022096,5320.16971857,12413.7293433,18380.9211579
33.0,0.0,791.11872,5245.1338038,12238.6455422,18274.898066
