hour_ending,cooling,poolpump,plugload,other,total
1.0,0.0,206.65008,3880.86870987,9055.36032303,13142.8791129
2.0,0.0,158.9616,3443.00333175,8033.67444075,11635.6393725
3.0,0.0,200.291616,3434.42805564,8013.66546316,11648.3851348
4.0,0.0,228.904704,3441.81998196,8030.91329124,11701.6379772
5.0,0.0,225.725472,3428.42167404,7999.65057276,11653.7977188
6.0,0.0,302.02704,3600.50644674,8401.18170906,12303.7151958
7.0,0.0,556.3656,3980.72432799,9288.35676531,13825.4466933
8.0,0.0,728.044128,4684.0143363,10929.3667847,16341.425249
9.0,0.0,890.18496,4651.8018981,10854.2044289,16396.191287
10.0,0.0,1224.00432,4973.33130243,11604.4397057,17801.7753281
11.0,0.0,1475.163648,4655.54630136,10862.9413698,16993.6513192
12.0,0.0,1595.974464,4723.18974918,11020.7760814,17339.9402946
13.0,0.0,1484.701344,4968.99523668,11594.3222189,18048.0187996
14.0,0.0,1427.475168,4189.23440019,9774.88026711,15391.5898353
15.0,0.0,1290.768192,2966.72737944,6922.36388536,11179.8594568
16.0,0.0,1077.759648,3411.87846393,7961.04974917,12450.6878611
17.0,0.0,896.543424,4005.55215183,9346.28835427,14248.3839301
18.0,0.0,626.308704,5308.94683875,12387.5426238,18322.7981665
19.0,0.0,476.8848,5398.38460398,12596.2307426,18471.5001466
20.0,0.0,435.554784,5449.32353475,12715.0882477,18599.9665665
21.0,0.0,349.71552,5152.04298972,12021.4336427,17523.1921524
22.0,0.0,251.159328,5179.88713242,12086.403309,17517.4497694
23.0,0.0,174.85776,4472.40468384,10435.610929,15082.8733728
24.0,0.0,193.933152,3602.85694212,8406.66619828,12203.4562924
25.0,0.0,206.65008,3326.94020883,7762.86048727,11296.4507761
26.0,0.0,158.9616,3026.46716418,7061.75671642,10247.1854806
27.0,0.0,200.291616,2935.95817051,6850.56906451,9986.81885102
28.0,0.0,228.904704,2674.17589327,6239.74375096,9142.82434823
29.0,0.0,225.725472,3000.81007926,7001.89018494,10228.4257362
30.0,0.0,302.02704,3296.51710617,7691.87324773,11290.4173939
31.0,0.0,556.3656,3655.98092883,8530.62216727,12742.9686961
32.0,0.0,728.044128,3939.33589965,9191.78376585,13859.1637935
33.0,0.0,890.18496,4300.82201658,10035.251372,15226.2583486
34.0,0.0,1224.00432,3505.43270565,8179.34297985,12908.7800055
35.0,0.0,1475.163648,3247.85542644,7578.32932836,12301.3484028
36.0,0.0,1595.974464,3036.47143983,7085.10002627,11717.5459301
37.0,0.0,1484.701344,2872.96296729,6703.58025701,11061.2445683
38.0,0.0,1427.475168,3137.79564306,7321.52316714,11886.7939782
39.0,0.0,1290.768192,3441.56161728,8030.31044032,12762.6402496
40.0,0.0,1077.759648,3035.02526697,7081.72562293,11194.5105379
41.0,0.0,896.543424,3594.51269613,8387.19629097,12878.2524111
42.0,0.0,626.308704,4478.35726638,10449.5002882,15554.1662586
43.0,0.0,476.8848,5250.26604222,12250.6207652,17977.7716074
44.0,0.0,435.554784,5047.59922335,11777.7315211,17260.8855285
45.0,0.0,349.71552,5191.39189329,12113.247751,17654.3551643
46.0,0.0,251.159328,4556.42147712,10631.6501133,15439.2309184
47.0,0.0,174.85776,3894.3523542,9086.8221598,13156.032274
48.0,0.0,193.933152,3432.29652678,8008.69189582,11634.9215746
49.0,0.0,206.65008,3281.10784443,7655.91830367,11143.6762281
50.0,0.0,158.9616,2931.77022438,6840.79719023,9931.52901461
51.0,0.0,200.291616,3031.61540748,7073.76928412,10305.6763076
52.0,0.0,228.904704,2790.48242914,6511.125668,9530.51280114
53.0,0.0,225.725472,2986.17282255,6967.73658595,10179.6348805
54.0,0.0,302.02704,3524.71863099,8224.34347231,12051.0891433
55.0,0.0,556.3656,3833.04226494,8943.76528486,13333.1731498
56.0,0.0,728.044128,3954.2990754,9226.6978426,13909.041046
57.0,0.0,890.18496,3729.66636651,8702.55485519,13322.4061817
58.0,0.0,1224.00432,4000.06722213,9333.49018497,14557.5617271
59.0,0.0,1475.163648,3602.33311761,8405.44394109,13482.9407067
60.0,0.0,1595.974464,2969.20989885,6928.15643065,11493.3407935
61.0,0.0,1484.701344,2757.41539908,6433.96926452,10676.0860076
62.0,0.0,1427.475168,3026.81601987,7062.57071303,11516.8619009
63.0,0.0,1290.768192,3109.58185524,7255.69099556,11656.0410428
64.0,0.0,1077.759648,3198.02833341,7462.06611129,11737.8540927
65.0,0.0,896.543424,3904.45645407,9110.39839283,13911.3982709
66.0,0.0,626.308704,4672.17712884,10901.746634,16200.2324668
67.0,0.0,476.8848,5712.74515383,13329.7386923,19519.3686461
68.0,0.0,435.554784,5364.21792654,12516.5084953,18316.2812058
69.0,0.0,349.71552,5116.06385619,11937.4823311,17403.2617073
70.0,0.0,251.159328,4996.72645437,11659.0283935,16906.9141759
71.0,0.0,174.85776,3903.74580639,9108.74021491,13187.3437813
72.0,0.0,193.933152,3535.84566039,8250.30654091,11980.0853533
73.0,0.0,206.65008,3246.65354637,7575.52494153,11028.8285679
74.0,0.0,158.9616,2970.27523044,6930.64220436,10059.8790348
75.0,0.0,200.291616,2916.32154861,6804.75028008,9921.36344469
76.0,0.0,228.904704,2861.07300028,6675.83700065,9765.81470493
77.0,0.0,225.725472,2952.78940134,6889.84193646,10068.3568098
78.0,0.0,302.02704,3211.10885889,7492.58733741,11005.7232363
79.0,0.0,556.3656,3517.04047995,8206.42778655,12279.8338665
80.0,0.0,728.044128,4396.90876578,10259.4537868,15384.4066806
81.0,0.0,890.18496,4471.84803054,10434.3120713,15796.3450618
82.0,0.0,1224.00432,4180.54488813,9754.60473897,15159.1539471
83.0,0.0,1475.163648,4214.27520699,9833.30881631,15522.7476713
84.0,0.0,1595.974464,3457.37259447,8067.20272043,13120.5497789
85.0,0.0,1484.701344,3685.26378387,8598.94882903,13768.9139569
86.0,0.0,1427.475168,4196.38730568,9791.57037992,15415.4328536
