hour_ending,cooling,poolpump,plugload,other,total
1.0,0.0,124.04574,448.286279625,1046.00131913,1618.33333875
2.0,0.0,95.4198,432.138504093,1008.32317622,1535.88148031
3.0,0.0,120.228948,381.068721957,889.160351233,1390.45802119
4.0,0.0,137.404512,354.105983757,826.247295433,1317.75779119
5.0,0.0,135.496116,296.334325569,691.446759661,1123.27720123
6.0,0.0,181.29762,296.110459365,690.924405185,1168.33248455
7.0,0.0,333.9693,342.289350756,798.675151764,1474.93380252
8.0,0.0,437.022684,397.095669387,926.556561903,1760.67491529
9.0,0.0,534.35088,457.131510609,1066.64019142,2058.12258203
10.0,0.0,734.73246,354.645751029,827.506752401,1916.88496343
11.0,0.0,885.495744,77.502802143,180.839871667,1143.83841781
12.0,0.0,958.014792,224.017876341,522.708378129,1704.74104647
13.0,0.0,891.220932,302.317414482,705.407300458,1898.94564694
14.0,0.0,856.869804,260.405542449,607.612932381,1724.88827883
15.0,0.0,774.808776,222.11894763,518.27754447,1515.2052681
16.0,0.0,646.946244,173.644515723,405.170536687,1225.76129641
17.0,0.0,538.167672,273.398729913,637.930369797,1449.49677171
18.0,0.0,375.954012,694.069053843,1619.49445897,2689.51752481
19.0,0.0,286.2594,899.970417507,2099.93097418,3286.16079169
20.0,0.0,261.450252,707.651973147,1651.18793734,2620.29016249
21.0,0.0,209.92356,664.310421111,1550.05764926,2424.29163037
22.0,0.0,150.763284,695.464693113,1622.7509506,2468.97892771
23.0,0.0,104.96178,520.676727564,1214.91236432,1840.55087188
24.0,0.0,116.412156,382.241358504,891.896503176,1390.55001768
25.0,0.0,124.04574,432.216791901,1008.50584777,1564.76837967
26.0,0.0,95.4198,308.971296972,720.933026268,1125.32412324
27.0,0.0,120.228948,318.301813482,742.704231458,1181.23499294
28.0,0.0,137.404512,334.138144566,779.655670654,1251.19832722
29.0,0.0,135.496116,311.741438532,727.396689908,1174.63424444
30.0,0.0,181.29762,311.917757079,727.808099851,1221.02347693
31.0,0.0,333.9693,487.590914517,1137.71213387,1959.27234839
32.0,0.0,437.022684,551.974068258,1287.9394926,2276.93624486
33.0,0.0,534.35088,606.193431096,1414.45133922,2554.99565032
34.0,0.0,734.73246,656.019368181,1530.71185909,2921.46368727
35.0,0.0,885.495744,454.732129065,1061.04163449,2401.26950755
36.0,0.0,958.014792,269.576840466,629.012627754,1856.60426022
37.0,0.0,891.220932,224.911609776,524.793756144,1640.92629792
38.0,0.0,856.869804,330.504594555,771.177387295,1958.55178585
39.0,0.0,774.808776,462.272577369,1078.63601386,2315.71736723
40.0,0.0,646.946244,644.434277832,1503.67998161,2795.06050344
41.0,0.0,538.167672,450.890430678,1052.07767158,2041.13577426
42.0,0.0,375.954012,624.885389859,1458.06590967,2458.90531153
43.0,0.0,286.2594,885.681061956,2066.58914456,3238.52960652
44.0,0.0,261.450252,847.25435406,1976.92682614,3085.6314322
45.0,0.0,209.92356,814.331405055,1900.10661179,2924.36157685
46.0,0.0,150.763284,797.194417038,1860.12030642,2808.07800746
47.0,0.0,104.96178,721.500475839,1683.50111029,2509.96336613
48.0,0.0,116.412156,544.937159517,1271.52003887,1932.86935439
49.0,0.0,124.04574,468.378314085,1092.88273286,1685.30678695
50.0,0.0,95.4198,485.901255639,1133.76959649,1715.09065213
51.0,0.0,120.228948,405.003909984,945.009123296,1470.24198128
52.0,0.0,137.404512,392.461622343,915.743785467,1445.60991981
53.0,0.0,135.496116,470.359494915,1097.50548813,1703.36109905
54.0,0.0,181.29762,424.859553804,991.338958876,1597.49613268
55.0,0.0,333.9693,413.177249805,964.080249545,1711.22679935
56.0,0.0,437.022684,649.287960432,1515.00524101,2601.31588544
57.0,0.0,534.35088,466.363358859,1088.18117067,2088.89540953
58.0,0.0,734.73246,395.547392604,922.943916076,2053.22376868
59.0,0.0,885.495744,184.897210233,431.426823877,1501.81977811
60.0,0.0,958.014792,539.170268499,1258.06395983,2755.24902033
61.0,0.0,891.220932,388.588311915,906.706061135,2186.51530505
62.0,0.0,856.869804,280.638435039,654.823015091,1792.33125413
63.0,0.0,774.808776,463.448775555,1081.3804763,2319.63802785
64.0,0.0,646.946244,400.893118665,935.417276885,1983.25663955
65.0,0.0,538.167672,378.210876891,882.492046079,1798.87059497
66.0,0.0,375.954012,634.027541526,1479.39759689,2489.37915042
67.0,0.0,286.2594,687.410216412,1603.95717163,2577.62678804
68.0,0.0,261.450252,629.55384882,1468.95898058,2359.9630814
69.0,0.0,209.92356,613.687049946,1431.93644987,2255.54705982
70.0,0.0,150.763284,559.553671554,1305.62523363,2015.94218918
71.0,0.0,104.96178,578.041141884,1348.7626644,2031.76558628
72.0,0.0,116.412156,579.021860832,1351.05100861,2046.48502544
73.0,0.0,124.04574,496.846629393,1159.30880192,1780.20117131
74.0,0.0,95.4198,472.453668015,1102.39189204,1670.26536005
75.0,0.0,120.228948,375.245343837,875.572468953,1371.04676079
