hour_ending,cooling,poolpump,plugload,other,total
1.0,0.0,99.96987,4399.48766718,10265.4712234,14764.9287606
2.0,0.0,76.8999,4278.03518139,9982.08208991,14337.0171713
3.0,0.0,96.893874,3904.99423392,9111.65321248,13113.5413204
4.0,0.0,110.735856,3756.86919696,8766.02812624,12633.6331792
5.0,0.0,109.197858,3511.14282414,8192.66658966,11813.0072718
6.0,0.0,146.10981,3480.39780375,8120.92820875,11747.4358225
7.0,0.0,269.14965,3523.8822075,8222.3918175,12015.423675
8.0,0.0,352.201542,4228.70963214,9866.98914166,14447.9003158
9.0,0.0,430.63944,4687.98933138,10938.6417732,16057.2705446
10.0,0.0,592.12923,4545.61464678,10606.4341758,15744.1780526
11.0,0.0,713.631072,4401.32675511,10269.7624286,15384.7202557
12.0,0.0,772.074996,4245.86020431,9907.00714339,14924.9423437
13.0,0.0,718.245066,3912.2028894,9128.4734086,13758.921364
14.0,0.0,690.561102,3601.15521234,8402.69549546,12694.4118098
15.0,0.0,624.427188,3216.46902672,7505.09439568,11345.9906104
16.0,0.0,521.381322,3687.92936478,8605.16851782,12814.4792046
17.0,0.0,433.715436,4019.55469038,9378.96094422,13832.2310706
18.0,0.0,302.985606,5289.19769106,12341.4612791,17933.6445762
19.0,0.0,230.6997,5333.4643005,12444.7500345,18008.914035
20.0,0.0,210.705726,5322.3032703,12418.7076307,17951.716627
21.0,0.0,169.17978,5374.11149121,12539.5934795,18082.8847507
22.0,0.0,121.501842,5234.95865772,12214.9035347,17571.3640344
23.0,0.0,84.58989,4860.83828391,11341.9559958,16287.3841697
24.0,0.0,93.817878,4095.63854988,9556.48994972,13745.9463776
25.0,0.0,99.96987,3481.30647819,8123.04844911,11704.3247973
26.0,0.0,76.8999,3390.4934037,7911.1512753,11378.544579
27.0,0.0,96.893874,3417.10001847,7973.23337643,11487.2272689
28.0,0.0,110.735856,3165.70581105,7386.64689245,10663.0885595
29.0,0.0,109.197858,3284.60151438,7664.07020022,11057.8695726
30.0,0.0,146.10981,3375.2070102,7875.4830238,11396.799844
31.0,0.0,269.14965,3541.27871799,8262.98367531,12073.4120433
32.0,0.0,352.201542,3823.030848,8920.405312,13095.637702
33.0,0.0,430.63944,3940.54014168,9194.59366392,13565.7732456
34.0,0.0,592.12923,4155.61552407,9696.43622283,14444.1809769
35.0,110.522236635,713.631072,4043.645406,9435.172614,14302.9713286
36.0,184.452651681,772.074996,3494.21533989,8153.16912641,12603.912114
37.0,150.847917569,718.245066,3151.39947651,7353.26544519,11373.7579053
38.0,184.452651681,690.561102,2938.33439451,6856.11358719,10669.4617354
39.0,217.84794643,624.427188,2888.09034927,6738.87748163,10469.2429653
40.0,199.847938676,521.381322,2867.90102184,6691.76905096,10280.8993335
41.0,110.522236635,433.715436,3537.3965709,8253.9253321,12335.5595756
42.0,2.98708747661,302.985606,5254.13488383,12259.6480623,17819.7556396
43.0,0.0,230.6997,5325.57054699,12426.3312763,17982.6015233
44.0,0.0,210.705726,5179.66685484,12085.889328,17476.2619088
45.0,0.0,169.17978,5260.02389721,12273.3890935,17702.5927707
46.0,0.0,121.501842,4928.52754239,11499.8975989,16549.9269833
47.0,0.0,84.58989,4432.20308658,10341.807202,14858.6001786
48.0,0.0,93.817878,4093.92156267,9552.48364623,13740.2230869
49.0,0.0,99.96987,3668.1330783,8558.9771827,12327.080131
50.0,0.0,76.8999,3476.77866528,8112.48355232,11666.1621176
51.0,0.0,96.893874,3259.26450333,7604.95050777,10961.1088851
52.0,0.0,110.735856,3155.91211686,7363.79493934,10630.4429122
53.0,0.0,109.197858,3145.40197623,7339.27127787,10593.8711121
54.0,0.0,146.10981,3189.558231,7442.302539,10777.97058
55.0,0.0,269.14965,3261.55608261,7610.29752609,11141.0032587
56.0,0.0,352.201542,3552.93493809,8290.18152221,12195.3180023
57.0,0.0,430.63944,4093.93435635,9552.51349815,14077.0872945
58.0,0.0,592.12923,4223.09993898,9853.89985762,14669.1290266
59.0,0.0,713.631072,3929.77825395,9169.48259255,13812.8919185
60.0,150.847917569,772.074996,3764.82939765,8784.60192785,13472.3542391
