hour_ending,cooling,poolpump,plugload,other,total,,,,,,,,
1,0,149.03889,735.9971839,1717.326762,2602.362836,,38373180,1308206.815,4267887.463,5105643.91,11913169.12,22594907.31,0
2,0,114.6453,744.5689855,1737.327633,2596.541918,,,,,,,,
3,0,144.453078,743.515029,1734.868401,2622.836508,,,,,,,,
4,0,165.089232,772.7917867,1803.180836,2741.061854,,,,,,,,
5,0,162.796326,754.9931467,1761.650676,2679.440148,,,,,,,,
6,0,217.82607,710.3630745,1657.51384,2585.702985,,,,,,,,
7,0,401.25855,698.9301571,1630.837033,2731.02574,,,,,,,,
8,0,525.075474,651.3675892,1519.857708,2696.300771,,,,,,,,
9,0,642.01368,247.0978576,576.5616677,1465.673205,,,,,,,,
10,0,882.76881,125.8549638,293.6615822,1302.285356,,,,,,,,
11,0,1063.908384,92.89000537,216.7433459,1373.541735,,,,,,,,
12,0,1151.038812,38.89686991,90.75936313,1280.695045,,,,,,,,
13,0,1070.787102,5.706615459,13.31543607,1089.809154,,,,,,,,
14,0,1029.514794,63.82886166,148.9340105,1242.277666,,,,,,,,
15,0,930.919836,31.16845878,72.72640381,1034.814699,,,,,,,,
16,0,777.295134,339.6691748,792.561408,1909.525717,,,,,,,,
17,0,646.599492,231.2285055,539.5331794,1417.361177,,,,,,,,
18,0,451.702482,643.9451733,1502.538738,2598.186393,,,,,,,,
19,0,343.9359,964.6446188,2250.837444,3559.417963,,,,,,,,
20,0,314.128122,936.3047796,2184.711152,3435.144054,,,,,,,,
21,0,252.21966,934.1954536,2179.789392,3366.204505,,,,,,,,
22,0,181.139574,921.5497223,2150.282685,3252.971982,,,,,,,,
23,0,126.10983,878.8450782,2050.638516,3055.593424,,,,,,,,
24,0,139.867266,781.2014183,1822.803309,2743.871994,,,,,,,,
25,0,149.03889,722.7495196,1686.415546,2558.203955,,,,,,,,
26,0,114.6453,727.2867954,1697.002523,2538.934618,,,,,,,,
27,0,144.453078,753.5110108,1758.192359,2656.156447,,,,,,,,
28,0,165.089232,714.2612125,1666.609496,2545.95994,,,,,,,,
29,0,162.796326,763.3632665,1781.180955,2707.340548,,,,,,,,
30,0,217.82607,745.108052,1738.585455,2701.519577,,,,,,,,
31,0,401.25855,686.2244495,1601.190382,2688.673382,,,,,,,,
32,0,525.075474,618.3688635,1442.860681,2586.305019,,,,,,,,
33,0,642.01368,163.1558574,380.6970007,1185.866538,,,,,,,,
34,0,882.76881,41.85275069,97.65641827,1022.277979,,,,,,,,
35,0,840.7899453,28.02633151,65.39477352,934.2110503,,,,,,,,
36,0,688.3616842,22.94538947,53.53924211,764.8463158,,,,,,,,
37,0,726.5052216,24.21684072,56.50596168,807.228024,,,,,,,,
38,0,716.2333495,23.87444498,55.7070383,795.8148328,,,,,,,,
39,2.770771501,650.2609109,21.6753637,50.57584862,725.2828947,,,,,,,,
40,2.026385128,777.295134,45.70224241,106.6385656,931.6623271,,,,,,,,
41,0,646.599492,153.9417939,359.1975191,1159.738805,,,,,,,,
42,0,451.702482,514.7713828,1201.133226,2167.607091,,,,,,,,
43,0,343.9359,826.9563223,1929.564752,3100.456974,,,,,,,,
44,0,314.128122,854.1734483,1993.071379,3161.37295,,,,,,,,
45,0,252.21966,911.2672118,2126.290161,3289.777033,,,,,,,,
46,0,181.139574,933.5724561,2178.335731,3293.047761,,,,,,,,
47,0,126.10983,891.5508067,2080.285216,3097.945852,,,,,,,,
48,0,139.867266,828.8327842,1933.943163,2902.643213,,,,,,,,
49,0,149.03889,730.5174715,1704.540767,2584.097128,,,,,,,,
50,0,114.6453,745.5926763,1739.716245,2599.954221,,,,,,,,
51,0,144.453078,687.8748537,1605.041325,2437.369257,,,,,,,,
52,0,165.089232,692.4627889,1615.746507,2473.298528,,,,,,,,
53,0,162.796326,784.0175945,1829.374387,2776.188308,,,,,,,,
54,0,217.82607,725.4172289,1692.640201,2635.8835,,,,,,,,
55,0,401.25855,713.562797,1664.97986,2779.801207,,,,,,,,
56,0,525.075474,585.550801,1366.285202,2476.911477,,,,,,,,
57,0,642.01368,190.6146328,444.7674766,1277.395789,,,,,,,,
58,0,882.76881,10.7207358,25.0150502,918.504596,,,,,,,,
59,0,801.3233549,26.7107785,62.32514983,890.3592832,,,,,,,,
60,0,771.6321323,25.72107108,60.01583251,857.3690359,,,,,,,,
61,19.39002918,1070.787102,165.6884815,386.6064568,1642.472069,,,,,,,,
62,9.209498659,1029.514794,9.167754474,21.39142711,1069.283474,,,,,,,,
63,16.55277648,930.919836,34.55856526,80.63665226,1062.66783,,,,,,,,
64,17.06612957,777.295134,96.50693717,225.1828534,1116.051054,,,,,,,,
65,6.025741194,646.599492,196.6012374,458.7362205,1307.962691,,,,,,,,
66,0,451.702482,542.0243572,1264.7235,2258.450339,,,,,,,,
67,0,343.9359,983.1143015,2293.93337,3620.983572,,,,,,,,
68,0,314.128122,936.429752,2185.002755,3435.560629,,,,,,,,
69,0,252.21966,943.5008943,2201.502087,3397.222641,,,,,,,,
70,0,181.139574,916.8924552,2139.415729,3237.447758,,,,,,,,
71,0,126.10983,881.3139573,2056.399234,3063.823021,,,,,,,,
72,0,139.867266,841.116997,1962.606326,2943.590589,,,,,,,,
73,0,149.03889,755.3267336,1762.429045,2666.794669,,,,,,,,
74,0,114.6453,749.0852399,1747.86556,2611.5961,,,,,,,,
75,0,144.453078,732.5555911,1709.296379,2586.305048,,,,,,,,
76,0,165.089232,722.1495888,1685.015707,2572.254528,,,,,,,,
77,0,162.796326,727.534368,1697.580192,2587.910886,,,,,,,,
78,0,217.82607,727.4645748,1697.417341,2642.707986,,,,,,,,
79,0,401.25855,718.9220935,1677.484885,2797.665528,,,,,,,,
80,0,525.075474,628.4852683,1466.465626,2620.026368,,,,,,,,
81,0,642.01368,187.3629223,437.180152,1266.556754,,,,,,,,
82,0,882.76881,111.2825217,259.6592173,1253.710549,,,,,,,,
83,0,1063.908384,118.0605819,275.4746911,1457.443657,,,,,,,,
84,0,1151.038812,20.67702465,48.24639084,1219.962227,,,,,,,,
85,2.026385128,1070.787102,61.17010004,142.7302334,1276.713821,,,,,,,,
86,3.887351062,1029.514794,74.59805209,174.0621215,1282.062319,,,,,,,,
87,5.376123809,930.919836,96.86553826,226.0195893,1259.181087,,,,,,,,
88,5.003930622,777.295134,124.9515294,291.5535687,1198.804163,,,,,,,,
89,3.142964688,646.599492,286.7775377,669.1475879,1605.667582,,,,,,,,
90,0,451.702482,573.887905,1339.071778,2364.662165,,,,,,,,
91,0,343.9359,961.1485052,2242.679845,3547.764251,,,,,,,,
92,0,314.128122,1158.629146,2703.468007,4176.225275,,,,,,,,
93,0,252.21966,971.9833484,2267.961146,3492.164155,,,,,,,,
94,0,181.139574,932.12729,2174.963677,3288.230541,,,,,,,,
95,0,126.10983,912.5664413,2129.321696,3167.997968,,,,,,,,
96,0,139.867266,822.0282934,1918.066018,2879.961577,,,,,,,,
97,0,149.03889,781.4607626,1823.408446,2753.908099,,,,,,,,
98,0,114.6453,770.3417245,1797.464024,2682.451048,,,,,,,,
99,0,144.453078,807.1640297,1883.382736,2834.999844,,,,,,,,
100,0,165.089232,737.9865736,1721.968672,2625.044477,,,,,,,,
101,0,162.796326,850.4365176,1984.351874,2997.584718,,,,,,,,
102,0,217.82607,825.0155397,1925.036259,2967.877869,,,,,,,,
103,0,401.25855,837.4284529,1953.999723,3192.686726,,,,,,,,
104,0,525.075474,705.6228154,1646.453236,2877.151525,,,,,,,,
105,0,642.01368,303.5810769,708.3558462,1653.950603,,,,,,,,
106,0,882.76881,68.27317418,159.3040731,1110.346057,,,,,,,,
107,0,1063.908384,48.5237772,113.2221468,1225.654308,,,,,,,,
108,0,1151.038812,72.91731142,170.1403933,1394.096517,,,,,,,,
109,5.103256004,919.928016,30.6642672,71.5499568,1027.245496,,,,,,,,
110,12.41358326,1029.514794,14.94912458,34.88129068,1091.758793,,,,,,,,
111,16.43487024,930.919836,61.80821381,144.2191656,1153.382086,,,,,,,,
112,16.74636503,777.295134,125.8800477,293.7201113,1213.641658,,,,,,,,
113,8.319458208,646.599492,223.0298397,520.4029592,1398.351749,,,,,,,,
114,0,451.702482,435.4619199,1016.077813,1903.242215,,,,,,,,
115,0,343.9359,902.7762701,2106.477963,3353.190134,,,,,,,,
116,0,314.128122,935.1651918,2182.052114,3431.345428,,,,,,,,
117,0,252.21966,965.3595336,2252.505578,3470.084772,,,,,,,,
118,0,181.139574,869.8030455,2029.540439,3080.483059,,,,,,,,
119,0,126.10983,911.5427449,2126.933071,3164.585646,,,,,,,,
120,0,139.867266,800.1094536,1866.922058,2806.898778,,,,,,,,
121,0,149.03889,718.7150276,1677.001731,2544.755649,,,,,,,,
122,0,114.6453,742.4614112,1732.409959,2589.516671,,,,,,,,
123,0,144.453078,731.05019,1705.783777,2581.287045,,,,,,,,
124,0,165.089232,685.5378765,1599.588379,2450.215487,,,,,,,,
125,0,162.796326,805.0934064,1878.551282,2846.441014,,,,,,,,
126,0,217.82607,856.8701653,1999.363719,3074.059954,,,,,,,,
127,0,401.25855,799.5521681,1865.621726,3066.432444,,,,,,,,
128,0,525.075474,636.7951883,1485.855439,2647.726102,,,,,,,,
129,0,642.01368,222.589659,519.375871,1383.97921,,,,,,,,
130,0,882.76881,60.99589634,142.3237581,1086.088464,,,,,,,,
131,0,1063.908384,8.864416452,20.68363839,1093.456439,,,,,,,,
132,0,1151.038812,52.87443377,123.3736788,1327.286925,,,,,,,,
133,0,1070.787102,4.103982708,9.575959652,1084.467044,,,,,,,,
134,0,873.8315548,29.12771849,67.96467649,970.9239498,,,,,,,,
135,0,930.919836,9.519176182,22.21141109,962.6504233,,,,,,,,
136,0,777.295134,81.17433962,189.4067924,1047.876266,,,,,,,,
137,0,646.599492,325.6555509,759.8629521,1732.117995,,,,,,,,
138,0,451.702482,536.8770175,1252.713041,2241.29254,,,,,,,,
