hour_ending,cooling,poolpump,plugload,other,total
1.0,0.0,149.00886,3879.65975853,9052.53943657,13081.2080551
2.0,0.0,114.6222,3618.66761688,8443.55777272,12176.8475896
3.0,0.0,144.423972,3404.08967214,7942.87590166,11491.3895458
4.0,0.0,165.055968,3268.61690589,7626.77278041,11060.4456543
5.0,0.0,162.763524,3054.7477467,7127.7447423,10345.256013
6.0,0.0,217.78218,3044.51520339,7103.86880791,10366.1661913
7.0,0.0,401.1777,3334.61059839,7780.75806291,11516.5463613
8.0,0.0,524.969676,3320.50681047,7747.84922443,11593.3257109
9.0,0.0,641.88432,2929.63471416,6835.81433304,10407.3333672
10.0,0.0,882.59094,3167.25111813,7390.25260897,11440.0946671
11.0,0.0,1063.694016,3502.58690916,8172.70278804,12738.9837132
12.0,0.0,1150.806888,3266.48022285,7621.78718665,12039.0742975
13.0,0.0,1070.571348,3112.77079809,7263.13186221,11446.4740083
14.0,0.0,1029.307356,2869.27546305,6694.97608045,10593.5588995
15.0,0.0,930.732264,2697.28229001,6293.6586767,9921.67323071
16.0,0.623185580345,777.138516,2475.18142639,5775.42332824,9028.36645621
17.0,0.0,646.469208,3012.9056274,7030.1131306,10689.487966
18.0,0.0,451.611468,4505.34324099,10512.4675623,15469.4222713
19.0,0.0,343.8666,4949.1910806,11548.1125214,16841.170202
20.0,0.0,314.064828,4903.14508533,11440.6718658,16657.8817791
21.0,0.0,252.16884,4873.97945211,11372.6187216,16498.7670137
22.0,0.0,181.103076,4719.1445844,11011.3373636,15911.585024
23.0,0.0,126.08442,4331.82339819,10107.5879291,14565.4957473
24.0,0.0,139.839084,3794.68636914,8854.26819466,12788.7936478
25.0,0.0,149.00886,3539.34824742,8258.47924398,11946.8363514
26.0,0.0,114.6222,3202.78587699,7473.16704631,10790.5751233
27.0,0.0,144.423972,2789.52978001,6508.90282003,9442.85657204
28.0,0.0,165.055968,2845.97220183,6640.60180428,9651.62997411
29.0,0.0,162.763524,2866.3611746,6688.17607408,9717.30077268
30.0,0.0,217.78218,2954.14456644,6893.00398836,10064.9307348
31.0,0.0,401.1777,3181.01971308,7422.37933052,11004.5767436
32.0,0.0,524.969676,3157.8002397,7368.2005593,11050.970475
33.0,0.0,641.88432,3220.54576029,7514.60677401,11377.0368543
34.0,0.0,882.59094,3065.4904677,7152.8110913,11100.892499
35.0,13.7307576043,1063.694016,2441.30716102,5696.38337573,9215.11531035
36.0,23.5387067172,1150.806888,2072.56901684,4835.99437264,8082.9089842
37.0,72.1420296109,1070.571348,1941.1272149,4529.29683476,7613.13742727
38.0,71.9700115717,1029.307356,1829.03230111,4267.74203593,7198.05170462
39.0,151.793353983,930.732264,1501.97041271,3504.59762966,6089.09366035
40.0,134.538209765,777.138516,1568.48204082,3659.79142859,6139.95019517
41.0,67.1321585932,646.469208,2179.87112657,5086.365962,7979.83845516
42.0,0.371101556873,451.611468,3916.10823408,9137.58587952,13505.6766832
43.0,0.0,343.8666,4688.31708669,10939.4065356,15971.5902223
44.0,0.0,314.064828,5281.86324768,12324.3475779,17920.2756536
45.0,0.0,252.16884,4856.46437076,11331.7501984,16440.3834092
46.0,0.0,181.103076,4513.78704153,10532.1697636,15227.0598811
47.0,0.0,126.08442,4119.68128119,9612.58965611,13858.3553573
48.0,0.0,139.839084,3399.09398634,7931.21930146,11470.1523718
49.0,0.0,149.00886,3055.44357687,7129.36834603,10333.8207829
50.0,0.0,114.6222,2824.24824882,6589.91258057,9528.78302939
51.0,0.0,144.423972,2793.94024356,6519.19390163,9457.55811719
52.0,0.0,165.055968,2594.26731039,6053.29039091,8812.6136693
53.0,0.0,162.763524,2638.9641165,6157.5829385,8959.310579
54.0,0.0,217.78218,2744.7826175,6404.49277418,9367.05757168
55.0,0.0,401.1777,2977.14639027,6946.67491063,10324.9990009
56.0,0.0,524.969676,3286.59331236,7668.71772884,11480.2807172
57.0,0.0,641.88432,3073.71794574,7172.00854006,10887.6108058
58.0,0.0,882.59094,2873.1674127,6704.0572963,10459.815649
59.0,1.00957762959,1063.694016,2767.23619413,6456.88445297,10288.8242407
60.0,60.784281278,1150.806888,2779.49448396,6485.48712924,10476.5727825
61.0,389.480872467,1070.571348,2860.43370198,6674.34530462,10994.8312271
62.0,318.943155295,1029.307356,2594.35111304,6053.48593042,9996.08755476
63.0,445.468039473,930.732264,2234.24976224,5213.24944522,8823.69951092
64.0,481.590935769,777.138516,2527.58980458,5897.70954402,9684.02880037
65.0,243.566938239,646.469208,3338.00739111,7788.68391259,12016.7274499
66.0,31.8419733643,451.611468,4345.40003988,10139.2667597,14968.120241
67.0,0.623185580345,343.8666,4852.8896499,11323.4091831,16520.7886186
68.0,0.0,314.064828,5077.67568402,11847.9099294,17239.6504414
69.0,0.0,252.16884,4975.7316504,11610.0405176,16837.941008
70.0,0.0,181.103076,4678.23484452,10915.8813039,15775.2192244
71.0,0.0,126.08442,3926.04649455,9160.77515395,13212.9060685
72.0,0.0,139.839084,3377.53946643,7880.92542167,11398.3039721
73.0,0.0,149.00886,3394.18672104,7919.76901576,11462.9645968
74.0,0.0,114.6222,2984.1124089,6962.9289541,10061.663563
75.0,0.0,144.423972,2823.44310214,6588.033905,9555.90097915
76.0,0.0,165.055968,2770.10792744,6463.58516402,9398.74905946
77.0,0.0,162.763524,2567.41255527,5990.62929562,8720.80537489
78.0,0.0,217.78218,2621.38038701,6116.55423637,8955.71680338
79.0,0.0,401.1777,2881.18907886,6722.77451734,10005.1412962
80.0,0.0,524.969676,3041.06336769,7095.81452461,10661.8475683
81.0,0.0,641.88432,3067.15093941,7156.68552529,10865.7207847
82.0,0.0,882.59094,3246.4479717,7575.0452673,11704.084179
83.0,0.0,1063.694016,3644.81688528,8504.57273232,13213.0836336
84.0,4.54599407169,1150.806888,3383.84133942,7895.62979198,12434.8240135
85.0,94.1273203186,1070.571348,3650.84165349,8518.63052481,13334.1708466
86.0,170.493214494,1029.307356,3581.30673849,8356.38238981,13137.4896988
87.0,219.197196528,930.732264,3233.66679474,7545.22252106,11928.8187763
88.0,205.559753401,777.138516,3118.14268299,7275.66626031,11376.5072127
89.0,113.881790265,646.469208,3552.26064948,8288.60818212,12601.2198299
90.0,0.371101556873,451.611468,4724.43837033,11023.6895308,16200.1104707
91.0,0.0,343.8666,4780.05047157,11153.4511003,16277.3681719
92.0,0.0,314.064828,4972.13584629,11601.650308,16887.8509823
93.0,0.0,252.16884,4947.6663993,11544.5549317,16744.390171
94.0,0.0,181.103076,4489.78621974,10476.1678461,15147.0571418
95.0,0.0,126.08442,4110.40544364,9590.94603516,13827.4358988
96.0,0.0,139.839084,3654.52347636,8527.22144484,12321.5840052
97.0,0.0,149.00886,3097.39460949,7227.25408881,10473.6575583
98.0,0.0,114.6222,3156.81649518,7365.90515542,10637.3438506
99.0,0.0,144.423972,3113.86450917,7265.68385473,10523.9723359
100.0,0.0,165.055968,2815.783249,6570.16091433,9551.00013133
101.0,0.0,162.763524,2942.02951742,6864.73554066,9969.52858208
102.0,0.0,217.78218,3063.04014591,7147.09367379,10427.9159997
103.0,0.0,401.1777,3407.53458543,7950.91403267,11759.6263181
104.0,0.0,524.969676,3288.74969304,7673.74928376,11487.4686528
105.0,0.0,641.88432,3492.5545206,8149.2938814,12283.732722
106.0,0.0,882.59094,3464.07641937,8082.84497853,12429.5123379
107.0,0.0,1063.694016,3354.8529225,7827.9901525,12246.537091
108.0,0.0,1150.806888,3200.05410543,7466.79291267,11817.6539061
109.0,93.227504247,1070.571348,3222.20517978,7518.47875282,11904.4827848
110.0,199.928794345,1029.307356,3260.41353897,7607.63159093,12097.2812802
111.0,262.837408559,930.732264,2918.55629376,6809.96468544,10922.0906518
112.0,202.968972232,777.138516,2838.24316737,6622.56739053,10440.9180461
113.0,63.2339325088,646.469208,3340.25759715,7793.93439335,11843.895131
114.0,0.0,451.611468,4531.97437854,10574.6068833,15558.1927298
115.0,0.0,343.8666,4959.74346045,11572.734741,16876.3448015
116.0,0.0,314.064828,5080.98486129,11855.631343,17250.6810323
117.0,0.0,252.16884,4827.39632049,11263.9247478,16343.4899083
118.0,0.0,181.103076,4497.81896835,10494.9109262,15173.8329705
119.0,0.0,126.08442,3885.52436904,9066.22352776,13077.8323168
120.0,0.0,139.839084,3198.1566609,7462.3655421,10800.361287
121.0,0.0,149.00886,3120.10172358,7280.23735502,10549.3479386
122.0,0.0,114.6222,2847.81460865,6644.90075351,9607.33756216
123.0,0.0,144.423972,2696.16260963,6291.04608913,9131.63267076
124.0,0.0,165.055968,2669.3617934,6228.51085128,9062.92861268
125.0,0.0,162.763524,2656.71959183,6199.01238094,9018.49549677
126.0,0.0,217.78218,2858.59337149,6670.05120013,9746.42675162
127.0,0.0,401.1777,3097.916706,7228.472314,10727.56672
128.0,0.0,524.969676,3170.26264293,7397.27950017,11092.5118191
129.0,0.0,641.88432,3224.50879152,7523.85384688,11390.2469584
130.0,0.0,882.59094,2893.74434826,6752.07014594,10528.4054342
131.0,0.0,1063.694016,2641.70191106,6163.9711258,9869.36705285
132.0,0.0,1150.806888,2345.65282333,5473.18992112,8969.64963245
133.0,0.0,1070.571348,2172.18225284,5068.42525664,8311.17885748
134.0,0.0,1029.307356,2424.94348592,5658.20146716,9112.45230908
135.0,0.0,930.732264,2473.96719308,5772.59011718,9177.28957426
136.0,0.0,777.138516,2492.46126878,5815.74296049,9085.34274527
137.0,0.0,646.469208,2766.44953966,6455.04892587,9867.96767353
138.0,0.0,451.611468,4099.2869361,9565.0028509,14115.901255
139.0,0.0,343.8666,4657.524345,10867.556805,15868.94775
140.0,0.0,314.064828,4953.77913957,11558.8179923,16826.6619599
141.0,0.0,252.16884,4903.68847206,11441.9397681,16597.7970802
142.0,0.0,181.103076,4558.64509275,10636.8385498,15376.5867185
143.0,0.0,126.08442,4169.51825652,9728.87593188,14024.4786084
144.0,0.0,139.839084,3566.01526431,8320.70228339,12026.5566317
145.0,0.0,149.00886,3086.90675601,7202.78243069,10438.6980467
146.0,0.0,114.6222,2882.27371655,6725.30533861,9722.20125516
147.0,0.0,144.423972,2813.05345764,6563.79140117,9521.26883081
148.0,0.0,165.055968,2927.61945834,6831.11206946,9923.7874958
149.0,0.0,162.763524,2851.85480985,6654.32788964,9668.94622349
150.0,0.0,217.78218,3037.8500823,7088.3168587,10343.949121
151.0,0.0,401.1777,3362.05511217,7844.79526173,11608.0280739
152.0,0.0,524.969676,3152.01754242,7354.70759898,11031.6948174
153.0,0.0,641.88432,3223.58443986,7521.69702634,11387.1657862
154.0,0.0,882.59094,3091.97484294,7214.60796686,11189.1737498
155.0,0.0,1063.694016,3009.40144878,7021.93671382,11095.0321786
156.0,23.0578664728,1150.806888,2776.38792378,6478.23848882,10428.4911671
157.0,90.2928634287,1070.571348,2817.70632996,6574.64810324,10553.2186446
158.0,177.915529877,1029.307356,2978.26607043,6949.28749767,11134.776454
159.0,288.859052733,930.732264,2790.01527435,6510.03564015,10519.6422312
160.0,324.135424244,777.138516,2898.04046811,6762.09442559,10761.4088339
