Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,-1,1,0,-1,0,0
1,1,1,0,0,-1,1,0,-1,0,0
1,1,2,0,0,-1,1,0,-1,0,0
1,1,3,0,0,-1,1,0,-1,0,0
1,1,4,0,0,0,0,0,0,0,0
1,1,5,0,0,0,0,0,0,0,0
1,1,6,0,0,0,0,0,0,0,0
1,1,7,335,15,1,0,107.766,2.377,83.455,76.722
1,1,8,724,42,3,0,362.072,16.298,299.416,287.263
1,1,9,864,54,6,0,574.597,28.807,471.475,453.762
1,1,10,919,64,8,1,726.75,31.34,598.872,576.332
1,1,11,945,68,9,1,808.806,35.304,656.927,631.988
1,1,12,945,68,10,1,811.626,36.662,654.918,630.063
1,1,13,910,68,10,0,733.278,40.48,578.014,556.305
1,1,14,845,61,9,0,587.696,34.552,470.451,452.773
1,1,15,706,48,7,0,374.297,24.631,300.729,288.537
1,1,16,341,20,5,0,119.678,11.536,91.085,84.19
1,1,17,0,0,3,0,0,3,0,0
1,1,18,0,0,3,0,0,3,0,0
1,1,19,0,0,3,0,0,3,0,0
1,1,20,0,0,3,0,0,3,0,0
1,1,21,0,0,3,0,0,3,0,0
1,1,22,0,0,2,0,0,2,0,0
1,1,23,0,0,2,1,0,2,0,0
1,2,0,0,0,2,1,0,2,0,0
1,2,1,0,0,2,1,0,2,0,0
1,2,2,0,0,1,1,0,1,0,0
1,2,3,0,0,1,1,0,1,0,0
1,2,4,0,0,1,1,0,1,0,0
1,2,5,0,0,1,1,0,1,0,0
1,2,6,0,0,1,1,0,1,0,0
1,2,7,273,16,2,1,93.269,3.156,72.926,66.414
1,2,8,676,46,4,1,345.915,13.451,290.21,278.323
1,2,9,824,61,7,0,563.285,29.244,461.564,444.201
1,2,10,889,69,9,0,711.981,37.409,569.544,548.169
1,2,11,916,74,10,0,794.581,41.78,624.807,601.211
1,2,12,916,74,10,1,797.751,36.211,645.265,620.818
1,2,13,867,77,11,1,720.003,34.934,583.76,561.824
1,2,14,802,68,10,1,571.747,29.328,469.857,452.201
1,2,15,656,53,7,1,359.286,19.293,296.74,284.664
1,2,16,284,22,4,1,109.657,7.126,86.661,79.861
1,2,17,0,0,3,1,0,3,0,0
1,2,18,0,0,3,1,0,3,0,0
1,2,19,0,0,3,1,0,3,0,0
1,2,20,0,0,2,1,0,2,0,0
1,2,21,0,0,2,1,0,2,0,0
1,2,22,0,0,1,1,0,1,0,0
1,2,23,0,0,1,1,0,1,0,0
1,3,0,0,0,1,1,0,1,0,0
1,3,1,0,0,1,1,0,1,0,0
1,3,2,0,0,1,0,0,1,0,0
1,3,3,0,0,0,0,0,0,0,0
1,3,4,0,0,0,0,0,0,0,0
1,3,5,0,0,0,1,0,0,0,0
1,3,6,0,0,0,1,0,0,0,0
1,3,7,211,16,2,1,78.857,2.59,62.915,56.608
1,3,8,621,50,5,0,329.458,16.707,273.113,261.712
1,3,9,779,65,7,0,541.531,28.4,445.728,428.917
1,3,10,882,65,9,0,702.432,36.972,563.109,541.985
1,3,11,909,68,10,0,782.629,41.36,616.727,593.462
1,3,12,910,69,11,0,788.19,42.904,616.38,593.129
1,3,13,883,66,12,0,714.519,41.606,560.175,539.165
1,3,14,820,60,11,0,574.797,35.873,457.465,440.245
1,3,15,685,47,9,0,367.078,26.175,293.355,281.377
1,3,16,343,20,7,0,121.228,13.468,91.662,84.755
1,3,17,0,0,6,0,0,6,0,0
1,3,18,0,0,6,1,0,6,0,0
1,3,19,0,0,6,0,0,6,0,0
1,3,20,0,0,6,0,0,6,0,0
1,3,21,0,0,5,0,0,5,0,0
1,3,22,0,0,4,0,0,4,0,0
1,3,23,0,0,4,0,0,4,0,0
1,4,0,0,0,4,0,0,4,0,0
1,4,1,0,0,4,0,0,4,0,0
1,4,2,0,0,4,1,0,4,0,0
1,4,3,0,0,4,1,0,4,0,0
1,4,4,0,0,3,1,0,3,0,0
1,4,5,0,0,3,1,0,3,0,0
1,4,6,0,0,4,1,0,4,0,0
1,4,7,0,14,4,0,13.263,2.111,12.621,7.29
1,4,8,104,80,6,0,134.502,8.546,120.848,113.301
1,4,9,794,61,8,0,545.493,28.045,449.599,432.653
1,4,10,27,175,10,1,195.315,16.898,173.988,165.194
1,4,11,341,205,12,1,500.389,26.666,424.965,408.863
1,4,12,405,194,13,0,548.986,35.492,446.672,429.827
1,4,13,850,71,14,0,703.618,41.695,551.58,530.902
1,4,14,788,64,13,0,561.915,37.249,444.468,427.699
