"ANON_ACCT_ID","ANON_SA_ID","ANON_SERVPNT_ID","MultiFam","MasterMeter"
0001915845,1267720440,0679510020,INDIV,Other
0001915845,6983720522,0511810106,INDIV,Other
0005415856,3538520883,5041410013,INDIV,Other
0009715841,3272520477,1512910061,INDIV,Other
0009715841,7805720829,5106510094,INDIV,Other
0011015739,5548820265,6823110026,INDIV,Other
0011015739,9261920768,0855410058,INDIV,Other
0011115880,6435037292,6226510179,MISSING,Other
0011115880,6638237542,6226510179,MISSING,Other
0012815787,9275720317,6444510028,INDIV,Other
0013515748,7830036352,9705010083,INDIV,Other
0016515818,5779620786,3566910054,MISSING,Other
0017415779,1217920672,0000510042,INDIV,Other
0019215817,6947620441,3811010041,INDIV,Other
0019215817,9324620744,7395410007,INDIV,Other
0019315799,6547720542,3819710063,INDIV,Other
0019315799,9640020685,3631610100,INDIV,Other
0020715860,5023320849,5508910120,MISSING,Other
0020715860,9775120881,2699410107,MISSING,Other
0020915714,1417320438,9999310062,MISSING,Other
0022815803,9258620883,0272410042,INDIV,Other
0026615715,5622120484,0816710108,INDIV,Other
0030115687,0663034106,7303910036,INDIV,Other
0030115687,3224734104,1135610006,INDIV,Other
0030115687,4218334616,7303910036,INDIV,Other
0032015877,2907433920,0592910048,INDIV,Other
0032015877,3669633912,6097910079,INDIV,Other
0032515701,5127120296,9814210109,INDIV,Other
0032515772,0656120734,1426110024,INDIV,Other
0032515772,4776220592,9748710104,INDIV,Other
0033915849,8329520792,4701010087,INDIV,Other
0033915849,8390620792,8411710060,INDIV,Other
0035315788,5856820573,5573410035,INDIV,Other
0039115868,1507020779,8413010078,MISSING,Other
0039115868,2144120732,9305210024,MISSING,Other
0039115868,7799322218,8480110035,MISSING,Other
0039315880,0323437301,8820310052,MULTI,Other
0039315880,6366737289,7324610097,INDIV,Other
0043715714,4677932053,4262110022,INDIV,Other
0043715714,4921820777,7480710068,INDIV,Other
0043715714,8738032095,3969810055,INDIV,Other
0047215855,5605920852,3574310004,INDIV,Other
0047215855,5679720852,6854310034,INDIV,Other
0047215877,2914133910,1341210026,INDIV,Other
0048415777,5489120265,2092710068,INDIV,Other
0050515801,0907520575,7425710040,INDIV,Other
0050515801,1442420410,7425710040,INDIV,Other
0050515801,2640320538,7425710040,INDIV,Other
0054715696,0965820562,6702910048,INDIV,Other
0054715696,5282720722,4733110075,INDIV,Other
0055015861,0712720854,2141910008,INDIV,Other
0055015861,1006620854,5868910050,INDIV,Other
0055215877,1338033900,4634910041,INDIV,Other
0055215877,3032333905,7812110071,INDIV,Other
0055715690,3414520847,8302910020,INDIV,Other
0055715690,5551120717,8475710051,INDIV,Other
0057715776,6512420527,0487810039,INDIV,Other
0057715776,9703120394,2105910007,INDIV,Other
0059315879,0115336028,2485710024,MULTI,Other
0059315879,0606036021,8040310105,MULTI,Other
0064915851,3854920803,7763810091,INDIV,Other
0067715770,7842520772,2700510076,INDIV,Other
0068815811,0190620352,5623710096,INDIV,Other
0068815811,9047720708,3904910064,INDIV,Other
0069115802,4401520377,9298910104,MISSING,Other
0070615841,0699220636,8377610036,MISSING,Other
0070615841,2240920634,1204210004,MISSING,Other
0070615841,3945620724,0952310007,MISSING,Other
0070615841,8907920643,8636710100,MISSING,Other
0072815714,1565627141,8676210074,INDIV,Other
0072815714,3119227124,8561710071,INDIV,Other
0072815714,3816227119,8561710071,INDIV,Other
0072815714,4129227127,8676210074,INDIV,Other
0076315855,2381220872,6613110010,INDIV,Other
0077915786,1703120544,1687810025,INDIV,Other
0082215753,2337620394,2220110019,INDIV,Other
0085515868,5317923256,0621910033,MULTI,Other
0085515868,6684523233,6730310002,MULTI,Other
0087815783,4790420883,4315110060,INDIV,Other
0088915811,7151120539,2973810092,INDIV,Other
0089715695,2118620516,0440110046,INDIV,Other
0089715695,5449820672,2492710015,INDIV,Other
0089715695,6171220309,9673810105,INDIV,Other
0094015732,0092320721,9506210022,INDIV,Other
0094015732,1140820354,5209510053,INDIV,Other
0094015732,5180320856,8758010098,INDIV,Other
0095915869,5007224630,1049710084,MISSING,Other
0097715831,2806320378,4333010006,INDIV,Other
0097715831,7683020413,7808010090,INDIV,Other
0098615703,9742020575,4595210059,INDIV,Other
0106715795,3289220695,1948210024,INDIV,Other
0106715795,7339220457,8111410103,INDIV,Other
0107615871,3602136028,6037710050,INDIV,Other
0107615871,3776836028,0177710086,INDIV,Other
0109615707,4136420733,7706310100,MISSING,Other
0111115710,7686421289,6254010090,MISSING,Other
0111115710,8862624040,8315410106,MISSING,Other
0113315856,7323620836,4813010066,INDIV,Other
0118615876,7428632716,5603210175,MISSING,Other
0118615876,7996932910,5603210175,MISSING,Other
0121315833,3081320632,4123510055,MISSING,Other
0122115717,2523620825,6610910029,INDIV,Other
0123615765,8442520826,5659110031,INDIV,Other
0127315875,5436631448,5163310049,INDIV,Other
0127415747,3719920541,3776010111,INDIV,Other
0127415747,7499720684,5137310031,INDIV,Other
0129215848,2781520789,6664510102,MISSING,Other
0132715725,0848520556,7222410019,MISSING,Other
0132715725,6872820702,8302910081,MISSING,Other
0134515874,6818130002,1285510002,INDIV,Other
0134515874,9866430002,1688110031,INDIV,Other
0137515862,1639620859,3395010004,INDIV,Other
0137515862,1856620859,6735110085,INDIV,Other
0140115833,0795320765,4331610082,MISSING,Other
0140115833,1614520684,1002110065,MISSING,Other
0140115833,3598420297,4550010069,MISSING,Other
0140115833,3654520471,2546010065,MISSING,Other
0140115833,5090220357,3092410096,MISSING,Other
0141715787,7700730031,4031810028,INDIV,Other
