,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan Hourly Avg,6007.5,5803.083333333333,5725.916666666667,5661.166666666667,5677.333333333333,5810.583333333333,5979.25,5737.0,4258.666666666667,2808.0,2352.75,2119.75,2057.1666666666665,2117.75,2643.75,4209.25,6659.083333333333,8437.25,8795.166666666666,8697.833333333334,8709.166666666666,8620.083333333334,8148.0,7602.5
Feb Hourly Avg,6555.5,6325.333333333333,6246.583333333333,6218.5,6295.916666666667,6414.666666666667,7299.75,7521.583333333333,6064.666666666667,5352.666666666667,5202.833333333333,5296.333333333333,5231.333333333333,5498.416666666667,5636.0,6424.25,7548.666666666667,8100.333333333333,8269.333333333334,7812.083333333333,7502.75,7246.083333333333,6853.0,6188.25
Mar Hourly Avg,5391.5,5263.583333333333,5223.25,5012.333333333333,5048.666666666667,5382.083333333333,6272.333333333333,6532.916666666667,5520.0,4333.583333333333,3929.25,3927.8333333333335,4223.0,4629.5,4671.083333333333,4482.083333333333,5428.583333333333,6897.75,7902.666666666667,8096.583333333333,7797.833333333333,7383.0,7017.083333333333,6329.083333333333
Apr Hourly Avg,5435.166666666667,5241.916666666667,5080.083333333333,5159.25,5282.833333333333,5756.75,6835.25,6952.583333333333,5617.25,4411.583333333333,3923.1666666666665,3735.4166666666665,3578.1666666666665,3750.6666666666665,3980.8333333333335,4742.25,5495.5,6290.083333333333,7798.25,8658.333333333334,8521.916666666666,7655.0,6867.333333333333,6232.916666666667
May Hourly Avg,4558.75,4052.5,3898.8333333333335,3899.6666666666665,4039.0833333333335,4735.166666666667,5436.833333333333,4745.25,3673.0,3146.4166666666665,2842.75,2620.5833333333335,2506.5,2684.6666666666665,2770.4166666666665,2886.25,3228.3333333333335,3737.6666666666665,5259.25,7183.916666666667,7676.666666666667,7065.083333333333,5949.416666666667,5217.333333333333
Jun Hourly Avg,5109.583333333333,4791.0,4533.5,4453.833333333333,4490.25,4675.666666666667,4708.333333333333,3499.5,2550.0,2191.75,2144.8333333333335,1912.0833333333333,1915.75,2048.1666666666665,1957.1666666666667,2079.0,2363.3333333333335,3375.1666666666665,4435.583333333333,5511.083333333333,6069.416666666667,6218.666666666667,5656.916666666667,5047.166666666667
Jul Hourly Avg,5077.75,4752.666666666667,4382.833333333333,4313.166666666667,4543.333333333333,5095.666666666667,5263.75,4227.166666666667,3255.4166666666665,3147.0,3440.0,3535.0833333333335,3439.9166666666665,3580.4166666666665,3735.8333333333335,4120.75,4605.666666666667,5251.083333333333,6526.083333333333,8193.583333333334,8746.75,8096.75,7126.166666666667,6253.833333333333
Aug Hourly Avg,8787.916666666666,8321.75,7836.083333333333,7671.5,7730.166666666667,8050.666666666667,8377.416666666666,7543.916666666667,6171.416666666667,5673.25,5783.083333333333,6006.916666666667,6392.5,6788.25,7236.0,7918.333333333333,8573.0,9359.833333333334,10693.333333333334,11955.083333333334,11883.666666666666,11173.25,10029.5,8883.083333333334
Sep Hourly Avg,8748.833333333334,8248.916666666666,7828.5,7455.666666666667,7260.916666666667,7293.416666666667,7416.166666666667,6708.75,5490.416666666667,5082.833333333333,4898.916666666667,5566.25,6404.25,7236.583333333333,8221.666666666666,9001.083333333334,9957.333333333334,10825.0,12326.0,12778.666666666666,12301.916666666666,11602.083333333334,10645.833333333334,9617.0
Oct Hourly Avg,7630.083333333333,7374.0,7181.083333333333,7104.833333333333,7296.25,7526.25,7845.916666666667,7501.166666666667,5601.833333333333,4224.0,3765.6666666666665,3669.75,3620.25,3721.4166666666665,4143.416666666667,4787.333333333333,5780.75,8050.0,9985.416666666666,10306.25,9887.5,9423.166666666666,9014.0,8483.833333333334
Nov Hourly Avg,7447.5,7142.583333333333,6962.666666666667,6900.583333333333,7013.25,7512.666666666667,8522.583333333334,9117.166666666666,7685.166666666667,5952.166666666667,5179.083333333333,5059.166666666667,4937.583333333333,5194.666666666667,5469.166666666667,5681.666666666667,6685.75,8820.5,9676.333333333334,9710.916666666666,9510.25,9188.666666666666,8597.0,8110.833333333333
