hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3065.68959
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11,2.925,2.85,2.85,2.85,2.85,2.775,2.7,2.7,2.775,2.775,2.85,2.85,2.85,2.85,2.1,3,,
12,1.245914,1.228401,1.150387,1.102306,1.194717,0.884948,0.83716,0.861775,0.821493,0.844976,1.10178,1.159089,1.100922,1.20473,0.877334,1.820241,,
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14,2.806562,2.741245,2.688634,2.657927,2.713034,2.510455,2.42909,2.452921,2.481175,2.496901,2.653189,2.699008,2.659495,2.727678,0,2.904018,,
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20,1.5,1.425,1.425,1.425,1.425,1.35,1.275,1.275,1.275,1.275,1.425,1.425,1.425,1.425,2.025,1.575,,
21,1.563647,1.467521,1.40895,1.371488,1.429448,1.234152,1.214017,1.225362,1.249031,1.265868,1.364689,1.409758,1.361153,1.437398,2.124871,2.10243,,
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
33,3,3,2.925,2.925,2.925,2.925,2.85,2.85,2.85,2.925,2.925,2.925,2.925,3,2.775,3,,
34,2.333862,2.056444,2.016636,1.959885,2.037808,1.609493,1.4628,1.491358,1.542311,1.521048,1.963565,2.024802,1.935168,1.988638,1.142357,2.890525,,
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
53,1.275,1.275,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.275,1.2,1.275,1.125,1.275,,
54,2.44314,2.257832,2.16788,2.119636,2.179638,1.914483,1.839968,1.789809,1.821153,1.841488,2.240303,2.196833,2.108962,2.122962,1.374703,2.705131,,
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
56,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,,
57,1.224897,2.072316,0,0,0,0,0,0,0,0,1.275,1.65,0,0,0,1.244951,,
58,0,0,2.076051,2.094525,2.084081,0,0,0,0,0,0.925192,0.566469,0,2.080936,0,0,,
59,0,0,0,0,0,0,0,0,0,0,0,0,0.975,0,0,0,,
60,0,0,0,0,0,0,0,0,0,0,0,0,1.161212,0,0,0,,
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
63,0,0,0,0,0,2.175,1.275,1.05,1.275,1.275,0,0,0,0,0,0,,
64,0,0,0,0,0,0.250904,1.211978,1.403376,1.204463,1.209939,0,0,0,0,2.416887,0,,
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,,
76,4.057048,3.853952,3.456706,3.545048,3.490378,2.71334,2.553293,2.508554,2.53624,2.545098,3.589476,3.618601,3.316288,3.711988,2.226062,4.436886,,
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
82,2.25,1.95,1.875,1.95,1.875,1.8,1.725,1.8,1.8,1.8,1.95,1.95,1.875,1.95,1.575,2.25,,
83,2.04921,2.212576,1.893317,2.110287,1.829674,1.586644,1.524656,1.488351,1.583727,1.597152,2.098432,2.152425,1.828139,2.204438,1.326937,2.230196,,
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
92,3.15,3.075,3.075,3.075,3.075,3.075,3,3,3,3.075,3.075,3.075,3.075,3.075,2.925,3.15,,
93,4.5,4.5,4.5,4.5,4.5,4.485553,4.318797,4.356342,4.385148,4.37297,4.5,4.5,4.5,4.5,3.565425,4.5,,
94,1.187963,0.663933,0.57232,0.414279,0.648795,0,0,0,0,0,0.451005,0.513018,0.449259,0.527424,0,2.063415,,
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
104,3.122785,3.043092,2.678092,2.654155,2.689396,2.480303,2.398039,2.41451,2.441729,2.451766,2.967179,2.686994,2.654956,3.0199,2.154555,3.231061,,
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.805936,,
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
116,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
117,1.179746,1.65,1.05,0,0,0,0,0,0,0,1.425,1.125,0,1.5,0,0,,
118,0,0.549174,0.938986,1.95,1.95,0,0,0,0,0,0.723689,0.890234,2.095939,0.683659,0,0,,
