hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.671945973,0.34903503,0.470421541,0.336660187,0.287162181,0.343003389,0.140784873,0.453035207,0.088870171,0.560813527,0.933793199,0.746612358,0.665692008,1.156480804,0.465502384,1.057925165
2,0.921732152,0.37834465,0.481260598,0.423532199,0.380713014,0.396724803,0.166583931,0.665837503,0.153386311,0.578217638,0.961530232,0.827893212,0.879189784,1.411302893,0.537831776,1.404250517
3,0.948420018,0.393937942,0.763977858,0.456936745,0.411014257,0.441120506,0.204321278,0.687398413,0.30922909,0.582859731,0.971344249,0.865547327,0.8725059,1.577360812,0.564021723,1.89088547
4,0.953505089,0.403636746,0.893601515,0.753777898,0.434336588,0.492945166,0.251502972,0.679039457,0.353111639,0.633386498,0.968460301,0.911350277,0.867908223,1.643847048,0.633473687,2.374664529
5,0.951512132,0.407664606,0.878630163,0.803025647,0.443277838,0.539836446,0.33369737,0.599616875,0.377650801,0.679046475,0.984592018,0.926700082,0.881316969,1.679550055,0.760906497,2.546173904
6,0.93157915,0.401013485,0.678328239,0.83447776,0.456103105,0.558423542,0.382275762,0.655417212,0.392467855,0.662135477,1.035763858,0.913675726,0.883608488,1.682363497,0.854735811,2.218333849
7,0.868726669,0.393617558,0.507422363,0.851762029,0.465337376,0.566880659,0.374131437,0.694739982,0.412852446,0.711476769,1.099440144,0.605242214,0.882336405,1.67315362,0.843605236,2.235742768
8,0.838230311,0.391123684,0.468623644,0.979383867,0.463520756,0.455322258,0.203050913,0.485431082,0.234129046,0.508924435,1.112581855,0.491816789,0.877317992,1.555446367,0.462739755,2.189373425
9,0.654974845,0.399622971,0.385377448,1.033182773,0.426253072,0.322483898,0.048172216,0.253870394,0.01294798,0.261542894,1.133459874,0.486096115,0.884247736,1.065126147,0.259806871,1.940642937
10,0.59122809,0.390502092,0.311595155,0.975102057,0.163222114,0.106766732,1.46E-05,0.051053404,0,0.040428389,1.073160436,0.462008881,0.860854952,0.725085178,0.084792196,1.635639647
11,0.556367172,0.358139795,0.174249697,0.783618974,0.002538262,0.033739866,0,0.002830433,0,0,0.966204392,0.434168674,0.813254307,0.55544379,0,1.235087247
12,0.497262482,0.234186167,0.071480465,0.406715725,0,0,0,0,0,0,0.903286391,0.410503422,0.463642582,0.391268269,0,0.913825279
13,0.452935058,0.024823186,0.003739718,0.234625805,0,0,0,0,0,0,0.507754654,0.388614219,0.400218106,0.235198589,0,0.577537845
14,0.432374381,0,0,0.094346997,0,0,0,0,0,0,0.483843498,0.374198584,0.204893086,0.051645088,0,0.540288212
15,0.427718681,0,0,0.04041931,0,0,0,0,0,0,0.471893939,0.368221872,0.025173993,0.000206739,0,0.526901108
16,0.42629439,0,0,0.069139417,0,0,0,0,0,0,0.461731039,0.36576183,0.043873552,0.012313368,0,0.51939077
17,0.420297734,0,0.062810189,0.110075919,0,0,0,0,0,0,0.469211127,0.366221829,0.154169561,0.167104938,0,0.509971188
18,0.398536309,0,0.126617539,0.099126147,0,0,0,0.092488114,0,0.030829371,0.698586265,0.347337908,0.285079377,0.277455839,0,0.472304295
19,0.375028242,0,0.233617893,0.085001729,0,0,0,0.143198905,0,0.123317485,0.776825744,0.344871219,0.301783079,0.326187736,0,0.445879953
20,0.369415293,0.007410454,0.299400401,0.103109231,0,0,0,0.220654128,0,0.123317485,0.794828502,0.359377278,0.322877875,0.408383359,0.092488114,0.440213931
21,0.367654409,0.032833708,0.338485604,0.104329556,0.0047698,0.017401444,0,0.326698424,0,0.155081016,0.810936649,0.384020194,0.339253256,0.460329022,0.123317485,0.442634368
22,0.386988347,0.187446386,0.385540228,0.118919587,0.023110546,0.087250943,0,0.30914762,0,0.261040185,0.837172345,0.43855643,0.379591069,0.560844863,0.163576511,0.454046344
