hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.207367,0.205087,0.207019,0.207886,0.205836,0.206603,0.21094,0.207636,0.205798,0.20478,0.206997,0.205834,0.206787,0.204269,0.206094,3.375
12,0.306214,0.313167,0.317389,0.318598,0.315898,0.32822,0.336871,0.328432,0.324352,0.322175,0.316791,0.313977,0.315393,0.310808,0.348966,1.804472
13,0.314767,0.322718,0.327867,0.329154,0.327798,0.343235,0.352495,0.342641,0.336527,0.334451,0.327743,0.323284,0.324823,0.32025,0.36186,0.825
14,2.583555,0.316808,0.321869,0.323595,0.322908,0.342775,0.351533,0.341507,0.33398,0.332115,0.323568,0.317212,0.319095,1.973025,0.360831,1.57366
15,0.371143,0.337954,0.34361,0.345292,0.345888,0.372252,0.383025,0.368898,0.35818,0.3556,0.347333,0.337175,0.339304,0.369086,0.389793,0
16,0.389244,0.36228,0.367227,0.368764,0.370713,0.402381,0.282318,0.398336,0.384291,0.381005,0.372997,0.359121,0.361635,0.393799,0.15124,0
17,0.05162,0.383736,0.387749,0.38948,0.392435,0.033069,0,0.0751,0.268052,0.322832,0.394143,0.378387,0.38085,0.01556,0,0
18,0,0.280151,0.183231,0.149151,0.118547,0,0,0,0,0,0.090212,0.357626,0.309287,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.106374,0.103433,0.104275,0.104721,0.104292,0.107896,0.103589,0.102983,0.102266,0.101966,0.104377,0.104034,0.104425,0.109176,0.10045,1.8
21,0.319329,0.32948,0.3332,0.3345,0.334522,0.347941,0.358538,0.353974,0.349924,0.348376,0.331476,0.331082,0.332343,0.329633,0.362818,2.718276
22,0.346896,0.359665,0.365326,0.366483,0.368204,0.383986,0.400227,0.391916,0.384907,0.380372,0.36026,0.361504,0.362994,0.359943,0.384898,0
23,0.36946,0.383918,0.392049,0.375892,0.352,0.159094,0.007463,0.083601,0.153888,0.200476,0.383395,0.386623,0.388623,0.384796,0,0
24,0.351604,0.100918,0.000889,0,0,0,0,0,0,0,0.100716,0.061152,0.035057,0.103607,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.055834
33,0.187964,0.191924,0.194056,0.194759,0.19447,0.196061,0.199208,0.198433,0.197392,0.195781,0.194626,0.193786,0.195633,0.19336,0.198799,2.85
34,0.288176,4.5,0.298976,0.300131,0.302521,0.315228,0.32239,0.318103,0.315604,0.310994,0.298627,0.297776,0.302302,0.297704,0.32631,1.806574
35,0.311227,0.205398,0.323407,0.324581,0.330838,0.344697,0.356287,0.346335,0.342627,0.336155,0.321083,0.320961,0.327433,0.321502,0.353777,0
36,0.32987,0,0.344472,0.345368,0.35606,0.370087,0.386543,0.370072,0.365148,0.35802,0.340161,0.340981,0.34876,0.341988,0.378421,0
