"PVWatts: Hourly PV Performance Data"
"Requested Location:","Riverside, CA"
"Location:","Lat, Lon: 33.97, -117.38"
"Lat (deg N):","33.97"
"Long (deg W):","117.38"
"Elev (m):","263.11999511719"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.161"
"Capacity Factor (%)","19.2"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","4","1","0","4","0","0"
"1","1","1","0","0","3","1","0","3","0","0"
"1","1","2","0","0","3","2","0","3","0","0"
"1","1","3","0","0","3","2","0","3","0","0"
"1","1","4","0","0","3","2","0","3","0","0"
"1","1","5","0","0","3","3","0","3","0","0"
"1","1","6","0","0","4","3","0","4","0","0"
"1","1","7","174","33","6","4","96.726","6.493","81.107","74.424"
"1","1","8","803","44","10","4","438.164","18.335","366.522","352.331"
"1","1","9","907","54","14","4","643.979","27.502","536.059","515.974"
"1","1","10","954","60","17","3","786.479","35.576","637.017","612.914"
"1","1","11","976","61","19","2","856.541","42.061","673.742","648.085"
"1","1","12","975","59","20","2","846.719","42.978","662.654","637.471"
"1","1","13","947","58","20","1","760.112","44.718","586.9","564.839"
"1","1","14","886","52","19","1","600.439","38.905","470.338","452.664"
"1","1","15","752","41","15","0","379.881","32.482","292.564","280.609"
"1","1","16","385","18","11","0","125.713","17.701","91.418","84.517"
"1","1","17","0","0","9","1","0","9","0","0"
"1","1","18","0","0","7","1","0","7","0","0"
"1","1","19","0","0","7","1","0","7","0","0"
"1","1","20","0","0","6","1","0","6","0","0"
"1","1","21","0","0","6","1","0","6","0","0"
"1","1","22","0","0","6","1","0","6","0","0"
"1","1","23","0","0","5","1","0","5","0","0"
"1","2","0","0","0","5","1","0","5","0","0"
"1","2","1","0","0","5","1","0","5","0","0"
"1","2","2","0","0","5","2","0","5","0","0"
"1","2","3","0","0","5","2","0","5","0","0"
"1","2","4","0","0","5","2","0","5","0","0"
"1","2","5","0","0","5","2","0","5","0","0"
"1","2","6","0","0","6","2","0","6","0","0"
"1","2","7","548","24","8","3","187.065","10.787","142.875","134.824"
"1","2","8","822","43","12","4","445.268","20.697","368.23","353.985"
"1","2","9","931","51","15","4","655.186","28.742","542.059","521.746"
"1","2","10","981","54","18","3","799.386","36.868","643.281","618.917"
"1","2","11","1000","56","20","2","870.256","43.392","679.87","653.948"
"1","2","12","996","57","21","2","862.051","44.35","669.927","644.433"
