"PVWatts: Hourly PV Performance Data"
"Requested Location:","San Bernardino"
"Location:","Lat, Lon: 34.09, -117.3"
"Lat (deg N):","34.09"
"Long (deg W):","117.3"
"Elev (m):","323.85000610352"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.160"
"Capacity Factor (%)","19.0"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","3","1","0","3","0","0"
"1","1","1","0","0","3","1","0","3","0","0"
"1","1","2","0","0","3","2","0","3","0","0"
"1","1","3","0","0","2","2","0","2","0","0"
"1","1","4","0","0","2","2","0","2","0","0"
"1","1","5","0","0","2","3","0","2","0","0"
"1","1","6","0","0","3","3","0","3","0","0"
"1","1","7","528","25","5","4","183.559","7.431","142.856","134.805"
"1","1","8","799","45","9","4","437.454","17.502","367.38","353.162"
"1","1","9","904","55","12","4","642.942","25.51","540.258","520.013"
"1","1","10","951","61","15","3","784.756","33.593","641.829","617.525"
"1","1","11","974","62","17","2","855.101","40.112","679.275","653.378"
"1","1","12","974","61","18","2","846.997","41.072","669.315","643.848"
"1","1","13","946","59","19","1","759.012","43.747","588.92","566.779"
"1","1","14","884","53","18","1","598.789","37.899","471.287","453.58"
"1","1","15","749","42","14","0","380.676","31.546","294.477","282.467"
"1","1","16","378","17","10","0","122.304","16.599","89.17","82.317"
"1","1","17","0","0","8","1","0","8","0","0"
"1","1","18","0","0","6","1","0","6","0","0"
"1","1","19","0","0","6","1","0","6","0","0"
"1","1","20","0","0","5","1","0","5","0","0"
"1","1","21","0","0","5","1","0","5","0","0"
"1","1","22","0","0","5","1","0","5","0","0"
"1","1","23","0","0","5","1","0","5","0","0"
"1","2","0","0","0","4","1","0","4","0","0"
"1","2","1","0","0","4","1","0","4","0","0"
"1","2","2","0","0","4","2","0","4","0","0"
"1","2","3","0","0","4","2","0","4","0","0"
"1","2","4","0","0","4","2","0","4","0","0"
"1","2","5","0","0","4","2","0","4","0","0"
"1","2","6","0","0","4","2","0","4","0","0"
"1","2","7","543","25","7","3","187.036","9.781","143.753","135.681"
"1","2","8","818","43","11","4","443.315","19.648","368.387","354.137"
"1","2","9","927","52","14","4","653.518","27.718","543.32","522.959"
"1","2","10","978","55","17","3","797.654","35.854","645.101","620.66"
"1","2","11","997","58","19","2","869.23","42.407","682.479","656.444"
"1","2","12","992","58","20","2","858.706","43.31","670.869","645.335"
"1","2","13","966","55","20","1","770.084","45.042","593.555","571.228"
"1","2","14","902","51","18","0","608.833","43.777","465.183","447.692"
"1","2","15","766","41","14","0","385.981","31.813","298.181","286.064"
"1","2","16","401","17","11","0","127.47","17.823","92.081","85.165"
"1","2","17","0","0","9","1","0","9","0","0"
"1","2","18","0","0","8","1","0","8","0","0"
"1","2","19","0","0","7","1","0","7","0","0"
"1","2","20","0","0","6","1","0","6","0","0"
"1","2","21","0","0","6","1","0","6","0","0"
"1","2","22","0","0","6","1","0","6","0","0"
"1","2","23","0","0","5","1","0","5","0","0"
"1","3","0","0","0","5","1","0","5","0","0"
"1","3","1","0","0","5","2","0","5","0","0"
"1","3","2","0","0","5","2","0","5","0","0"
"1","3","3","0","0","5","3","0","5","0","0"
"1","3","4","0","0","5","3","0","5","0","0"
"1","3","5","0","0","4","4","0","4","0","0"
"1","3","6","0","0","4","4","0","4","0","0"
"1","3","7","527","26","6","4","183.109","8.709","141.592","133.571"
"1","3","8","819","46","10","4","446.967","18.715","373.107","358.707"
"1","3","9","425","141","13","5","441.378","21.024","381.104","366.448"
"1","3","10","986","62","15","5","812.463","30.241","675.415","649.685"
"1","3","11","1007","65","16","4","886.551","35.363","721.238","693.494"
"1","3","12","1004","65","17","3","878.009","38.231","703.945","676.97"
"1","3","13","978","62","17","3","788.969","36.191","636.188","612.12"
"1","3","14","913","57","16","2","624.609","33.355","503.182","484.324"
"1","3","15","777","46","12","1","400.655","25.663","319.51","306.764"
"1","3","16","396","20","9","1","131.081","13.049","97.656","90.621"
"1","3","17","0","0","7","1","0","7","0","0"
"1","3","18","0","0","6","1","0","6","0","0"
"1","3","19","0","0","5","1","0","5","0","0"
"1","3","20","0","0","5","1","0","5","0","0"
"1","3","21","0","0","5","1","0","5","0","0"
"1","3","22","0","0","4","1","0","4","0","0"
"1","3","23","0","0","4","1","0","4","0","0"
"1","4","0","0","0","4","1","0","4","0","0"
"1","4","1","0","0","3","1","0","3","0","0"
"1","4","2","0","0","3","1","0","3","0","0"
"1","4","3","0","0","2","2","0","2","0","0"
"1","4","4","0","0","2","2","0","2","0","0"
"1","4","5","0","0","2","2","0","2","0","0"
"1","4","6","0","0","3","2","0","3","0","0"
"1","4","7","0","29","6","2","28.54","5.115","26.813","21.216"
"1","4","8","104","106","10","3","168.015","12.409","149.984","141.767"
"1","4","9","921","60","13","2","659.197","29.372","543.871","523.489"
"1","4","10","974","66","16","1","808.746","41.562","635.703","611.656"
"1","4","11","994","69","18","1","881.872","46.065","679.55","653.642"
"1","4","12","991","68","19","1","872.656","47.028","668.873","643.424"
"1","4","13","964","65","19","1","784.105","44.55","606.17","583.335"
"1","4","14","901","59","18","0","621.612","44.253","474.296","456.482"
"1","4","15","767","46","14","0","398.029","32.307","307.807","295.408"
"1","4","16","387","20","11","0","129.356","18.016","94.469","87.502"
"1","4","17","0","0","10","1","0","10","0","0"
"1","4","18","0","0","9","1","0","9","0","0"
"1","4","19","0","0","9","1","0","9","0","0"
"1","4","20","0","0","9","1","0","9","0","0"
"1","4","21","0","0","8","1","0","8","0","0"
"1","4","22","0","0","8","1","0","8","0","0"
"1","4","23","0","0","8","1","0","8","0","0"
"1","5","0","0","0","8","1","0","8","0","0"
"1","5","1","0","0","8","1","0","8","0","0"
"1","5","2","0","0","7","1","0","7","0","0"
"1","5","3","0","0","6","1","0","6","0","0"
"1","5","4","0","0","6","1","0","6","0","0"
"1","5","5","0","0","5","1","0","5","0","0"
"1","5","6","0","0","5","1","0","5","0","0"
"1","5","7","481","27","8","1","170.622","11.863","130.567","122.8"
"1","5","8","771","51","12","2","431.995","22.408","354.99","341.161"
"1","5","9","886","63","16","2","640.653","32.652","520.358","500.864"
"1","5","10","946","67","19","1","789.529","43.771","613.651","590.512"
"1","5","11","969","69","20","0","862.787","53.365","639.562","615.354"
"1","5","12","966","69","21","0","855.36","54.445","630.18","606.361"
"1","5","13","936","66","21","0","766.601","51.807","570.488","549.075"
"1","5","14","868","61","19","0","605.837","44.604","461.676","444.308"
"1","5","15","726","49","16","0","385.161","33.662","296.543","284.473"
"1","5","16","257","22","13","0","101.098","18.766","75.978","69.402"
"1","5","17","0","0","11","0","0","11","0","0"
"1","5","18","0","0","11","1","0","11","0","0"
"1","5","19","0","0","10","1","0","10","0","0"
"1","5","20","0","0","10","1","0","10","0","0"
"1","5","21","0","0","10","1","0","10","0","0"
"1","5","22","0","0","10","1","0","10","0","0"
"1","5","23","0","0","10","1","0","10","0","0"
"1","6","0","0","0","10","1","0","10","0","0"
"1","6","1","0","0","10","1","0","10","0","0"
"1","6","2","0","0","10","1","0","10","0","0"
"1","6","3","0","0","10","1","0","10","0","0"
"1","6","4","0","0","10","1","0","10","0","0"
"1","6","5","0","0","9","1","0","9","0","0"
"1","6","6","0","0","9","1","0","9","0","0"
"1","6","7","80","33","11","0","65.138","11.787","55.263","49.111"
"1","6","8","778","51","15","0","434.91","30.356","344.116","330.623"
"1","6","9","891","64","18","1","645.02","37.852","510.635","491.502"
"1","6","10","953","68","21","1","796.428","45.871","612.342","589.256"
"1","6","11","972","71","22","2","868.567","45.254","672.211","646.619"
"1","6","12","967","71","23","2","859.963","46.205","662.107","636.948"
