"PVWatts: Hourly PV Performance Data"
"Requested Location:","Merced, CA"
"Location:","Lat, Lon: 37.29, -120.5"
"Lat (deg N):","37.29"
"Long (deg W):","120.5"
"Elev (m):","50.150001525879"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.154"
"Capacity Factor (%)","18.2"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0","0","0","0","0","0"
"1","1","1","0","0","0","0","0","0","0","0"
"1","1","2","0","0","-1","0","0","-1","0","0"
"1","1","3","0","0","0","0","0","0","0","0"
"1","1","4","0","0","0","0","0","0","0","0"
"1","1","5","0","0","0","0","0","0","0","0"
"1","1","6","0","0","0","0","0","0","0","0"
"1","1","7","281","12","1","0","87.928","1.353","67.782","61.376"
"1","1","8","705","40","3","0","341.877","15.328","282.016","270.364"
"1","1","9","853","53","5","1","556.414","22.323","469.55","451.905"
"1","1","10","911","62","7","1","709.331","29.806","588.24","566.126"
"1","1","11","939","66","8","1","794.551","33.89","649.511","624.885"
"1","1","12","940","67","9","0","802.038","41.563","631.204","607.343"
"1","1","13","906","67","9","0","727.549","39.346","576.683","555.027"
"1","1","14","842","60","8","0","585.587","33.524","471.185","453.481"
"1","1","15","706","48","7","0","376.852","24.699","303.101","290.84"
"1","1","16","351","21","5","0","124.601","11.755","95.056","88.077"
"1","1","17","0","0","3","0","0","3","0","0"
"1","1","18","0","0","3","0","0","3","0","0"
"1","1","19","0","0","3","0","0","3","0","0"
"1","1","20","0","0","4","0","0","4","0","0"
"1","1","21","0","0","3","0","0","3","0","0"
"1","1","22","0","0","3","0","0","3","0","0"
"1","1","23","0","0","3","0","0","3","0","0"
"1","2","0","0","0","2","0","0","2","0","0"
"1","2","1","0","0","2","0","0","2","0","0"
"1","2","2","0","0","1","0","0","1","0","0"
"1","2","3","0","0","1","0","0","1","0","0"
"1","2","4","0","0","1","0","0","1","0","0"
"1","2","5","0","0","1","0","0","1","0","0"
"1","2","6","0","0","1","0","0","1","0","0"
"1","2","7","220","12","2","0","72.996","3.464","56.511","50.333"
"1","2","8","659","44","4","0","327.174","15.595","270.063","258.748"
"1","2","9","815","60","6","0","546.615","27.611","450.322","433.352"
"1","2","10","885","68","8","0","698.875","35.966","562.509","541.408"
"1","2","11","915","72","9","0","784.356","40.479","620.537","597.116"
"1","2","12","919","72","10","0","793.202","42.156","622.454","598.955"
"1","2","13","865","77","10","1","716.99","33.894","584.196","562.243"
"1","2","14","800","68","9","1","571.381","28.355","471.82","454.094"
"1","2","15","657","53","7","1","362.129","19.379","299.355","287.203"
"1","2","16","294","23","4","1","114.622","7.31","90.755","83.868"
"1","2","17","0","0","2","1","0","2","0","0"
"1","2","18","0","0","2","1","0","2","0","0"
"1","2","19","0","0","2","1","0","2","0","0"
"1","2","20","0","0","2","1","0","2","0","0"
"1","2","21","0","0","2","0","0","2","0","0"
"1","2","22","0","0","1","0","0","1","0","0"
"1","2","23","0","0","1","1","0","1","0","0"
"1","3","0","0","0","1","0","0","1","0","0"
"1","3","1","0","0","1","0","0","1","0","0"
"1","3","2","0","0","2","0","0","2","0","0"
"1","3","3","0","0","1","0","0","1","0","0"
"1","3","4","0","0","0","0","0","0","0","0"
"1","3","5","0","0","0","0","0","0","0","0"
"1","3","6","0","0","0","0","0","0","0","0"
"1","3","7","155","13","2","0","59.144","2.549","47.288","41.294"
"1","3","8","599","47","4","0","308.403","14.71","256.329","245.396"
"1","3","9","765","64","7","0","522.555","27.593","430.759","414.461"
"1","3","10","865","66","9","0","682.845","36.23","548.898","528.323"
"1","3","11","896","70","10","0","768.223","40.804","606.801","583.941"
"1","3","12","898","70","11","0","775.848","42.447","607.974","585.066"
"1","3","13","871","68","12","0","706.788","41.297","554.919","534.113"
"1","3","14","809","61","11","0","570.219","35.677","454.369","437.257"
"1","3","15","678","48","9","0","367.566","26.157","294.26","282.257"
"1","3","16","348","21","7","0","124.896","13.616","94.758","87.785"
"1","3","17","0","0","5","0","0","5","0","0"
"1","3","18","0","0","5","0","0","5","0","0"
"1","3","19","0","0","6","0","0","6","0","0"
"1","3","20","0","0","6","0","0","6","0","0"
"1","3","21","0","0","5","0","0","5","0","0"
"1","3","22","0","0","4","0","0","4","0","0"
"1","3","23","0","0","4","0","0","4","0","0"
"1","4","0","0","0","4","0","0","4","0","0"
"1","4","1","0","0","4","0","0","4","0","0"
"1","4","2","0","0","4","0","0","4","0","0"
"1","4","3","0","0","4","0","0","4","0","0"
"1","4","4","0","0","4","0","0","4","0","0"
"1","4","5","0","0","4","0","0","4","0","0"
"1","4","6","0","0","4","0","0","4","0","0"
"1","4","7","0","6","5","0","5.674","2.764","5.384","0.185"
"1","4","8","0","58","6","0","57.041","4.262","53.786","47.663"
"1","4","9","7","121","8","0","125.365","10.773","114.791","107.379"
"1","4","10","338","171","10","1","433.773","22.31","374.563","360.116"
"1","4","11","867","74","12","1","751.843","35.223","610.767","587.745"
"1","4","12","876","73","13","1","763.822","37.864","612.678","589.578"
"1","4","13","342","179","14","1","453.094","29.821","378.081","363.522"
"1","4","14","786","64","13","1","561.528","30.678","458.783","441.517"
"1","4","15","178","88","10","0","185.356","20.601","157.253","148.863"
"1","4","16","46","24","8","0","40.195","8.955","34.676","28.928"
"1","4","17","0","0","6","1","0","6","0","0"
"1","4","18","0","0","6","0","0","6","0","0"
"1","4","19","0","0","7","0","0","7","0","0"
"1","4","20","0","0","6","0","0","6","0","0"
"1","4","21","0","0","5","0","0","5","0","0"
"1","4","22","0","0","5","0","0","5","0","0"
"1","4","23","0","0","6","0","0","6","0","0"
"1","5","0","0","0","5","0","0","5","0","0"
"1","5","1","0","0","5","0","0","5","0","0"
"1","5","2","0","0","5","0","0","5","0","0"
"1","5","3","0","0","5","0","0","5","0","0"
"1","5","4","0","0","5","0","0","5","0","0"
"1","5","5","0","0","5","0","0","5","0","0"
"1","5","6","0","0","5","0","0","5","0","0"
"1","5","7","0","17","6","0","16.121","2.919","15.289","9.907"
"1","5","8","102","74","8","0","125.672","10.166","111.762","104.418"
"1","5","9","768","59","11","0","518.278","29.904","422.376","406.361"
"1","5","10","841","66","13","0","671.78","39.568","531.176","511.276"
"1","5","11","875","69","14","0","752.617","43.932","585.105","563.115"
"1","5","12","877","69","15","0","760.914","45.565","586.857","564.798"
"1","5","13","318","185","15","1","443.577","30.489","369.097","354.824"
"1","5","14","187","152","14","0","283.822","27.004","238.977","228.515"
"1","5","15","274","83","12","0","229.431","21.702","192.141","182.897"
"1","5","16","57","25","10","0","48.543","11.865","41.273","35.397"
"1","5","17","0","0","10","0","0","10","0","0"
"1","5","18","0","0","10","0","0","10","0","0"
"1","5","19","0","0","10","0","0","10","0","0"
"1","5","20","0","0","9","0","0","9","0","0"
"1","5","21","0","0","9","0","0","9","0","0"
"1","5","22","0","0","9","0","0","9","0","0"
"1","5","23","0","0","9","0","0","9","0","0"
"1","6","0","0","0","8","0","0","8","0","0"
"1","6","1","0","0","8","0","0","8","0","0"
"1","6","2","0","0","8","0","0","8","0","0"
"1","6","3","0","0","8","0","0","8","0","0"
"1","6","4","0","0","8","0","0","8","0","0"
"1","6","5","0","0","8","0","0","8","0","0"
"1","6","6","0","0","8","0","0","8","0","0"
"1","6","7","211","12","9","0","70.072","8.905","52.947","46.841"
"1","6","8","642","42","12","0","316.67","23.019","252.357","241.533"
"1","6","9","802","55","15","0","532.882","35.616","422.148","406.141"
"1","6","10","870","64","17","0","684.923","43.804","529.921","510.068"
"1","6","11","902","67","18","0","771.543","48.266","586.419","564.377"
"1","6","12","906","68","19","0","783.219","50.012","590.119","567.93"
"1","6","13","881","66","19","0","716.1","48.064","543.091","522.739"
"1","6","14","824","59","18","0","582","42.626","448.202","431.304"
"1","6","15","698","47","16","0","380.161","33.322","294.652","282.636"
"1","6","16","377","23","13","0","136.162","20.059","100.551","93.452"
"1","6","17","0","0","12","1","0","12","0","0"
"1","6","18","0","0","12","0","0","12","0","0"
"1","6","19","0","0","12","0","0","12","0","0"
"1","6","20","0","0","12","0","0","12","0","0"
"1","6","21","0","0","11","0","0","11","0","0"
"1","6","22","0","0","10","0","0","10","0","0"
"1","6","23","0","0","10","0","0","10","0","0"
"1","7","0","0","0","10","0","0","10","0","0"
"1","7","1","0","0","10","0","0","10","0","0"
"1","7","2","0","0","10","0","0","10","0","0"
"1","7","3","0","0","10","0","0","10","0","0"
"1","7","4","0","0","10","0","0","10","0","0"
"1","7","5","0","0","10","0","0","10","0","0"
"1","7","6","0","0","10","0","0","10","0","0"
"1","7","7","0","18","11","0","17.169","9.755","15.808","10.417"
"1","7","8","646","43","13","0","319.11","23.627","253.591","242.732"
"1","7","9","805","57","16","0","537.044","36.726","423.17","407.128"
"1","7","10","874","66","18","0","690.633","44.941","531.259","511.355"
"1","7","11","903","70","19","0","776.917","49.382","587.087","565.019"
