"PVWatts: Hourly PV Performance Data"
"Requested Location:","Bakersfield.csv"
"Location:","Lat, Lon: 35.37, -119.02"
"Lat (deg N):","35.37"
"Long (deg W):","119.02"
"Elev (m):","126.23999786377"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.156"
"Capacity Factor (%)","19.0"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0","0","0","0","0","0"
"1","1","1","0","0","0","0","0","0","0","0"
"1","1","2","0","0","0","0","0","0","0","0"
"1","1","3","0","0","0","0","0","0","0","0"
"1","1","4","0","0","0","1","0","0","0","0"
"1","1","5","0","0","0","1","0","0","0","0"
"1","1","6","0","0","-1","1","0","-1","0","0"
"1","1","7","415","20","0","1","138.962","2.025","109.129","101.843"
"1","1","8","760","45","3","2","397.119","12.471","337.263","323.981"
"1","1","9","890","57","6","2","611.556","22.076","519.938","500.459"
"1","1","10","946","65","9","2","764.438","29.648","636.165","612.098"
"1","1","11","971","69","10","2","845.423","33.148","694.66","668.094"
"1","1","12","969","70","11","1","845.01","38.684","675.54","649.805"
"1","1","13","934","69","11","1","760.464","36.293","612.69","589.59"
"1","1","14","867","62","10","0","607.379","36.259","482.634","464.522"
"1","1","15","726","49","7","0","386.313","25.194","309.918","297.457"
"1","1","16","357","21","5","0","124.916","11.868","94.854","87.879"
"1","1","17","0","0","4","0","0","4","0","0"
"1","1","18","0","0","3","0","0","3","0","0"
"1","1","19","0","0","2","1","0","2","0","0"
"1","1","20","0","0","2","1","0","2","0","0"
"1","1","21","0","0","1","1","0","1","0","0"
"1","1","22","0","0","1","1","0","1","0","0"
"1","1","23","0","0","1","0","0","1","0","0"
"1","2","0","0","0","1","0","0","1","0","0"
"1","2","1","0","0","2","0","0","2","0","0"
"1","2","2","0","0","2","0","0","2","0","0"
"1","2","3","0","0","2","0","0","2","0","0"
"1","2","4","0","0","2","0","0","2","0","0"
"1","2","5","0","0","2","0","0","2","0","0"
"1","2","6","0","0","2","0","0","2","0","0"
"1","2","7","342","21","3","0","120.785","6.634","93.998","87.041"
"1","2","8","700","50","5","0","375.759","18.89","310.557","298.077"
"1","2","9","838","64","8","0","592.25","31.374","482.126","464.032"
"1","2","10","898","73","10","1","739.718","33.676","603.803","581.064"
"1","2","11","925","76","11","1","818.626","37.5","658.418","633.415"
"1","2","12","924","77","12","1","819.423","38.783","654.859","630.007"
"1","2","13","897","73","11","1","740.068","35.602","598.445","575.923"
"1","2","14","830","65","10","0","590.184","35.586","470.823","453.132"
"1","2","15","692","51","8","0","375.073","25.62","300.851","288.655"
"1","2","16","337","21","5","0","120.28","11.577","91.842","84.931"
"1","2","17","0","0","3","0","0","3","0","0"
"1","2","18","0","0","3","0","0","3","0","0"
"1","2","19","0","0","3","0","0","3","0","0"
"1","2","20","0","0","2","0","0","2","0","0"
"1","2","21","0","0","2","0","0","2","0","0"
"1","2","22","0","0","2","0","0","2","0","0"
"1","2","23","0","0","1","0","0","1","0","0"
"1","3","0","0","0","1","0","0","1","0","0"
"1","3","1","0","0","1","0","0","1","0","0"
"1","3","2","0","0","1","0","0","1","0","0"
"1","3","3","0","0","1","0","0","1","0","0"
"1","3","4","0","0","0","0","0","0","0","0"
"1","3","5","0","0","0","1","0","0","0","0"
"1","3","6","0","0","0","0","0","0","0","0"
"1","3","7","312","21","2","0","114.804","5.319","90.548","83.666"
"1","3","8","669","52","5","0","363.819","18.378","301.612","289.394"
"1","3","9","808","67","8","0","577.438","30.797","471.494","453.78"
"1","3","10","893","70","10","1","732.726","33.408","598.868","576.328"
"1","3","11","918","73","11","1","810.235","37.233","652.555","627.8"
"1","3","12","917","72","12","1","809.053","38.456","647.656","623.108"
"1","3","13","884","71","12","1","729.724","36.198","588.416","566.294"
"1","3","14","820","63","11","1","583.399","30.665","476.866","458.96"
"1","3","15","684","50","9","0","371.982","26.389","297.527","285.429"
"1","3","16","341","22","6","0","125.045","12.702","95.53","88.54"
"1","3","17","0","0","5","0","0","5","0","0"
"1","3","18","0","0","5","0","0","5","0","0"
"1","3","19","0","0","4","0","0","4","0","0"
"1","3","20","0","0","3","0","0","3","0","0"
"1","3","21","0","0","2","0","0","2","0","0"
"1","3","22","0","0","2","1","0","2","0","0"
"1","3","23","0","0","2","1","0","2","0","0"
"1","4","0","0","0","2","1","0","2","0","0"
"1","4","1","0","0","2","1","0","2","0","0"
"1","4","2","0","0","3","1","0","3","0","0"
"1","4","3","0","0","3","1","0","3","0","0"
"1","4","4","0","0","3","1","0","3","0","0"
"1","4","5","0","0","4","0","0","4","0","0"
"1","4","6","0","0","4","0","0","4","0","0"
"1","4","7","327","21","5","0","118.34","8.505","91.741","84.832"
"1","4","8","145","90","6","0","165.268","11.418","146.422","138.288"
"1","4","9","452","121","7","0","422.979","22.966","360.436","346.436"
"1","4","10","505","155","9","0","554.828","31.4","459.061","441.785"
"1","4","11","923","70","11","1","811.275","36.512","655.754","630.864"
"1","4","12","330","218","13","1","511.818","30.821","426.423","410.272"
"1","4","13","889","68","14","1","731.217","36.858","587.74","565.646"
"1","4","14","822","61","14","0","583.899","39.036","458.085","440.844"
"1","4","15","318","81","11","0","245.339","23.923","202.54","193.033"
"1","4","16","338","22","8","0","124.78","13.277","95.232","88.249"
"1","4","17","0","0","6","0","0","6","0","0"
"1","4","18","0","0","6","1","0","6","0","0"
"1","4","19","0","0","5","1","0","5","0","0"
"1","4","20","0","0","5","1","0","5","0","0"
"1","4","21","0","0","5","1","0","5","0","0"
"1","4","22","0","0","5","1","0","5","0","0"
"1","4","23","0","0","6","1","0","6","0","0"
"1","5","0","0","0","5","1","0","5","0","0"
"1","5","1","0","0","5","1","0","5","0","0"
"1","5","2","0","0","5","1","0","5","0","0"
"1","5","3","0","0","5","1","0","5","0","0"
"1","5","4","0","0","5","1","0","5","0","0"
"1","5","5","0","0","5","1","0","5","0","0"
"1","5","6","0","0","5","1","0","5","0","0"
"1","5","7","322","20","8","1","113.764","9.924","87.211","80.399"
"1","5","8","676","46","12","1","359.491","21.884","292.722","280.762"
"1","5","9","814","59","15","1","571.399","32.472","462.58","445.181"
"1","5","10","875","66","18","1","715.553","40.453","564.686","543.501"
"1","5","11","904","69","20","1","796.012","45.196","615.689","592.467"
"1","5","12","906","68","21","1","797.999","46.51","613.069","589.954"
"1","5","13","883","65","21","1","724.773","44.482","560.511","539.487"
"1","5","14","825","58","20","0","579.766","44.469","442.418","425.721"
"1","5","15","698","46","17","0","376.864","34.152","290.56","278.663"
"1","5","16","373","21","14","0","131.245","20.823","95.935","88.937"
"1","5","17","0","0","12","1","0","12","0","0"
"1","5","18","0","0","10","1","0","10","0","0"
"1","5","19","0","0","9","1","0","9","0","0"
"1","5","20","0","0","9","1","0","9","0","0"
"1","5","21","0","0","8","1","0","8","0","0"
"1","5","22","0","0","8","1","0","8","0","0"
"1","5","23","0","0","8","1","0","8","0","0"
"1","6","0","0","0","8","1","0","8","0","0"
"1","6","1","0","0","8","1","0","8","0","0"
"1","6","2","0","0","7","1","0","7","0","0"
"1","6","3","0","0","7","1","0","7","0","0"
"1","6","4","0","0","7","1","0","7","0","0"
"1","6","5","0","0","7","2","0","7","0","0"
"1","6","6","0","0","7","2","0","7","0","0"
"1","6","7","379","19","10","2","126.935","11.939","95.361","88.375"
"1","6","8","724","44","15","2","377.837","23.791","304.499","292.197"
"1","6","9","854","55","18","3","586.66","31.307","477.381","459.457"
"1","6","10","907","65","21","3","737.853","38.23","588.838","566.7"
"1","6","11","932","67","23","3","816.422","42.307","640.962","616.695"
"1","6","12","933","67","24","2","819.312","46.021","631.088","607.232"
"1","6","13","908","64","23","2","743.36","43.195","578.775","557.037"
"1","6","14","848","58","22","1","595.604","41.565","461.453","444.093"
"1","6","15","719","46","19","0","387.927","36.529","295.762","283.714"
"1","6","16","393","22","16","0","138.049","23.158","99.819","92.737"
"1","6","17","0","0","14","1","0","14","0","0"
"1","6","18","0","0","12","1","0","12","0","0"
"1","6","19","0","0","11","1","0","11","0","0"
"1","6","20","0","0","10","1","0","10","0","0"
"1","6","21","0","0","10","1","0","10","0","0"
"1","6","22","0","0","9","1","0","9","0","0"
"1","6","23","0","0","9","1","0","9","0","0"
"1","7","0","0","0","9","1","0","9","0","0"
"1","7","1","0","0","9","1","0","9","0","0"
"1","7","2","0","0","9","1","0","9","0","0"
"1","7","3","0","0","9","1","0","9","0","0"
"1","7","4","0","0","9","1","0","9","0","0"
"1","7","5","0","0","9","1","0","9","0","0"
"1","7","6","0","0","9","1","0","9","0","0"
"1","7","7","339","20","11","1","117.538","13.162","88.44","81.602"
"1","7","8","137","91","15","1","162.62","18.578","139.674","131.697"
"1","7","9","371","135","18","2","389.801","27.218","326.23","313.283"
"1","7","10","546","147","21","2","575.854","35.748","466.317","448.786"
"1","7","11","912","75","22","1","811.362","46.959","621.914","598.437"
