"PVWatts: Hourly PV Performance Data"
"Requested Location:","Fresno, CA"
"Location:","Lat, Lon: 36.73, -119.78"
"Lat (deg N):","36.73"
"Long (deg W):","119.78"
"Elev (m):","90.400001525879"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.156"
"Capacity Factor (%)","18.2"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-1","1","0","-1","0","0"
"1","1","1","0","0","-1","1","0","-1","0","0"
"1","1","2","0","0","-1","1","0","-1","0","0"
"1","1","3","0","0","-1","1","0","-1","0","0"
"1","1","4","0","0","0","0","0","0","0","0"
"1","1","5","0","0","0","0","0","0","0","0"
"1","1","6","0","0","0","0","0","0","0","0"
"1","1","7","335","15","1","0","107.766","2.377","333.819","306.89"
"1","1","8","724","42","3","0","362.072","16.298","1197.666","1149.052"
"1","1","9","864","54","6","0","574.597","28.807","1885.901","1815.046"
"1","1","10","919","64","8","1","726.75","31.34","2395.489","2305.329"
"1","1","11","945","68","9","1","808.806","35.304","2627.708","2527.95"
"1","1","12","945","68","10","1","811.626","36.662","2619.67","2520.253"
"1","1","13","910","68","10","0","733.278","40.48","2312.054","2225.22"
"1","1","14","845","61","9","0","587.696","34.552","1881.803","1811.093"
"1","1","15","706","48","7","0","374.297","24.631","1202.917","1154.15"
"1","1","16","341","20","5","0","119.678","11.536","364.339","336.762"
"1","1","17","0","0","3","0","0","3","0","0"
"1","1","18","0","0","3","0","0","3","0","0"
"1","1","19","0","0","3","0","0","3","0","0"
"1","1","20","0","0","3","0","0","3","0","0"
"1","1","21","0","0","3","0","0","3","0","0"
"1","1","22","0","0","2","0","0","2","0","0"
"1","1","23","0","0","2","1","0","2","0","0"
"1","2","0","0","0","2","1","0","2","0","0"
"1","2","1","0","0","2","1","0","2","0","0"
"1","2","2","0","0","1","1","0","1","0","0"
"1","2","3","0","0","1","1","0","1","0","0"
"1","2","4","0","0","1","1","0","1","0","0"
"1","2","5","0","0","1","1","0","1","0","0"
"1","2","6","0","0","1","1","0","1","0","0"
"1","2","7","273","16","2","1","93.269","3.156","291.705","265.656"
"1","2","8","676","46","4","1","345.915","13.451","1160.84","1113.292"
"1","2","9","824","61","7","0","563.285","29.244","1846.257","1776.803"
"1","2","10","889","69","9","0","711.981","37.409","2278.177","2192.676"
"1","2","11","916","74","10","0","794.581","41.78","2499.228","2404.842"
"1","2","12","916","74","10","1","797.751","36.211","2581.06","2483.27"
"1","2","13","867","77","11","1","720.003","34.934","2335.04","2247.296"
"1","2","14","802","68","10","1","571.747","29.328","1879.429","1808.804"
"1","2","15","656","53","7","1","359.286","19.293","1186.958","1138.656"
"1","2","16","284","22","4","1","109.657","7.126","346.643","319.443"
"1","2","17","0","0","3","1","0","3","0","0"
"1","2","18","0","0","3","1","0","3","0","0"
"1","2","19","0","0","3","1","0","3","0","0"
"1","2","20","0","0","2","1","0","2","0","0"
"1","2","21","0","0","2","1","0","2","0","0"
"1","2","22","0","0","1","1","0","1","0","0"
"1","2","23","0","0","1","1","0","1","0","0"
"1","3","0","0","0","1","1","0","1","0","0"
"1","3","1","0","0","1","1","0","1","0","0"
"1","3","2","0","0","1","0","0","1","0","0"
"1","3","3","0","0","0","0","0","0","0","0"
"1","3","4","0","0","0","0","0","0","0","0"
"1","3","5","0","0","0","1","0","0","0","0"
"1","3","6","0","0","0","1","0","0","0","0"
"1","3","7","211","16","2","1","78.857","2.59","251.66","226.432"
"1","3","8","621","50","5","0","329.458","16.707","1092.451","1046.849"
"1","3","9","779","65","7","0","541.531","28.4","1782.913","1715.667"
"1","3","10","882","65","9","0","702.432","36.972","2252.437","2167.94"
"1","3","11","909","68","10","0","782.629","41.36","2466.906","2373.848"
"1","3","12","910","69","11","0","788.19","42.904","2465.519","2372.517"
"1","3","13","883","66","12","0","714.519","41.606","2240.7","2156.659"
"1","3","14","820","60","11","0","574.797","35.873","1829.861","1760.981"
"1","3","15","685","47","9","0","367.078","26.175","1173.419","1125.508"
"1","3","16","343","20","7","0","121.228","13.468","366.647","339.021"
"1","3","17","0","0","6","0","0","6","0","0"
"1","3","18","0","0","6","1","0","6","0","0"
"1","3","19","0","0","6","0","0","6","0","0"
"1","3","20","0","0","6","0","0","6","0","0"
