"PVWatts: Hourly PV Performance Data"
"Requested Location:","Barstow, CA"
"Location:","Lat, Lon: 34.89, -117.02"
"Lat (deg N):","34.89"
"Long (deg W):","117.02"
"Elev (m):","669.20001220703"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.160"
"Capacity Factor (%)","20.5"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","1","1","0","1","0","0"
"1","1","1","0","0","1","1","0","1","0","0"
"1","1","2","0","0","1","1","0","1","0","0"
"1","1","3","0","0","0","1","0","0","0","0"
"1","1","4","0","0","0","1","0","0","0","0"
"1","1","5","0","0","0","1","0","0","0","0"
"1","1","6","0","0","0","1","0","0","0","0"
"1","1","7","526","24","3","2","181.441","5.947","567.318","535.211"
"1","1","8","803","44","6","3","435.157","15.357","1473.712","1416.706"
"1","1","9","278","161","9","4","362.069","16.379","1280.442","1229.386"
"1","1","10","962","60","12","4","785.444","28.415","2633.329","2533.332"
"1","1","11","983","63","13","3","855.819","33.633","2807.341","2699.815"
"1","1","12","982","62","14","3","845.781","34.536","2760.855","2655.368"
"1","1","13","956","59","15","3","756.909","33.445","2471.718","2378.463"
"1","1","14","894","52","14","2","594.387","30.543","1936.317","1863.66"
"1","1","15","757","40","11","1","371.509","23.656","1186.513","1138.223"
"1","1","16","365","15","8","1","113.12","11.297","333.871","306.941"
"1","1","17","0","0","7","1","0","7","0","0"
"1","1","18","0","0","7","1","0","7","0","0"
"1","1","19","0","0","6","1","0","6","0","0"
"1","1","20","0","0","6","1","0","6","0","0"
"1","1","21","0","0","5","1","0","5","0","0"
"1","1","22","0","0","4","1","0","4","0","0"
"1","1","23","0","0","3","1","0","3","0","0"
"1","2","0","0","0","3","1","0","3","0","0"
"1","2","1","0","0","2","1","0","2","0","0"
"1","2","2","0","0","1","1","0","1","0","0"
"1","2","3","0","0","0","1","0","0","0","0"
"1","2","4","0","0","0","1","0","0","0","0"
"1","2","5","0","0","0","1","0","0","0","0"
"1","2","6","0","0","0","1","0","0","0","0"
"1","2","7","544","24","3","2","185.88","6.496","578.552","546.183"
"1","2","8","823","42","6","3","441.419","15.521","1492.621","1435.015"
"1","2","9","932","51","9","3","650.693","24.136","2198.935","2116.507"
"1","2","10","981","56","12","3","794.738","30.935","2632.283","2532.331"
"1","2","11","998","59","14","4","863.473","32.899","2842.641","2733.553"
"1","2","12","992","59","15","3","851.099","35.639","2763.249","2657.657"
"1","2","13","962","56","16","3","759.044","34.475","2466.407","2373.369"
"1","2","14","897","50","15","2","595.405","31.545","1930.724","1858.268"
"1","2","15","761","39","11","1","373.513","23.723","1193.323","1144.835"
"1","2","16","379","15","9","1","116.952","12.432","343.203","316.076"
"1","2","17","0","0","9","1","0","9","0","0"
"1","2","18","0","0","8","1","0","8","0","0"
"1","2","19","0","0","8","1","0","8","0","0"
"1","2","20","0","0","7","1","0","7","0","0"
"1","2","21","0","0","5","1","0","5","0","0"
"1","2","22","0","0","4","1","0","4","0","0"
"1","2","23","0","0","3","1","0","3","0","0"
"1","3","0","0","0","2","1","0","2","0","0"
"1","3","1","0","0","2","1","0","2","0","0"
"1","3","2","0","0","1","1","0","1","0","0"
"1","3","3","0","0","0","1","0","0","0","0"
"1","3","4","0","0","0","1","0","0","0","0"
"1","3","5","0","0","0","1","0","0","0","0"
"1","3","6","0","0","0","1","0","0","0","0"
"1","3","7","543","25","2","1","186.12","6.32","579.927","547.526"
"1","3","8","827","45","6","2","446.511","16.937","1500.6","1442.739"
"1","3","9","936","55","9","3","657.971","24.321","2221.886","2138.574"
"1","3","10","986","61","11","4","804.875","28.461","2697.992","2595.23"
"1","3","11","1007","64","13","4","877.523","32.246","2898.334","2786.759"
"1","3","12","1004","64","14","3","867.889","35.093","2825.685","2717.349"
"1","3","13","979","60","14","3","777.74","33.008","2545.907","2449.587"
"1","3","14","918","54","13","2","614.572","30.163","2007.277","1932.043"
"1","3","15","784","42","10","1","388.642","23.313","1245.863","1195.835"
"1","3","16","396","16","7","1","122.975","10.723","364.285","336.71"
"1","3","17","0","0","7","1","0","7","0","0"
"1","3","18","0","0","7","1","0","7","0","0"
"1","3","19","0","0","6","1","0","6","0","0"
"1","3","20","0","0","6","1","0","6","0","0"
