"PVWatts: Hourly PV Performance Data"
"Requested Location:","Blythe, CA"
"Location:","Lat, Lon: 33.61, -114.58"
"Lat (deg N):","33.61"
"Long (deg W):","114.58"
"Elev (m):","82.160003662109"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.160"
"Capacity Factor (%)","20.0"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","8","0","0","8","0","0"
"1","1","1","0","0","7","1","0","7","0","0"
"1","1","2","0","0","6","1","0","6","0","0"
"1","1","3","0","0","4","1","0","4","0","0"
"1","1","4","0","0","4","1","0","4","0","0"
"1","1","5","0","0","3","1","0","3","0","0"
"1","1","6","0","0","4","1","0","4","0","0"
"1","1","7","465","38","6","2","202.653","9.55","164.674","156.106"
"1","1","8","721","63","9","3","450.654","18.755","381.886","367.205"
"1","1","9","828","78","12","4","650.291","25.696","548.564","528.002"
"1","1","10","884","85","15","5","785.877","30.064","654.942","630.086"
"1","1","11","899","90","16","6","842.168","30.662","701.438","674.574"
"1","1","12","882","92","17","6","814.544","31.259","675.899","650.148"
"1","1","13","896","71","17","6","725.213","29.66","603.002","580.295"
"1","1","14","806","65","16","5","551.36","26.645","457.017","439.812"
"1","1","15","601","51","14","3","310.506","21.27","250.286","239.518"
"1","1","16","104","11","11","2","42.989","11.255","33.518","27.792"
"1","1","17","0","0","9","2","0","9","0","0"
"1","1","18","0","0","9","3","0","9","0","0"
"1","1","19","0","0","9","3","0","9","0","0"
"1","1","20","0","0","9","4","0","9","0","0"
"1","1","21","0","0","8","4","0","8","0","0"
"1","1","22","0","0","8","4","0","8","0","0"
"1","1","23","0","0","7","4","0","7","0","0"
"1","2","0","0","0","6","3","0","6","0","0"
"1","2","1","0","0","5","3","0","5","0","0"
"1","2","2","0","0","5","4","0","5","0","0"
"1","2","3","0","0","4","3","0","4","0","0"
"1","2","4","0","0","4","3","0","4","0","0"
"1","2","5","0","0","4","2","0","4","0","0"
"1","2","6","0","0","4","2","0","4","0","0"
"1","2","7","483","38","6","3","207.788","9.29","168.681","160.017"
"1","2","8","728","64","10","3","454.781","19.857","383.386","368.657"
"1","2","9","834","79","13","3","655.205","28.183","546.219","525.747"
"1","2","10","860","96","16","3","780.526","34.496","636.695","612.606"
"1","2","11","889","96","18","3","841.816","38.128","675.92","650.169"
"1","2","12","892","92","19","3","823.534","38.826","658.355","633.355"
"1","2","13","834","92","20","3","711.927","37.223","570.826","549.4"
"1","2","14","762","77","19","2","540.899","33.889","433.531","417.138"
"1","2","15","594","54","15","1","312.343","25.475","247.393","236.704"
"1","2","16","0","15","12","1","14.216","11.674","12.979","7.641"
"1","2","17","0","0","10","2","0","10","0","0"
"1","2","18","0","0","9","2","0","9","0","0"
"1","2","19","0","0","9","2","0","9","0","0"
"1","2","20","0","0","9","2","0","9","0","0"
"1","2","21","0","0","8","2","0","8","0","0"
"1","2","22","0","0","7","2","0","7","0","0"
"1","2","23","0","0","7","1","0","7","0","0"
"1","3","0","0","0","7","1","0","7","0","0"
"1","3","1","0","0","7","1","0","7","0","0"
"1","3","2","0","0","6","1","0","6","0","0"
"1","3","3","0","0","6","1","0","6","0","0"
"1","3","4","0","0","6","1","0","6","0","0"
"1","3","5","0","0","6","1","0","6","0","0"
"1","3","6","0","0","7","1","0","7","0","0"
"1","3","7","0","41","9","1","40.585","7.712","37.704","31.898"
"1","3","8","237","115","12","2","255.2","17.175","221.779","211.774"
"1","3","9","624","108","14","2","552.213","27.84","461.898","444.522"
"1","3","10","861","87","17","1","771.219","41.006","608.917","585.971"
"1","3","11","661","142","19","1","715.081","42.21","562.723","541.614"
"1","3","12","880","87","20","1","809.384","45.566","625.15","601.54"
"1","3","13","882","71","21","1","718.241","44.345","555.242","534.422"
"1","3","14","815","61","20","0","555.159","43.66","423.276","407.231"
"1","3","15","665","44","18","0","328.872","33.308","249.734","238.981"
"1","3","16","240","12","16","0","76.137","20.173","54.061","47.932"
"1","3","17","0","0","14","0","0","14","0","0"
"1","3","18","0","0","13","0","0","13","0","0"
"1","3","19","0","0","12","1","0","12","0","0"
"1","3","20","0","0","11","1","0","11","0","0"
"1","3","21","0","0","9","1","0","9","0","0"
"1","3","22","0","0","9","1","0","9","0","0"
"1","3","23","0","0","8","1","0","8","0","0"
"1","4","0","0","0","8","0","0","8","0","0"
"1","4","1","0","0","8","0","0","8","0","0"
"1","4","2","0","0","8","0","0","8","0","0"
"1","4","3","0","0","7","0","0","7","0","0"
