"PVWatts: Hourly PV Performance Data"
"Requested Location:","Needles, CA"
"Location:","Lat, Lon: 34.85, -114.62"
"Lat (deg N):","34.85"
"Long (deg W):","114.62"
"Elev (m):","165.16000366211"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.117"
"Capacity Factor (%)","20.0"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","4","1","0","4","0","0"
"1","1","1","0","0","3","1","0","3","0","0"
"1","1","2","0","0","3","1","0","3","0","0"
"1","1","3","0","0","3","1","0","3","0","0"
"1","1","4","0","0","2","1","0","2","0","0"
"1","1","5","0","0","2","1","0","2","0","0"
"1","1","6","0","0","3","1","0","3","0","0"
"1","1","7","493","33","5","2","197.893","8.413","159.1","150.666"
"1","1","8","744","54","9","3","443.556","18.571","374.468","360.024"
"1","1","9","851","65","12","3","639.799","26.817","535.807","515.732"
"1","1","10","888","75","14","3","760.426","32.055","627.025","603.337"
"1","1","11","905","77","15","3","814.153","34.55","664.877","639.599"
"1","1","12","896","76","16","3","789.793","35.09","642.641","618.304"
"1","1","13","862","71","16","3","695.787","32.876","569.03","547.675"
"1","1","14","414","114","15","2","375.726","25.622","314.743","302.139"
"1","1","15","360","59","12","1","217.834","18.716","179.402","170.476"
"1","1","16","0","0","9","1","0","9","0","0"
"1","1","17","0","0","8","1","0","8","0","0"
"1","1","18","0","0","8","2","0","8","0","0"
"1","1","19","0","0","7","2","0","7","0","0"
"1","1","20","0","0","7","2","0","7","0","0"
"1","1","21","0","0","6","2","0","6","0","0"
"1","1","22","0","0","5","2","0","5","0","0"
"1","1","23","0","0","5","2","0","5","0","0"
"1","2","0","0","0","5","2","0","5","0","0"
"1","2","1","0","0","5","1","0","5","0","0"
"1","2","2","0","0","5","1","0","5","0","0"
"1","2","3","0","0","5","1","0","5","0","0"
"1","2","4","0","0","5","1","0","5","0","0"
"1","2","5","0","0","5","1","0","5","0","0"
"1","2","6","0","0","5","1","0","5","0","0"
"1","2","7","136","43","7","1","96.559","7.597","83.037","76.314"
"1","2","8","100","114","10","2","177.748","13.227","158.666","150.243"
"1","2","9","256","171","13","2","365.078","21.63","315.801","303.165"
"1","2","10","469","177","14","2","567.639","28.598","476.968","459.059"
"1","2","11","572","164","15","2","655.659","32.491","541.452","521.162"
"1","2","12","574","157","16","2","638.83","33.304","525.053","505.383"
