"PVWatts: Hourly PV Performance Data"
"Requested Location:","Mt. Shasta, CA"
"Location:","Lat, Lon: 41.33, -122.3"
"Lat (deg N):","41.33"
"Long (deg W):","122.3"
"Elev (m):","1226.5"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.131"
"Capacity Factor (%)","17.2"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-2","0","0","-2","0","0"
"1","1","1","0","0","-3","0","0","-3","0","0"
"1","1","2","0","0","-3","0","0","-3","0","0"
"1","1","3","0","0","-3","0","0","-3","0","0"
"1","1","4","0","0","-3","0","0","-3","0","0"
"1","1","5","0","0","-3","0","0","-3","0","0"
"1","1","6","0","0","-4","0","0","-4","0","0"
"1","1","7","0","0","-4","0","0","-4","0","0"
"1","1","8","5","46","-3","0","48.677","-5.445","190.29","166.292"
"1","1","9","191","107","-1","0","227.438","6.277","831.857","793.273"
"1","1","10","0","107","-1","1","105.277","1.217","402.258","373.864"
"1","1","11","38","172","0","1","211.813","5.124","794.695","757.06"
"1","1","12","0","24","0","1","22.753","-0.763","87.665","65.645"
"1","1","13","0","15","0","0","14.211","-3.674","55.423","34.004"
"1","1","14","0","19","0","0","17.996","-3.669","70.182","48.489"
"1","1","15","0","58","-1","0","57.254","-2.733","222.419","197.781"
"1","1","16","0","10","-1","0","9.465","-4.44","37.03","15.95"
"1","1","17","0","0","-2","0","0","-2","0","0"
"1","1","18","0","0","-2","0","0","-2","0","0"
"1","1","19","0","0","-3","0","0","-3","0","0"
"1","1","20","0","0","-3","0","0","-3","0","0"
"1","1","21","0","0","-3","0","0","-3","0","0"
"1","1","22","0","0","-3","0","0","-3","0","0"
"1","1","23","0","0","-3","0","0","-3","0","0"
"1","2","0","0","0","-3","0","0","-3","0","0"
"1","2","1","0","0","-4","0","0","-4","0","0"
"1","2","2","0","0","-4","0","0","-4","0","0"
"1","2","3","0","0","-4","0","0","-4","0","0"
"1","2","4","0","0","-5","0","0","-5","0","0"
"1","2","5","0","0","-5","0","0","-5","0","0"
"1","2","6","0","0","-5","0","0","-5","0","0"
"1","2","7","0","0","-5","0","0","-5","0","0"
"1","2","8","0","27","-3","0","25.6","-6.569","101.036","78.764"
"1","2","9","0","71","-1","0","69.059","-2.1","267.573","242.02"
"1","2","10","0","30","0","0","28.439","-2.306","110.281","87.834"
"1","2","11","0","49","0","0","46.502","-2.061","180.146","156.348"
"1","2","12","0","17","0","0","16.112","-3.26","62.727","41.173"
"1","2","13","0","70","0","0","66.493","-1.3","256.771","231.439"
"1","2","14","0","22","0","0","20.841","-2.709","80.955","59.062"
"1","2","15","0","30","0","0","28.435","-3.061","110.614","88.16"
"1","2","16","0","5","-2","0","4.727","-6.101","18.619","0"
"1","2","17","0","0","-3","0","0","-3","0","0"
"1","2","18","0","0","-3","0","0","-3","0","0"
"1","2","19","0","0","-4","0","0","-4","0","0"
"1","2","20","0","0","-4","0","0","-4","0","0"
"1","2","21","0","0","-4","0","0","-4","0","0"
"1","2","22","0","0","-4","0","0","-4","0","0"
"1","2","23","0","0","-4","0","0","-4","0","0"
"1","3","0","0","0","-4","0","0","-4","0","0"
"1","3","1","0","0","-4","0","0","-4","0","0"
"1","3","2","0","0","-4","0","0","-4","0","0"
"1","3","3","0","0","-5","0","0","-5","0","0"
"1","3","4","0","0","-6","0","0","-6","0","0"
"1","3","5","0","0","-7","0","0","-7","0","0"
"1","3","6","0","0","-8","1","0","-8","0","0"
"1","3","7","0","0","-9","1","0","-9","0","0"
"1","3","8","625","29","-7","1","257.45","-0.868","876.49","836.748"
"1","3","9","822","42","-4","1","476.826","10.77","1669.792","1606.394"
"1","3","10","886","54","-2","1","633.616","18.687","2198.728","2116.308"
"1","3","11","919","59","-1","1","725.991","23.158","2488.656","2394.706"
"1","3","12","925","60","0","0","744.11","31.184","2458.41","2365.698"
"1","3","13","913","55","0","0","688.487","29.561","2282.174","2196.515"
"1","3","14","857","50","0","0","559.121","25.023","1864.724","1794.619"
"1","3","15","723","40","-1","0","365.694","16.577","1211.748","1162.724"
"1","3","16","360","18","-3","0","122.519","3.81","383.688","355.695"
"1","3","17","0","0","-4","0","0","-4","0","0"
"1","3","18","0","0","-6","1","0","-6","0","0"
"1","3","19","0","0","-7","1","0","-7","0","0"
"1","3","20","0","0","-8","1","0","-8","0","0"
"1","3","21","0","0","-8","1","0","-8","0","0"
"1","3","22","0","0","-9","1","0","-9","0","0"
"1","3","23","0","0","-10","1","0","-10","0","0"
"1","4","0","0","0","-10","1","0","-10","0","0"
"1","4","1","0","0","-11","1","0","-11","0","0"
"1","4","2","0","0","-11","1","0","-11","0","0"
"1","4","3","0","0","-11","1","0","-11","0","0"
"1","4","4","0","0","-11","1","0","-11","0","0"
"1","4","5","0","0","-11","1","0","-11","0","0"
"1","4","6","0","0","-11","0","0","-11","0","0"
"1","4","7","0","0","-10","0","0","-10","0","0"
"1","4","8","616","34","-8","0","260.507","0.284","885.492","845.515"
"1","4","9","813","53","-5","1","488.84","10.212","1718.901","1653.847"
"1","4","10","870","71","-3","1","648.817","18.267","2257.73","2173.027"
"1","4","11","906","78","-1","1","745.99","23.822","2550.642","2454.125"
"1","4","12","127","198","0","0","317.373","17.305","1126.626","1080.057"
"1","4","13","252","172","0","0","375.452","15.843","1336.204","1283.467"
"1","4","14","52","131","0","0","171.552","8.694","631.114","597.505"
"1","4","15","12","74","-1","0","80.654","1.511","306.127","279.778"
"1","4","16","0","14","-3","0","13.262","-5.798","52.177","30.819"
"1","4","17","0","0","-4","1","0","-4","0","0"
"1","4","18","0","0","-5","1","0","-5","0","0"
"1","4","19","0","0","-6","1","0","-6","0","0"
"1","4","20","0","0","-6","1","0","-6","0","0"
"1","4","21","0","0","-6","1","0","-6","0","0"
"1","4","22","0","0","-6","1","0","-6","0","0"
"1","4","23","0","0","-6","1","0","-6","0","0"
"1","5","0","0","0","-6","1","0","-6","0","0"
"1","5","1","0","0","-6","1","0","-6","0","0"
"1","5","2","0","0","-6","1","0","-6","0","0"
"1","5","3","0","0","-6","1","0","-6","0","0"
"1","5","4","0","0","-6","1","0","-6","0","0"
"1","5","5","0","0","-6","1","0","-6","0","0"
"1","5","6","0","0","-6","1","0","-6","0","0"
"1","5","7","0","0","-5","1","0","-5","0","0"
"1","5","8","0","46","-3","0","46.86","-5.555","184.176","160.298"
"1","5","9","767","62","-1","0","475.271","16.161","1629.703","1567.641"
"1","5","10","846","78","0","0","641.898","26.247","2153.266","2072.583"
"1","5","11","878","88","0","0","738.525","30.488","2447.181","2354.928"
"1","5","12","300","186","0","0","437.778","21.361","1522.101","1463.551"
"1","5","13","40","164","0","0","203.414","10.562","744.977","708.592"
"1","5","14","0","90","0","0","88.023","3.269","333.414","306.493"
"1","5","15","0","59","0","0","57.933","-0.104","222.597","197.956"
"1","5","16","305","21","0","0","114.308","2.217","367.475","339.831"
"1","5","17","0","0","-1","0","0","-1","0","0"
"1","5","18","0","0","-2","0","0","-2","0","0"
"1","5","19","0","0","-3","0","0","-3","0","0"
"1","5","20","0","0","-3","0","0","-3","0","0"
"1","5","21","0","0","-4","0","0","-4","0","0"
"1","5","22","0","0","-4","0","0","-4","0","0"
"1","5","23","0","0","-4","0","0","-4","0","0"
"1","6","0","0","0","-5","0","0","-5","0","0"
"1","6","1","0","0","-5","0","0","-5","0","0"
"1","6","2","0","0","-5","0","0","-5","0","0"
"1","6","3","0","0","-5","0","0","-5","0","0"
"1","6","4","0","0","-5","0","0","-5","0","0"
"1","6","5","0","0","-5","0","0","-5","0","0"
"1","6","6","0","0","-5","0","0","-5","0","0"
"1","6","7","0","0","-5","0","0","-5","0","0"
"1","6","8","591","35","-3","0","252.449","4.847","842.486","803.628"
"1","6","9","797","55","-1","0","483.019","18.191","1639.526","1577.139"
"1","6","10","886","65","0","0","652.877","26.667","2184.696","2102.814"
"1","6","11","923","71","0","0","746.335","30.805","2468.445","2375.324"
"1","6","12","395","172","0","0","489.836","23.149","1687.54","1623.547"
"1","6","13","147","181","0","0","306.246","14.824","1097.307","1051.568"
"1","6","14","408","113","0","0","380.861","15.934","1337.515","1284.738"
"1","6","15","680","52","-1","0","365.123","15.052","1226.058","1176.614"
"1","6","16","338","21","-3","0","121.174","3.735","383.929","355.932"
"1","6","17","0","0","-4","0","0","-4","0","0"
"1","6","18","0","0","-5","0","0","-5","0","0"
"1","6","19","0","0","-5","0","0","-5","0","0"
"1","6","20","0","0","-5","0","0","-5","0","0"
"1","6","21","0","0","-6","0","0","-6","0","0"
"1","6","22","0","0","-5","0","0","-5","0","0"
"1","6","23","0","0","-4","0","0","-4","0","0"
"1","7","0","0","0","-4","0","0","-4","0","0"
"1","7","1","0","0","-4","0","0","-4","0","0"
"1","7","2","0","0","-3","0","0","-3","0","0"
"1","7","3","0","0","-3","0","0","-3","0","0"
"1","7","4","0","0","-4","0","0","-4","0","0"
"1","7","5","0","0","-4","0","0","-4","0","0"
"1","7","6","0","0","-4","0","0","-4","0","0"
"1","7","7","0","0","-3","0","0","-3","0","0"
"1","7","8","0","10","-3","1","9.46","-5.593","37.185","16.102"
"1","7","9","39","106","-2","1","134.207","-0.118","511.793","480.964"
"1","7","10","0","113","-1","1","111.551","0.862","426.874","397.942"
"1","7","11","0","71","-1","2","67.448","-0.903","260.027","234.629"
"1","7","12","0","21","-1","2","19.907","-2.455","77.246","55.422"
