"PVWatts: Hourly PV Performance Data"
"Requested Location:","Eureka, CA"
"Location:","Lat, Lon: 40.77, -124.18"
"Lat (deg N):","40.77"
"Long (deg W):","124.18"
"Elev (m):","18.440000534058"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.156"
"Capacity Factor (%)","15.3"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","4","3","0","4","0","0"
"1","1","1","0","0","4","4","0","4","0","0"
"1","1","2","0","0","4","4","0","4","0","0"
"1","1","3","0","0","4","4","0","4","0","0"
"1","1","4","0","0","4","4","0","4","0","0"
"1","1","5","0","0","4","3","0","4","0","0"
"1","1","6","0","0","4","3","0","4","0","0"
"1","1","7","0","0","4","2","0","4","0","0"
"1","1","8","62","42","5","2","70.315","4.795","63.212","56.899"
"1","1","9","171","101","7","3","207.629","10.484","186.246","177.149"
"1","1","10","556","99","8","3","480.794","18.504","418.607","402.719"
"1","1","11","897","60","8","2","711.124","26.892","598.82","576.282"
"1","1","12","911","60","9","2","739.307","29.319","616.464","593.21"
"1","1","13","894","58","10","3","690.181","26.79","580.391","558.588"
"1","1","14","841","52","10","3","567.191","23.779","477.378","459.454"
"1","1","15","722","42","9","3","383.843","18.11","318.854","306.128"
"1","1","16","420","21","7","3","148.503","9.891","114.652","107.244"
"1","1","17","0","0","7","2","0","7","0","0"
"1","1","18","0","0","7","2","0","7","0","0"
"1","1","19","0","0","7","1","0","7","0","0"
"1","1","20","0","0","6","1","0","6","0","0"
"1","1","21","0","0","6","1","0","6","0","0"
"1","1","22","0","0","6","1","0","6","0","0"
"1","1","23","0","0","6","1","0","6","0","0"
"1","2","0","0","0","6","1","0","6","0","0"
"1","2","1","0","0","6","1","0","6","0","0"
"1","2","2","0","0","6","2","0","6","0","0"
"1","2","3","0","0","6","2","0","6","0","0"
"1","2","4","0","0","6","2","0","6","0","0"
"1","2","5","0","0","6","1","0","6","0","0"
"1","2","6","0","0","6","1","0","6","0","0"
"1","2","7","0","0","6","2","0","6","0","0"
"1","2","8","525","31","7","2","216.861","10.951","174.348","165.546"
"1","2","9","673","49","8","2","404.093","17.865","342.37","328.931"
"1","2","10","206","150","9","1","299.378","18.499","262.455","251.352"
"1","2","11","176","185","10","1","334.186","20.052","292.45","280.498"
"1","2","12","402","163","11","1","495.97","26.219","421.096","405.124"
"1","2","13","866","60","11","1","674.797","32.305","552.763","532.039"
"1","2","14","810","55","10","1","558.231","28.721","459.371","442.084"
"1","2","15","690","45","9","1","374.476","21.633","306.678","294.312"
"1","2","16","390","22","8","1","141.824","12.262","108.969","101.687"
"1","2","17","0","0","8","1","0","8","0","0"
"1","2","18","0","0","8","1","0","8","0","0"
"1","2","19","0","0","8","1","0","8","0","0"
"1","2","20","0","0","8","1","0","8","0","0"
"1","2","21","0","0","8","2","0","8","0","0"
"1","2","22","0","0","7","2","0","7","0","0"
"1","2","23","0","0","7","2","0","7","0","0"
"1","3","0","0","0","6","3","0","6","0","0"
"1","3","1","0","0","6","3","0","6","0","0"
"1","3","2","0","0","6","4","0","6","0","0"
"1","3","3","0","0","5","4","0","5","0","0"
"1","3","4","0","0","5","5","0","5","0","0"
"1","3","5","0","0","5","5","0","5","0","0"
"1","3","6","0","0","5","5","0","5","0","0"
"1","3","7","0","0","5","5","0","5","0","0"
"1","3","8","557","31","6","4","226.853","9.406","183.217","174.196"
"1","3","9","772","49","7","4","453.081","15.934","386.798","371.958"
"1","3","10","861","58","9","3","617.146","23.374","523.573","503.959"
"1","3","11","899","62","10","2","716.222","29.383","596.085","573.657"
"1","3","12","906","63","11","1","741.492","35.199","600.992","578.367"
"1","3","13","884","61","12","1","689.833","34.762","558.41","537.468"
"1","3","14","825","56","11","1","569.963","30.089","466.113","448.589"
"1","3","15","484","59","10","1","301.524","20.391","250.58","239.804"
"1","3","16","153","26","9","1","82.973","10.898","68.064","61.652"
"1","3","17","0","0","8","1","0","8","0","0"
"1","3","18","0","0","8","1","0","8","0","0"
"1","3","19","0","0","7","1","0","7","0","0"
"1","3","20","0","0","7","2","0","7","0","0"
"1","3","21","0","0","7","2","0","7","0","0"
"1","3","22","0","0","7","2","0","7","0","0"
"1","3","23","0","0","7","3","0","7","0","0"
"1","4","0","0","0","7","3","0","7","0","0"
"1","4","1","0","0","7","3","0","7","0","0"
"1","4","2","0","0","7","3","0","7","0","0"
"1","4","3","0","0","7","3","0","7","0","0"
"1","4","4","0","0","7","3","0","7","0","0"
"1","4","5","0","0","7","3","0","7","0","0"
"1","4","6","0","0","7","3","0","7","0","0"
"1","4","7","0","0","7","4","0","7","0","0"
"1","4","8","376","37","8","3","177.385","10.548","145.287","137.18"
"1","4","9","718","55","9","2","432.943","19.494","364.145","350.029"
"1","4","10","782","58","10","2","572.263","25.04","481.945","463.858"
"1","4","11","595","115","11","1","573.042","29.643","477.265","459.345"
"1","4","12","865","74","12","1","731.752","35.245","593.193","570.881"
"1","4","13","838","73","13","1","679.202","35.356","548.533","527.972"
"1","4","14","774","67","12","1","554.126","30.525","452.736","435.681"
"1","4","15","414","67","11","0","277.28","24.774","226.779","216.642"
"1","4","16","136","27","11","0","79.945","14.755","65.061","58.711"
"1","4","17","0","0","10","0","0","10","0","0"
"1","4","18","0","0","9","0","0","9","0","0"
"1","4","19","0","0","9","0","0","9","0","0"
"1","4","20","0","0","8","1","0","8","0","0"
"1","4","21","0","0","8","1","0","8","0","0"
"1","4","22","0","0","8","1","0","8","0","0"
"1","4","23","0","0","7","1","0","7","0","0"
"1","5","0","0","0","7","1","0","7","0","0"
"1","5","1","0","0","7","1","0","7","0","0"
"1","5","2","0","0","7","1","0","7","0","0"
"1","5","3","0","0","7","0","0","7","0","0"
"1","5","4","0","0","7","0","0","7","0","0"
"1","5","5","0","0","7","0","0","7","0","0"
"1","5","6","0","0","8","0","0","8","0","0"
"1","5","7","0","0","8","0","0","8","0","0"
"1","5","8","489","34","8","0","210.486","13.988","167.799","159.156"
"1","5","9","231","98","9","0","233.237","18.159","201.187","191.714"
"1","5","10","606","90","10","1","502.618","24.972","424.444","408.36"
"1","5","11","590","117","11","1","572.244","29.303","477.439","459.513"
"1","5","12","47","184","11","1","231.846","19.185","204.342","194.788"
"1","5","13","40","168","11","2","207.666","15.542","186.015","176.924"
"1","5","14","0","75","10","2","71.789","10.674","65.834","59.468"
"1","5","15","0","64","8","2","62.581","7.885","58.095","51.885"
"1","5","16","0","21","7","2","19.915","5.624","18.669","13.225"
"1","5","17","0","0","7","2","0","7","0","0"
"1","5","18","0","0","7","2","0","7","0","0"
"1","5","19","0","0","7","2","0","7","0","0"
"1","5","20","0","0","7","2","0","7","0","0"
"1","5","21","0","0","7","3","0","7","0","0"
"1","5","22","0","0","7","3","0","7","0","0"
"1","5","23","0","0","7","3","0","7","0","0"
"1","6","0","0","0","7","3","0","7","0","0"
"1","6","1","0","0","7","3","0","7","0","0"
"1","6","2","0","0","7","3","0","7","0","0"
"1","6","3","0","0","7","2","0","7","0","0"
"1","6","4","0","0","7","2","0","7","0","0"
"1","6","5","0","0","6","2","0","6","0","0"
"1","6","6","0","0","6","2","0","6","0","0"
"1","6","7","0","0","6","1","0","6","0","0"
"1","6","8","54","43","7","1","68.704","6.637","61.567","55.287"
"1","6","9","150","103","8","1","192.188","12.236","171.264","162.537"
"1","6","10","418","124","9","2","419.948","19.195","365.394","351.238"
"1","6","11","524","133","9","2","540.104","23.175","464.143","446.689"
"1","6","12","101","196","10","2","285.86","17.76","253.316","242.466"
"1","6","13","569","118","10","2","550.572","23.982","470.676","452.99"
"1","6","14","566","90","9","2","461.8","21.536","395.033","379.926"
"1","6","15","0","74","8","2","73.672","9.645","67.867","61.459"
"1","6","16","74","29","7","2","60.391","6.817","52.429","46.333"
"1","6","17","0","0","7","2","0","7","0","0"
"1","6","18","0","0","7","2","0","7","0","0"
"1","6","19","0","0","7","2","0","7","0","0"
"1","6","20","0","0","7","3","0","7","0","0"
"1","6","21","0","0","7","3","0","7","0","0"
"1","6","22","0","0","6","3","0","6","0","0"
"1","6","23","0","0","6","3","0","6","0","0"
"1","7","0","0","0","6","3","0","6","0","0"
"1","7","1","0","0","6","4","0","6","0","0"
"1","7","2","0","0","5","4","0","5","0","0"
"1","7","3","0","0","5","5","0","5","0","0"
"1","7","4","0","0","5","5","0","5","0","0"
"1","7","5","0","0","5","5","0","5","0","0"
"1","7","6","0","0","5","5","0","5","0","0"
"1","7","7","0","0","5","5","0","5","0","0"
"1","7","8","105","43","5","5","89.94","5.312","79.42","72.773"
"1","7","9","239","98","6","5","237.043","9.371","212.549","202.785"
"1","7","10","807","65","7","5","597.534","17.695","520.82","501.308"
"1","7","11","866","66","8","5","701.069","21.311","606.362","583.519"
"1","7","12","884","66","9","5","734.089","23.125","630.783","606.939"
"1","7","13","870","63","9","6","688.853","20.859","596.279","573.843"
