"PVWatts: Hourly PV Performance Data"
"Requested Location:","Napa, CA"
"Location:","Lat, Lon: 38.29, -122.3"
"Lat (deg N):","38.29"
"Long (deg W):","122.3"
"Elev (m):","22.39999961853"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.156"
"Capacity Factor (%)","17.6"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","7","1","0","7","0","0"
"1","1","1","0","0","7","1","0","7","0","0"
"1","1","2","0","0","7","1","0","7","0","0"
"1","1","3","0","0","7","1","0","7","0","0"
"1","1","4","0","0","7","1","0","7","0","0"
"1","1","5","0","0","6","2","0","6","0","0"
"1","1","6","0","0","6","2","0","6","0","0"
"1","1","7","0","0","7","3","0","7","0","0"
"1","1","8","0","6","9","4","5.673","7.482","21.103","0.314"
"1","1","9","0","45","10","4","42.688","9.336","157.512","134.157"
"1","1","10","0","21","11","4","19.903","9.921","73.25","51.5"
"1","1","11","0","37","11","4","35.104","10.211","129.031","106.225"
"1","1","12","0","94","11","4","89.906","11.47","328.639","301.819"
"1","1","13","0","41","11","3","38.9","10.398","142.865","119.793"
"1","1","14","0","36","11","2","34.136","10.008","125.584","102.844"
"1","1","15","0","25","11","2","23.683","9.697","87.249","65.237"
"1","1","16","0","7","11","1","6.62","8.742","24.488","3.638"
"1","1","17","0","0","10","1","0","10","0","0"
"1","1","18","0","0","9","1","0","9","0","0"
"1","1","19","0","0","9","0","0","9","0","0"
"1","1","20","0","0","8","0","0","8","0","0"
"1","1","21","0","0","8","0","0","8","0","0"
"1","1","22","0","0","8","0","0","8","0","0"
"1","1","23","0","0","8","0","0","8","0","0"
"1","2","0","0","0","8","0","0","8","0","0"
"1","2","1","0","0","8","0","0","8","0","0"
"1","2","2","0","0","8","0","0","8","0","0"
"1","2","3","0","0","8","1","0","8","0","0"
"1","2","4","0","0","8","0","0","8","0","0"
"1","2","5","0","0","8","0","0","8","0","0"
"1","2","6","0","0","8","0","0","8","0","0"
"1","2","7","0","0","8","1","0","8","0","0"
"1","2","8","0","50","8","2","49.379","7.242","183.87","159.999"
"1","2","9","36","119","8","2","146.529","10.169","535.716","504.34"
"1","2","10","0","15","9","2","14.212","7.809","52.792","31.422"
"1","2","11","0","105","9","3","101.175","9.708","372.71","344.954"
"1","2","12","0","41","9","2","38.908","8.339","144.189","121.092"
"1","2","13","0","80","9","1","76.03","9.154","280.759","254.936"
