"PVWatts: Hourly PV Performance Data"
"Requested Location:","Oakland, CA"
"Location:","Lat, Lon: 37.81, -122.26"
"Lat (deg N):","37.81"
"Long (deg W):","122.26"
"Elev (m):","15"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.156"
"Capacity Factor (%)","17.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","7","2","0","7","0","0"
"1","1","1","0","0","6","2","0","6","0","0"
"1","1","2","0","0","6","2","0","6","0","0"
"1","1","3","0","0","6","2","0","6","0","0"
"1","1","4","0","0","6","2","0","6","0","0"
"1","1","5","0","0","6","2","0","6","0","0"
"1","1","6","0","0","6","2","0","6","0","0"
"1","1","7","0","0","7","2","0","7","0","0"
"1","1","8","401","60","8","2","231.694","12.368","195.087","185.769"
"1","1","9","613","87","9","2","450.945","20.164","384.464","369.699"
"1","1","10","0","108","10","2","104.969","12.485","95.494","88.506"
"1","1","11","1","158","10","2","157.65","12.699","143.278","135.217"
"1","1","12","70","211","10","2","279.608","16.253","249.747","238.993"
"1","1","13","0","126","10","2","123.335","12.376","112.257","104.902"
"1","1","14","292","141","10","2","343.776","17.884","301.082","288.88"
"1","1","15","7","85","9","1","89.013","11.334","81.183","74.498"
"1","1","16","311","27","7","1","127.81","9.186","101.569","94.449"
"1","1","17","0","0","7","1","0","7","0","0"
"1","1","18","0","0","7","1","0","7","0","0"
"1","1","19","0","0","7","1","0","7","0","0"
"1","1","20","0","0","7","1","0","7","0","0"
"1","1","21","0","0","7","1","0","7","0","0"
"1","1","22","0","0","7","1","0","7","0","0"
"1","1","23","0","0","7","1","0","7","0","0"
"1","2","0","0","0","7","1","0","7","0","0"
"1","2","1","0","0","7","1","0","7","0","0"
"1","2","2","0","0","7","1","0","7","0","0"
"1","2","3","0","0","7","1","0","7","0","0"
"1","2","4","0","0","7","1","0","7","0","0"
"1","2","5","0","0","7","1","0","7","0","0"
"1","2","6","0","0","7","1","0","7","0","0"
"1","2","7","0","0","7","1","0","7","0","0"
"1","2","8","0","3","7","1","2.836","4.37","2.673","0"
"1","2","9","0","16","8","0","15.152","4.339","14.282","8.92"
"1","2","10","0","136","8","0","134.823","10.637","123.66","116.05"
"1","2","11","26","186","8","0","206.992","15.345","185.766","176.682"
"1","2","12","20","186","8","0","202.315","15.934","181.132","172.162"
"1","2","13","0","67","8","0","63.64","10.101","58.508","52.291"
"1","2","14","0","107","7","0","105.02","8.98","97.027","90.005"
"1","2","15","0","44","7","0","41.745","6.299","39.02","33.188"
"1","2","16","0","19","7","0","18.01","4.008","17.001","11.588"
"1","2","17","0","0","7","0","0","7","0","0"
"1","2","18","0","0","7","1","0","7","0","0"
"1","2","19","0","0","7","0","0","7","0","0"
"1","2","20","0","0","7","0","0","7","0","0"
"1","2","21","0","0","6","0","0","6","0","0"
"1","2","22","0","0","6","0","0","6","0","0"
"1","2","23","0","0","6","0","0","6","0","0"
"1","3","0","0","0","6","0","0","6","0","0"
"1","3","1","0","0","6","1","0","6","0","0"
"1","3","2","0","0","6","0","0","6","0","0"
"1","3","3","0","0","6","0","0","6","0","0"
"1","3","4","0","0","7","0","0","7","0","0"
"1","3","5","0","0","6","0","0","6","0","0"
"1","3","6","0","0","6","0","0","6","0","0"
"1","3","7","0","0","6","1","0","6","0","0"
"1","3","8","511","48","7","1","260.079","13.11","215.785","205.936"
"1","3","9","342","111","8","1","326.795","17.649","283.809","272.105"
"1","3","10","259","173","8","1","377.802","19.608","330.355","317.283"
"1","3","11","0","96","9","1","91.927","11.621","83.95","77.207"
"1","3","12","0","113","9","1","109.161","10.59","100.144","93.055"
"1","3","13","14","167","10","1","177.56","13.983","160.355","151.891"
"1","3","14","0","64","9","1","60.775","9.438","56.038","49.87"
"1","3","15","0","19","8","1","17.991","6.271","16.819","11.409"
"1","3","16","0","1","7","1","0.945","4.409","0.89","0"
"1","3","17","0","0","7","2","0","7","0","0"
"1","3","18","0","0","6","2","0","6","0","0"
