"PVWatts: Hourly PV Performance Data"
"Requested Location:","Redwood City, CA"
"Location:","Lat, Lon: 37.49, -122.22"
"Lat (deg N):","37.49"
"Long (deg W):","122.22"
"Elev (m):","2.3199999332428"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.156"
"Capacity Factor (%)","18.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","8","4","0","8","0","0"
"1","1","1","0","0","7","3","0","7","0","0"
"1","1","2","0","0","7","3","0","7","0","0"
"1","1","3","0","0","7","3","0","7","0","0"
"1","1","4","0","0","7","3","0","7","0","0"
"1","1","5","0","0","7","3","0","7","0","0"
"1","1","6","0","0","7","3","0","7","0","0"
"1","1","7","0","0","7","3","0","7","0","0"
"1","1","8","115","65","9","3","118.742","10.104","104.638","97.451"
"1","1","9","387","107","10","3","348.448","17.059","303.14","290.878"
"1","1","10","613","108","10","4","557.196","21.496","480.934","462.883"
"1","1","11","103","213","10","4","306.276","16.414","273.187","261.785"
"1","1","12","855","82","11","3","761.335","28.338","639.744","615.528"
"1","1","13","454","157","11","3","519.025","23.802","445.227","428.432"
"1","1","14","775","69","10","3","566.486","23.324","479.948","461.932"
"1","1","15","645","55","9","3","372.575","17.837","312.316","299.784"
"1","1","16","323","27","9","2","131.699","11.941","103.296","96.138"
"1","1","17","0","0","8","2","0","8","0","0"
"1","1","18","0","0","8","2","0","8","0","0"
"1","1","19","0","0","8","2","0","8","0","0"
"1","1","20","0","0","8","2","0","8","0","0"
"1","1","21","0","0","8","2","0","8","0","0"
"1","1","22","0","0","8","2","0","8","0","0"
"1","1","23","0","0","8","3","0","8","0","0"
"1","2","0","0","0","8","3","0","8","0","0"
"1","2","1","0","0","8","3","0","8","0","0"
"1","2","2","0","0","8","3","0","8","0","0"
"1","2","3","0","0","8","3","0","8","0","0"
"1","2","4","0","0","8","3","0","8","0","0"
"1","2","5","0","0","8","3","0","8","0","0"
"1","2","6","0","0","8","2","0","8","0","0"
"1","2","7","0","0","8","2","0","8","0","0"
"1","2","8","431","55","8","2","239.134","12.575","200.639","191.18"
"1","2","9","0","55","8","2","52.206","8.217","48.393","42.378"
"1","2","10","0","119","8","2","116.43","9.334","107.402","100.154"
"1","2","11","16","180","8","2","192.667","11.704","175.792","166.954"
"1","2","12","0","36","8","1","34.159","7.598","31.75","26.058"
