"PVWatts: Hourly PV Performance Data"
"Requested Location:","San Francisco, CA"
"Location:","Lat, Lon: 37.77, -122.42"
"Lat (deg N):","37.77"
"Long (deg W):","122.42"
"Elev (m):","55.159999847412"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.153"
"Capacity Factor (%)","17.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","6","3","0","6","0","0"
"1","1","1","0","0","6","3","0","6","0","0"
"1","1","2","0","0","7","2","0","7","0","0"
"1","1","3","0","0","7","2","0","7","0","0"
"1","1","4","0","0","7","2","0","7","0","0"
"1","1","5","0","0","8","1","0","8","0","0"
"1","1","6","0","0","8","1","0","8","0","0"
"1","1","7","0","0","8","1","0","8","0","0"
"1","1","8","0","9","8","0","8.513","4.049","8.034","2.787"
"1","1","9","0","4","9","0","3.785","4.923","3.559","0"
"1","1","10","0","139","9","0","138.128","11.654","126.124","118.458"
"1","1","11","0","30","9","0","28.456","8.24","26.375","20.786"
"1","1","12","0","80","9","0","76.036","8.718","70.329","63.871"
"1","1","13","0","79","9","0","75.076","9.635","69.163","62.729"
"1","1","14","0","91","9","1","88.065","9.775","81.08","74.398"
"1","1","15","0","21","8","1","19.888","6.495","18.574","13.131"
"1","1","16","0","2","8","2","1.889","5.969","1.769","0"
"1","1","17","0","0","8","2","0","8","0","0"
"1","1","18","0","0","8","2","0","8","0","0"
"1","1","19","0","0","8","3","0","8","0","0"
"1","1","20","0","0","7","3","0","7","0","0"
"1","1","21","0","0","7","3","0","7","0","0"
"1","1","22","0","0","7","3","0","7","0","0"
"1","1","23","0","0","7","4","0","7","0","0"
