"PVWatts: Hourly PV Performance Data"
"Requested Location:","Santa Maria, CA"
"Location:","Lat, Lon: 34.93, -120.42"
"Lat (deg N):","34.93"
"Long (deg W):","120.42"
"Elev (m):","71.199996948242"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.156"
"Capacity Factor (%)","19.2"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","7","3","0","7","0","0"
"1","1","1","0","0","7","3","0","7","0","0"
"1","1","2","0","0","7","3","0","7","0","0"
"1","1","3","0","0","7","4","0","7","0","0"
"1","1","4","0","0","6","4","0","6","0","0"
"1","1","5","0","0","6","4","0","6","0","0"
"1","1","6","0","0","6","5","0","6","0","0"
"1","1","7","328","18","7","5","110.531","7.733","84.558","77.803"
"1","1","8","703","45","9","4","362.396","15.683","301.971","289.743"
"1","1","9","845","57","12","3","576.629","25.126","482.629","464.517"
"1","1","10","905","65","14","1","731.215","37.131","586.469","564.425"
"1","1","11","933","68","16","1","815.952","42.059","641.316","617.034"
"1","1","12","935","69","17","1","823.967","43.56","642.852","618.505"
"1","1","13","910","67","16","1","752.156","40.647","593.507","571.182"
"1","1","14","853","60","15","1","607.252","35.259","486.174","467.934"
"1","1","15","731","49","14","1","404.165","27.626","323.073","310.22"
"1","1","16","424","25","12","1","152.4","16.755","114.286","106.886"
"1","1","17","0","0","11","1","0","11","0","0"
"1","1","18","0","0","10","1","0","10","0","0"
"1","1","19","0","0","10","1","0","10","0","0"
"1","1","20","0","0","9","1","0","9","0","0"
"1","1","21","0","0","9","1","0","9","0","0"
"1","1","22","0","0","9","1","0","9","0","0"
"1","1","23","0","0","9","1","0","9","0","0"
"1","2","0","0","0","9","2","0","9","0","0"
"1","2","1","0","0","9","2","0","9","0","0"
"1","2","2","0","0","9","2","0","9","0","0"
"1","2","3","0","0","9","2","0","9","0","0"
"1","2","4","0","0","9","2","0","9","0","0"
"1","2","5","0","0","9","2","0","9","0","0"
"1","2","6","0","0","9","2","0","9","0","0"
"1","2","7","366","17","10","2","118.572","11.782","88.32","81.485"
"1","2","8","738","43","13","2","374.433","21.68","303.136","290.874"
"1","2","9","875","54","15","2","590.457","30.199","482.25","464.151"
"1","2","10","939","60","17","2","749.56","36.884","601.854","579.194"
"1","2","11","964","63","18","2","834.684","40.455","661.402","636.272"
"1","2","12","961","65","18","2","840.627","40.854","664.998","639.715"
"1","2","13","933","63","17","1","765.558","42.028","599.874","577.293"
"1","2","14","871","58","16","1","617.608","36.566","491.345","472.919"
"1","2","15","747","47","15","0","410.831","33.63","319.082","306.349"
"1","2","16","448","24","13","0","158.357","21.186","116.038","108.599"
"1","2","17","0","0","12","0","0","12","0","0"
"1","2","18","0","0","11","1","0","11","0","0"
"1","2","19","0","0","11","1","0","11","0","0"
"1","2","20","0","0","10","1","0","10","0","0"
"1","2","21","0","0","10","1","0","10","0","0"
"1","2","22","0","0","10","2","0","10","0","0"
"1","2","23","0","0","9","2","0","9","0","0"
"1","3","0","0","0","9","2","0","9","0","0"
"1","3","1","0","0","9","2","0","9","0","0"
"1","3","2","0","0","9","3","0","9","0","0"
"1","3","3","0","0","9","3","0","9","0","0"
"1","3","4","0","0","9","3","0","9","0","0"
"1","3","5","0","0","9","3","0","9","0","0"
"1","3","6","0","0","9","3","0","9","0","0"
"1","3","7","333","18","11","4","111.126","12.215","83.135","76.409"
"1","3","8","717","47","13","3","369.428","20.538","300.963","288.765"
"1","3","9","856","61","15","2","591.259","30.203","483.169","465.037"
"1","3","10","912","71","17","2","743.763","36.74","597.768","575.273"
"1","3","11","932","77","18","2","827.249","40.252","656.294","631.382"
"1","3","12","928","80","18","2","833.796","40.662","660.364","635.278"
"1","3","13","915","73","17","2","765.91","38.031","612.576","589.481"
"1","3","14","859","66","16","1","625.543","36.794","497.485","478.835"
"1","3","15","738","53","15","1","415.066","29.01","330.287","317.217"
"1","3","16","431","27","13","1","156.797","17.952","117.288","109.821"
"1","3","17","0","0","13","1","0","13","0","0"
"1","3","18","0","0","13","1","0","13","0","0"
"1","3","19","0","0","12","1","0","12","0","0"
"1","3","20","0","0","12","1","0","12","0","0"
"1","3","21","0","0","12","1","0","12","0","0"
"1","3","22","0","0","12","1","0","12","0","0"
"1","3","23","0","0","12","1","0","12","0","0"
"1","4","0","0","0","11","1","0","11","0","0"
"1","4","1","0","0","11","1","0","11","0","0"
"1","4","2","0","0","10","1","0","10","0","0"
"1","4","3","0","0","10","2","0","10","0","0"
"1","4","4","0","0","10","2","0","10","0","0"
"1","4","5","0","0","9","2","0","9","0","0"
"1","4","6","0","0","9","2","0","9","0","0"
"1","4","7","348","18","11","2","114.524","12.695","85.21","78.441"
"1","4","8","733","46","13","2","374.616","21.672","303.353","291.084"
"1","4","9","872","60","15","2","595.557","30.332","486.227","467.985"
"1","4","10","935","68","16","2","756.87","36.121","610.143","587.147"
"1","4","11","960","72","17","1","843.898","43.876","657.211","632.26"
"1","4","12","961","72","17","1","851.441","44.433","661.43","636.299"
"1","4","13","939","69","17","1","780.294","42.485","610.192","587.194"
"1","4","14","882","62","16","0","632.758","42.72","488.352","470.033"
"1","4","15","760","51","15","0","424.751","34.211","329.625","316.575"
"1","4","16","427","29","13","0","161.268","21.425","119.578","112.06"
"1","4","17","0","0","12","0","0","12","0","0"
"1","4","18","0","0","12","0","0","12","0","0"
"1","4","19","0","0","11","0","0","11","0","0"
"1","4","20","0","0","11","0","0","11","0","0"
"1","4","21","0","0","11","1","0","11","0","0"
"1","4","22","0","0","11","1","0","11","0","0"
"1","4","23","0","0","11","1","0","11","0","0"
"1","5","0","0","0","11","1","0","11","0","0"
"1","5","1","0","0","11","1","0","11","0","0"
"1","5","2","0","0","10","1","0","10","0","0"
"1","5","3","0","0","10","1","0","10","0","0"
"1","5","4","0","0","10","1","0","10","0","0"
"1","5","5","0","0","10","1","0","10","0","0"
"1","5","6","0","0","10","1","0","10","0","0"
"1","5","7","334","19","11","1","111.786","13.097","83.31","76.58"
"1","5","8","727","49","13","1","374.888","23.351","301.376","289.165"
"1","5","9","869","63","15","2","601.003","30.474","490.489","472.093"
"1","5","10","937","70","16","1","761.042","39.975","601.817","579.158"
"1","5","11","628","142","17","0","674.543","44.815","523.305","503.701"
"1","5","12","664","134","17","0","699.126","45.082","541.742","521.441"
"1","5","13","483","168","17","0","562.548","40.973","444.427","427.66"
"1","5","14","686","83","16","0","542.445","38.534","428.544","412.321"
"1","5","15","450","76","15","0","308.529","29.626","247.614","236.919"
"1","5","16","126","33","13","0","78.069","17.041","63.181","56.869"
"1","5","17","0","0","12","0","0","12","0","0"
"1","5","18","0","0","11","1","0","11","0","0"
"1","5","19","0","0","11","1","0","11","0","0"
"1","5","20","0","0","11","1","0","11","0","0"
"1","5","21","0","0","11","2","0","11","0","0"
"1","5","22","0","0","11","2","0","11","0","0"
"1","5","23","0","0","11","2","0","11","0","0"
"1","6","0","0","0","11","1","0","11","0","0"
"1","6","1","0","0","12","1","0","12","0","0"
"1","6","2","0","0","12","1","0","12","0","0"
"1","6","3","0","0","11","1","0","11","0","0"
"1","6","4","0","0","11","1","0","11","0","0"
"1","6","5","0","0","10","1","0","10","0","0"
"1","6","6","0","0","10","1","0","10","0","0"
"1","6","7","0","23","11","0","22.513","9.024","20.795","15.311"
"1","6","8","580","50","13","0","315.633","23.535","254.514","243.631"
"1","6","9","863","59","15","0","588.806","37.47","464.152","446.697"
"1","6","10","931","65","17","0","751.089","46.177","575.304","553.702"
"1","6","11","958","69","18","1","840.393","44.694","651.772","627.051"
"1","6","12","958","69","18","2","848.015","41.054","670.365","644.852"
"1","6","13","933","67","17","2","776.696","38.344","620.411","596.995"
"1","6","14","869","63","16","2","629.364","33.438","509.194","490.114"
"1","6","15","748","52","14","2","423.681","25.685","343.205","329.741"
"1","6","16","469","27","12","2","168.943","16.158","127.341","119.648"
"1","6","17","0","0","11","2","0","11","0","0"
"1","6","18","0","0","10","1","0","10","0","0"
"1","6","19","0","0","10","1","0","10","0","0"
"1","6","20","0","0","10","1","0","10","0","0"
"1","6","21","0","0","9","1","0","9","0","0"
"1","6","22","0","0","9","1","0","9","0","0"
"1","6","23","0","0","9","1","0","9","0","0"
"1","7","0","0","0","8","2","0","8","0","0"
"1","7","1","0","0","8","2","0","8","0","0"
"1","7","2","0","0","7","2","0","7","0","0"
"1","7","3","0","0","7","2","0","7","0","0"
"1","7","4","0","0","7","2","0","7","0","0"
"1","7","5","0","0","6","2","0","6","0","0"
"1","7","6","0","0","6","2","0","6","0","0"
"1","7","7","331","17","8","2","108.369","8.913","81.825","75.128"
"1","7","8","705","46","10","2","361.585","18.316","297.31","285.217"
"1","7","9","117","155","12","2","242.295","17.944","213.284","203.501"
"1","7","10","905","67","14","3","735.311","30.499","609.375","586.411"
"1","7","11","235","238","15","4","449.847","24.921","385.726","370.92"
"1","7","12","22","207","15","4","225.001","19.414","198.314","188.914"
"1","7","13","894","73","15","4","756.666","30.462","628.458","604.711"
"1","7","14","825","68","14","4","613.458","27.502","511.131","491.98"
"1","7","15","697","56","12","4","405.703","20.739","337.003","323.729"
"1","7","16","395","30","10","4","155.546","12.737","121.051","113.5"
"1","7","17","0","0","9","4","0","9","0","0"
"1","7","18","0","0","8","3","0","8","0","0"
"1","7","19","0","0","8","3","0","8","0","0"
"1","7","20","0","0","7","3","0","7","0","0"
"1","7","21","0","0","7","3","0","7","0","0"
"1","7","22","0","0","7","3","0","7","0","0"
"1","7","23","0","0","6","3","0","6","0","0"
"1","8","0","0","0","6","4","0","6","0","0"
"1","8","1","0","0","6","4","0","6","0","0"
"1","8","2","0","0","5","5","0","5","0","0"
"1","8","3","0","0","5","5","0","5","0","0"
"1","8","4","0","0","4","5","0","4","0","0"
"1","8","5","0","0","4","5","0","4","0","0"
"1","8","6","0","0","4","6","0","4","0","0"
"1","8","7","334","18","5","6","109.92","5.645","84.257","77.508"
"1","8","8","727","46","7","6","370.598","12.415","312.736","300.191"
"1","8","9","869","58","11","5","591.227","21.81","502.475","483.643"
"1","8","10","921","68","14","3","748.538","31.663","616.885","593.613"
"1","8","11","944","73","16","1","836.159","42.692","655.315","630.444"
"1","8","12","942","74","17","1","844.128","44.2","656.751","631.819"
"1","8","13","901","78","17","1","769.528","42.154","603.207","580.493"
"1","8","14","841","71","16","1","628.919","36.909","500.746","481.977"
"1","8","15","719","58","15","1","420.014","29.175","335.574","322.344"
"1","8","16","382","33","13","1","155.88","17.948","119.291","111.779"
"1","8","17","0","0","11","1","0","11","0","0"
"1","8","18","0","0","10","1","0","10","0","0"
"1","8","19","0","0","10","1","0","10","0","0"
"1","8","20","0","0","9","2","0","9","0","0"
"1","8","21","0","0","9","2","0","9","0","0"
"1","8","22","0","0","9","2","0","9","0","0"
"1","8","23","0","0","9","2","0","9","0","0"
"1","9","0","0","0","10","1","0","10","0","0"
"1","9","1","0","0","9","1","0","9","0","0"
"1","9","2","0","0","9","1","0","9","0","0"
