"PVWatts: Hourly PV Performance Data"
"Requested Location:","Long Beach, CA"
"Location:","Lat, Lon: 33.77, -118.18"
"Lat (deg N):","33.77"
"Long (deg W):","118.18"
"Elev (m):","8.2272729873657"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.160"
"Capacity Factor (%)","18.6"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","6","1","0","6","0","0"
"1","1","1","0","0","6","1","0","6","0","0"
"1","1","2","0","0","6","1","0","6","0","0"
"1","1","3","0","0","6","1","0","6","0","0"
"1","1","4","0","0","6","1","0","6","0","0"
"1","1","5","0","0","6","1","0","6","0","0"
"1","1","6","0","0","6","1","0","6","0","0"
"1","1","7","438","26","8","1","157.144","10.69","121.05","113.499"
"1","1","8","314","90","9","1","259.313","15.924","223.43","213.382"
"1","1","9","864","65","10","2","629.506","25.973","527.764","507.992"
"1","1","10","918","73","11","1","773.105","35.734","625.704","602.071"
"1","1","11","939","77","12","0","846.997","45.522","654.558","629.719"
"1","1","12","934","78","12","0","840.934","45.758","648.969","624.366"
"1","1","13","903","75","12","0","755.126","43.149","588.296","566.179"
"1","1","14","835","67","12","0","599.868","37.848","473.646","455.855"
"1","1","15","694","53","11","0","379.144","28.665","300.054","287.882"
"1","1","16","331","22","9","0","121.647","15.565","91.723","84.815"
"1","1","17","0","0","9","0","0","9","0","0"
"1","1","18","0","0","9","0","0","9","0","0"
"1","1","19","0","0","8","0","0","8","0","0"
"1","1","20","0","0","8","0","0","8","0","0"
"1","1","21","0","0","8","0","0","8","0","0"
"1","1","22","0","0","8","0","0","8","0","0"
"1","1","23","0","0","7","0","0","7","0","0"
"1","2","0","0","0","7","1","0","7","0","0"
"1","2","1","0","0","7","1","0","7","0","0"
"1","2","2","0","0","7","1","0","7","0","0"
"1","2","3","0","0","7","1","0","7","0","0"
"1","2","4","0","0","7","1","0","7","0","0"
"1","2","5","0","0","7","1","0","7","0","0"
"1","2","6","0","0","7","1","0","7","0","0"
"1","2","7","382","27","8","1","145.625","10.982","113.257","105.88"
"1","2","8","697","57","10","1","399.498","21.335","329.883","316.825"
"1","2","9","825","72","11","0","612.924","35.035","492.05","473.598"
"1","2","10","896","77","12","0","761.713","42.028","597.332","574.854"
"1","2","11","919","81","13","1","836.402","39.958","665.123","639.835"
"1","2","12","915","82","14","1","831.631","41.059","657.559","632.592"
"1","2","13","908","72","13","2","756.611","33.963","617.323","594.034"
"1","2","14","837","65","13","2","600.352","29.729","493.38","474.879"
"1","2","15","692","52","12","2","378.687","22.432","308.83","296.401"
"1","2","16","334","22","10","1","122.92","13.655","93.531","86.584"
"1","2","17","0","0","9","1","0","9","0","0"
"1","2","18","0","0","9","1","0","9","0","0"
"1","2","19","0","0","9","0","0","9","0","0"
"1","2","20","0","0","9","0","0","9","0","0"
"1","2","21","0","0","9","0","0","9","0","0"
"1","2","22","0","0","9","0","0","9","0","0"
"1","2","23","0","0","9","0","0","9","0","0"
"1","3","0","0","0","8","0","0","8","0","0"
"1","3","1","0","0","8","0","0","8","0","0"
"1","3","2","0","0","8","0","0","8","0","0"
"1","3","3","0","0","8","0","0","8","0","0"
"1","3","4","0","0","8","1","0","8","0","0"
"1","3","5","0","0","7","1","0","7","0","0"
"1","3","6","0","0","7","1","0","7","0","0"
"1","3","7","357","27","9","1","138.58","11.757","107.723","100.468"
"1","3","8","242","96","10","0","225.526","18.115","193.23","183.959"
"1","3","9","798","74","11","0","598.063","33.372","484.13","465.964"
"1","3","10","881","77","12","0","756.047","41.763","593.744","571.409"
"1","3","11","901","82","13","0","823.863","45.652","636.329","612.255"
"1","3","12","896","84","14","1","819.952","40.683","649.619","624.988"
"1","3","13","865","80","14","1","741.196","38.444","591.653","569.403"
"1","3","14","795","72","13","1","584.277","32.641","473.815","456.018"
"1","3","15","651","57","12","1","369.749","24.525","299.492","287.337"
"1","3","16","304","24","10","1","117.992","13.445","90.771","83.884"
"1","3","17","0","0","10","1","0","10","0","0"
"1","3","18","0","0","10","1","0","10","0","0"
"1","3","19","0","0","10","1","0","10","0","0"
"1","3","20","0","0","10","1","0","10","0","0"
"1","3","21","0","0","10","1","0","10","0","0"
"1","3","22","0","0","9","1","0","9","0","0"
"1","3","23","0","0","9","1","0","9","0","0"
"1","4","0","0","0","9","1","0","9","0","0"
"1","4","1","0","0","9","1","0","9","0","0"
"1","4","2","0","0","9","1","0","9","0","0"
"1","4","3","0","0","9","1","0","9","0","0"
"1","4","4","0","0","9","1","0","9","0","0"
