"PVWatts: Hourly PV Performance Data"
"Requested Location:","Santa Barbara, CA"
"Location:","Lat, Lon: 34.41, -119.7"
"Lat (deg N):","34.41"
"Long (deg W):","119.7"
"Elev (m):","34.421051025391"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.160"
"Capacity Factor (%)","18.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","8","1","0","8","0","0"
"1","1","1","0","0","8","1","0","8","0","0"
"1","1","2","0","0","8","1","0","8","0","0"
"1","1","3","0","0","8","1","0","8","0","0"
"1","1","4","0","0","8","1","0","8","0","0"
"1","1","5","0","0","8","1","0","8","0","0"
"1","1","6","0","0","8","1","0","8","0","0"
"1","1","7","0","21","10","1","19.917","8.043","73.907","52.145"
"1","1","8","0","14","11","2","13.251","9.35","48.891","27.593"
"1","1","9","315","144","12","2","358.795","19.902","1244.735","1194.74"
"1","1","10","799","86","13","2","693.085","30.859","2296.177","2209.969"
"1","1","11","428","201","14","2","581.426","30.006","1944.768","1871.807"
"1","1","12","342","221","15","2","526.759","29.206","1769.524","1702.739"
"1","1","13","330","197","15","2","470.451","27.56","1589.395","1528.662"
"1","1","14","741","77","14","1","560.282","31.679","1827.957","1759.145"
"1","1","15","604","61","13","1","358.955","25.049","1165.722","1118.034"
"1","1","16","274","27","11","1","116.003","14.322","361.548","334.031"
"1","1","17","0","0","11","1","0","11","0","0"
"1","1","18","0","0","11","1","0","11","0","0"
"1","1","19","0","0","10","1","0","10","0","0"
"1","1","20","0","0","10","1","0","10","0","0"
"1","1","21","0","0","10","1","0","10","0","0"
"1","1","22","0","0","10","1","0","10","0","0"
"1","1","23","0","0","9","1","0","9","0","0"
"1","2","0","0","0","9","2","0","9","0","0"
"1","2","1","0","0","9","1","0","9","0","0"
"1","2","2","0","0","9","1","0","9","0","0"
"1","2","3","0","0","10","1","0","10","0","0"
"1","2","4","0","0","10","1","0","10","0","0"
"1","2","5","0","0","9","1","0","9","0","0"
"1","2","6","0","0","9","2","0","9","0","0"
"1","2","7","0","2","10","2","1.889","8.366","7.001","0"
"1","2","8","0","11","11","2","10.409","9.204","38.43","17.324"
