"PVWatts: Hourly PV Performance Data"
"Requested Location:","Oceanside, CA"
"Location:","Lat, Lon: 33.21, -117.38"
"Lat (deg N):","33.21"
"Long (deg W):","117.38"
"Elev (m):","28.227272033691"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.164"
"Capacity Factor (%)","18.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","8","0","0","8","0","0"
"1","1","1","0","0","8","1","0","8","0","0"
"1","1","2","0","0","8","1","0","8","0","0"
"1","1","3","0","0","8","1","0","8","0","0"
"1","1","4","0","0","7","1","0","7","0","0"
"1","1","5","0","0","7","1","0","7","0","0"
"1","1","6","0","0","7","1","0","7","0","0"
"1","1","7","495","28","9","1","180.381","12.467","555.436","523.605"
"1","1","8","778","49","12","1","440.328","24.743","1435.625","1379.819"
"1","1","9","892","58","15","1","645.731","35.02","2075.727","1997.962"
"1","1","10","939","65","17","1","788.427","41.877","2476.312","2382.868"
"1","1","11","958","67","18","1","856.809","45.294","2652.42","2551.611"
"1","1","12","956","66","19","2","847.518","42.044","2667.071","2565.636"
"1","1","13","927","63","19","3","758.602","37.368","2433.871","2342.159"
"1","1","14","865","57","18","3","599.998","32.546","1943.061","1870.161"
"1","1","15","730","45","16","3","382.279","25.091","1225.565","1176.135"
"1","1","16","368","19","14","3","124.04","16.323","365.919","338.308"
"1","1","17","0","0","13","3","0","13","0","0"
"1","1","18","0","0","13","2","0","13","0","0"
"1","1","19","0","0","12","2","0","12","0","0"
"1","1","20","0","0","12","2","0","12","0","0"
"1","1","21","0","0","12","1","0","12","0","0"
"1","1","22","0","0","12","1","0","12","0","0"
"1","1","23","0","0","12","1","0","12","0","0"
"1","2","0","0","0","11","1","0","11","0","0"
"1","2","1","0","0","11","1","0","11","0","0"
"1","2","2","0","0","11","0","0","11","0","0"
"1","2","3","0","0","11","0","0","11","0","0"
"1","2","4","0","0","10","0","0","10","0","0"
"1","2","5","0","0","10","0","0","10","0","0"
"1","2","6","0","0","10","0","0","10","0","0"
"1","2","7","521","27","12","0","186.114","16.94","559.41","527.487"
"1","2","8","796","47","15","0","443.167","31.59","1396.913","1342.313"
"1","2","9","906","56","17","0","651.962","42.222","2021.021","1945.282"
"1","2","10","959","60","19","0","797.552","49.788","2403.667","2313.178"
"1","2","11","979","62","20","0","868.33","53.575","2572.422","2474.995"
"1","2","12","975","62","20","0","858.972","53.668","2542.637","2446.453"
"1","2","13","947","60","20","1","771.079","45.074","2378.92","2289.426"
"1","2","14","882","55","19","2","609.572","35.824","1942.86","1869.967"
"1","2","15","746","44","16","2","389.722","26.694","1240.518","1190.647"
"1","2","16","388","19","14","2","129.633","16.97","380.704","352.776"
"1","2","17","0","0","14","2","0","14","0","0"
"1","2","18","0","0","13","1","0","13","0","0"
"1","2","19","0","0","13","0","0","13","0","0"
"1","2","20","0","0","13","0","0","13","0","0"
"1","2","21","0","0","13","0","0","13","0","0"
"1","2","22","0","0","13","0","0","13","0","0"
"1","2","23","0","0","12","0","0","12","0","0"
"1","3","0","0","0","12","0","0","12","0","0"
"1","3","1","0","0","11","0","0","11","0","0"
"1","3","2","0","0","11","0","0","11","0","0"
"1","3","3","0","0","11","1","0","11","0","0"
"1","3","4","0","0","11","1","0","11","0","0"
"1","3","5","0","0","11","2","0","11","0","0"
"1","3","6","0","0","11","3","0","11","0","0"
"1","3","7","512","28","13","3","183.92","15.75","556.144","524.296"
"1","3","8","797","48","15","3","447.054","24.572","1457.515","1401.021"
"1","3","9","913","58","16","3","658.659","31.182","2157.104","2076.275"
"1","3","10","965","65","18","3","808.386","37.081","2601.192","2502.555"
"1","3","11","988","68","19","2","883.616","42.794","2771.119","2665.183"
"1","3","12","985","70","20","1","877.875","48.107","2677.373","2575.497"
"1","3","13","960","66","20","1","789.463","45.657","2428.761","2337.257"
"1","3","14","892","62","19","0","625.911","45.346","1902.03","1830.601"
"1","3","15","754","50","17","0","401.689","35.3","1228.875","1179.347"
"1","3","16","364","23","15","0","128.054","21.921","371.708","343.973"
"1","3","17","0","0","14","0","0","14","0","0"
"1","3","18","0","0","14","0","0","14","0","0"
"1","3","19","0","0","13","0","0","13","0","0"
"1","3","20","0","0","13","0","0","13","0","0"
"1","3","21","0","0","12","0","0","12","0","0"
"1","3","22","0","0","12","0","0","12","0","0"
"1","3","23","0","0","11","0","0","11","0","0"
"1","4","0","0","0","11","0","0","11","0","0"
"1","4","1","0","0","10","0","0","10","0","0"
"1","4","2","0","0","10","1","0","10","0","0"
"1","4","3","0","0","10","1","0","10","0","0"
"1","4","4","0","0","9","1","0","9","0","0"
"1","4","5","0","0","9","2","0","9","0","0"
"1","4","6","0","0","9","3","0","9","0","0"
"1","4","7","506","29","11","3","182.565","13.698","557.388","525.512"
"1","4","8","794","51","14","2","448.58","24.868","1460.845","1404.246"
"1","4","9","910","62","16","2","661.434","33.237","2144.911","2064.545"
"1","4","10","966","67","18","2","811.872","39.624","2579.428","2481.707"
