"PVWatts: Hourly PV Performance Data"
"Requested Location:","San Diego, CA"
"Location:","Lat, Lon: 32.73, -117.18"
"Lat (deg N):","32.73"
"Long (deg W):","117.18"
"Elev (m):","24"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.164"
"Capacity Factor (%)","18.0"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","9","2","0","9","0","0"
"1","1","1","0","0","9","2","0","9","0","0"
"1","1","2","0","0","9","2","0","9","0","0"
"1","1","3","0","0","9","2","0","9","0","0"
"1","1","4","0","0","9","2","0","9","0","0"
"1","1","5","0","0","9","2","0","9","0","0"
"1","1","6","0","0","9","2","0","9","0","0"
"1","1","7","284","41","10","2","139.533","11.812","451.976","422.491"
"1","1","8","0","26","10","3","24.634","9.167","90.962","68.88"
"1","1","9","0","44","11","4","41.747","10.37","153.343","130.068"
"1","1","10","240","228","11","4","434.402","19.139","1529.075","1470.301"
"1","1","11","0","135","11","4","130.786","13.258","474.293","444.31"
"1","1","12","0","127","11","4","122.685","12.413","446.589","417.223"
"1","1","13","19","187","11","3","200.854","14.479","723.948","688.085"
"1","1","14","0","96","10","3","92.717","11.025","339.58","312.53"
"1","1","15","6","86","10","2","88.864","10.731","325.126","298.38"
"1","1","16","1","22","9","2","21.204","7.792","78.548","56.699"
"1","1","17","0","0","9","2","0","9","0","0"
"1","1","18","0","0","9","2","0","9","0","0"
"1","1","19","0","0","9","3","0","9","0","0"
"1","1","20","0","0","9","3","0","9","0","0"
"1","1","21","0","0","9","4","0","9","0","0"
"1","1","22","0","0","10","4","0","10","0","0"
"1","1","23","0","0","10","4","0","10","0","0"
"1","2","0","0","0","10","5","0","10","0","0"
"1","2","1","0","0","10","5","0","10","0","0"
"1","2","2","0","0","10","6","0","10","0","0"
"1","2","3","0","0","10","5","0","10","0","0"
"1","2","4","0","0","9","5","0","9","0","0"
"1","2","5","0","0","9","5","0","9","0","0"
"1","2","6","0","0","9","5","0","9","0","0"
"1","2","7","432","33","9","5","173.059","10.984","546.26","514.642"
"1","2","8","724","59","10","5","429.976","17.327","1456.335","1399.879"
"1","2","9","283","170","11","5","379.35","17.767","1335.124","1282.42"
"1","2","10","910","76","12","5","785.218","26.602","2660.019","2558.886"
"1","2","11","934","78","12","5","856.026","28.631","2880.41","2769.638"
"1","2","12","932","77","13","5","846.571","29.564","2834.955","2726.208"
"1","2","13","904","72","12","5","757.026","26.814","2558.105","2461.276"
"1","2","14","836","65","12","4","599.46","25.237","2013.143","1937.694"
"1","2","15","692","51","11","3","374.911","19.958","1235.112","1185.401"
"1","2","16","324","22","10","2","118.789","12.595","362.559","335.02"
"1","2","17","0","0","9","2","0","9","0","0"
"1","2","18","0","0","9","2","0","9","0","0"
"1","2","19","0","0","9","2","0","9","0","0"
"1","2","20","0","0","9","1","0","9","0","0"
"1","2","21","0","0","9","1","0","9","0","0"
"1","2","22","0","0","9","0","0","9","0","0"
"1","2","23","0","0","9","0","0","9","0","0"
"1","3","0","0","0","8","0","0","8","0","0"
"1","3","1","0","0","8","0","0","8","0","0"
"1","3","2","0","0","7","1","0","7","0","0"
"1","3","3","0","0","7","1","0","7","0","0"
"1","3","4","0","0","7","1","0","7","0","0"
"1","3","5","0","0","7","2","0","7","0","0"
"1","3","6","0","0","7","2","0","7","0","0"
"1","3","7","492","29","9","3","182.783","11.688","567.701","535.586"
"1","3","8","767","49","12","4","438.954","20.549","1461.959","1405.325"
"1","3","9","881","57","14","4","642.472","27.472","2143.823","2063.498"
"1","3","10","936","60","15","4","785.887","31.927","2594.703","2496.34"
"1","3","11","956","63","16","4","856.564","34.68","2798.693","2691.548"
"1","3","12","951","63","16","4","846.179","34.602","2764.977","2659.31"
"1","3","13","921","62","16","4","759.005","32.743","2492.639","2398.524"
"1","3","14","858","57","15","4","601.065","28.225","1989.607","1915.019"
"1","3","15","724","45","14","3","383.855","23.147","1244.933","1194.932"
"1","3","16","370","21","12","3","127.911","14.406","382.881","354.906"
"1","3","17","0","0","11","3","0","11","0","0"
"1","3","18","0","0","10","3","0","10","0","0"
"1","3","19","0","0","10","3","0","10","0","0"
"1","3","20","0","0","10","3","0","10","0","0"
"1","3","21","0","0","9","3","0","9","0","0"
"1","3","22","0","0","9","3","0","9","0","0"
"1","3","23","0","0","9","4","0","9","0","0"
"1","4","0","0","0","9","4","0","9","0","0"
"1","4","1","0","0","9","4","0","9","0","0"
"1","4","2","0","0","8","4","0","8","0","0"
"1","4","3","0","0","8","4","0","8","0","0"
"1","4","4","0","0","8","4","0","8","0","0"
"1","4","5","0","0","8","4","0","8","0","0"
"1","4","6","0","0","8","5","0","8","0","0"
"1","4","7","538","25","10","5","191.304","12.352","587.52","554.942"
"1","4","8","794","43","12","6","441.313","18.811","1479.015","1421.841"
"1","4","9","897","52","14","5","646.527","26.019","2171.764","2090.376"
"1","4","10","945","57","15","4","789.354","32.008","2605.075","2506.274"
"1","4","11","962","60","16","3","858.581","36.597","2778.861","2672.586"
"1","4","12","957","61","17","3","849.815","37.527","2737.008","2632.559"
"1","4","13","930","58","17","2","762.349","37.989","2439.722","2347.772"
"1","4","14","868","53","16","2","604.048","32.746","1956.546","1883.159"
"1","4","15","738","43","14","1","389.338","27.159","1239.408","1189.571"
"1","4","16","402","20","12","1","135.58","16.128","400.762","372.4"
"1","4","17","0","0","11","1","0","11","0","0"
"1","4","18","0","0","11","1","0","11","0","0"
"1","4","19","0","0","11","1","0","11","0","0"
"1","4","20","0","0","11","1","0","11","0","0"
"1","4","21","0","0","11","1","0","11","0","0"
"1","4","22","0","0","11","1","0","11","0","0"
"1","4","23","0","0","11","1","0","11","0","0"
"1","5","0","0","0","11","1","0","11","0","0"
"1","5","1","0","0","11","1","0","11","0","0"
"1","5","2","0","0","11","1","0","11","0","0"
"1","5","3","0","0","10","1","0","10","0","0"
"1","5","4","0","0","10","1","0","10","0","0"
"1","5","5","0","0","10","1","0","10","0","0"
"1","5","6","0","0","10","1","0","10","0","0"
"1","5","7","501","29","12","1","184.266","15.627","560.92","528.962"
"1","5","8","771","51","14","2","442.246","24.706","1444.539","1388.453"
"1","5","9","881","62","16","1","648.279","36.06","2075.147","1997.404"
"1","5","10","937","66","17","0","794.589","47.829","2421.03","2329.839"
"1","5","11","952","71","18","0","864.603","51.626","2589.563","2491.416"
"1","5","12","944","73","18","0","855.079","51.715","2559.193","2462.319"
"1","5","13","919","69","18","0","769.114","49.129","2324.787","2237.45"
"1","5","14","860","61","17","0","610.578","42.904","1881.019","1810.337"
"1","5","15","728","48","16","0","392.289","33.928","1211.109","1162.103"
"1","5","16","386","22","14","0","134.102","21.076","390.053","361.923"
"1","5","17","0","0","12","0","0","12","0","0"
"1","5","18","0","0","12","0","0","12","0","0"
"1","5","19","0","0","11","1","0","11","0","0"
"1","5","20","0","0","11","1","0","11","0","0"
"1","5","21","0","0","10","1","0","10","0","0"
"1","5","22","0","0","10","1","0","10","0","0"
"1","5","23","0","0","10","2","0","10","0","0"
"1","6","0","0","0","10","3","0","10","0","0"
"1","6","1","0","0","9","4","0","9","0","0"
"1","6","2","0","0","9","5","0","9","0","0"
"1","6","3","0","0","9","5","0","9","0","0"
"1","6","4","0","0","9","5","0","9","0","0"
"1","6","5","0","0","8","6","0","8","0","0"
"1","6","6","0","0","8","6","0","8","0","0"
"1","6","7","570","28","10","6","202.318","12.319","620.777","587.414"
"1","6","8","834","47","12","7","464.72","18.579","1558.966","1499.225"
"1","6","9","939","57","14","8","679.653","23.485","2310.513","2223.74"
"1","6","10","986","63","15","7","828.609","27.966","2788.626","2681.923"
"1","6","11","1000","68","16","6","901.044","31.747","2986.955","2871.361"
"1","6","12","991","70","16","5","890.884","33.496","2927.549","2814.657"
"1","6","13","959","68","17","5","799.309","32.717","2626.471","2526.765"
"1","6","14","892","62","16","4","633.433","29.982","2081.385","2003.41"
"1","6","15","757","50","14","3","409.266","23.833","1327.164","1274.702"
"1","6","16","406","24","12","1","141.471","16.423","420.698","391.901"
"1","6","17","0","0","11","1","0","11","0","0"
"1","6","18","0","0","11","1","0","11","0","0"
"1","6","19","0","0","11","2","0","11","0","0"
"1","6","20","0","0","11","2","0","11","0","0"
"1","6","21","0","0","10","2","0","10","0","0"
"1","6","22","0","0","10","2","0","10","0","0"
"1","6","23","0","0","10","2","0","10","0","0"
"1","7","0","0","0","9","3","0","9","0","0"
"1","7","1","0","0","9","3","0","9","0","0"
"1","7","2","0","0","9","4","0","9","0","0"
"1","7","3","0","0","9","4","0","9","0","0"
"1","7","4","0","0","8","4","0","8","0","0"
"1","7","5","0","0","8","3","0","8","0","0"
"1","7","6","0","0","8","3","0","8","0","0"
"1","7","7","497","29","10","4","182.196","12.443","561.873","529.893"
"1","7","8","772","52","12","3","443.123","21.494","1468.996","1412.14"
"1","7","9","883","65","14","1","653.175","34.293","2109.351","2030.328"
"1","7","10","932","72","15","1","798.93","40.324","2530.797","2435.105"
"1","7","11","652","150","16","1","722.476","39.704","2304.246","2217.719"
"1","7","12","510","196","16","2","650.909","33.82","2138.242","2058.129"
"1","7","13","436","187","16","2","550.44","31.017","1828.792","1759.95"
"1","7","14","690","83","15","2","540.08","29.453","1783.114","1715.86"
"1","7","15","377","82","14","1","274.252","23.304","906.956","866.414"
"1","7","16","0","22","12","1","20.863","11.682","76.191","54.386"
"1","7","17","0","0","11","0","0","11","0","0"
"1","7","18","0","0","11","0","0","11","0","0"
"1","7","19","0","0","11","0","0","11","0","0"
"1","7","20","0","0","10","0","0","10","0","0"
"1","7","21","0","0","10","0","0","10","0","0"
"1","7","22","0","0","9","0","0","9","0","0"
"1","7","23","0","0","9","0","0","9","0","0"
"1","8","0","0","0","8","1","0","8","0","0"
"1","8","1","0","0","8","1","0","8","0","0"
"1","8","2","0","0","8","1","0","8","0","0"
"1","8","3","0","0","8","1","0","8","0","0"
"1","8","4","0","0","7","2","0","7","0","0"
"1","8","5","0","0","7","2","0","7","0","0"
"1","8","6","0","0","8","2","0","8","0","0"
"1","8","7","47","38","10","2","57.68","9.51","202.953","178.704"
"1","8","8","219","109","13","3","233.124","17.104","808.032","770.057"
"1","8","9","891","65","15","2","658.438","31.51","2155.428","2074.663"
"1","8","10","950","70","16","1","810.794","41.617","2551.575","2455.019"
"1","8","11","972","72","17","0","885.079","51.395","2654.552","2553.652"
"1","8","12","573","175","18","0","679.102","46.594","2090.779","2012.452"
"1","8","13","946","68","17","0","793.158","47.97","2413.078","2322.209"
"1","8","14","888","61","16","0","633.5","42.828","1954.128","1880.829"
"1","8","15","764","49","15","0","414.793","33.887","1283.727","1232.573"
"1","8","16","440","24","13","0","150.938","20.945","438.532","409.344"
"1","8","17","0","0","12","0","0","12","0","0"
"1","8","18","0","0","12","0","0","12","0","0"
"1","8","19","0","0","11","0","0","11","0","0"
"1","8","20","0","0","11","0","0","11","0","0"
"1","8","21","0","0","11","0","0","11","0","0"
"1","8","22","0","0","10","0","0","10","0","0"
"1","8","23","0","0","10","0","0","10","0","0"
"1","9","0","0","0","10","0","0","10","0","0"
"1","9","1","0","0","10","0","0","10","0","0"
"1","9","2","0","0","10","0","0","10","0","0"
"1","9","3","0","0","9","1","0","9","0","0"
"1","9","4","0","0","9","1","0","9","0","0"
"1","9","5","0","0","10","1","0","10","0","0"
"1","9","6","0","0","10","1","0","10","0","0"
"1","9","7","473","30","11","1","175.586","14.328","537.881","506.455"
"1","9","8","246","107","13","0","243.598","22.161","823.206","784.844"
"1","9","9","855","69","15","0","644.272","38.823","2035.02","1958.765"
"1","9","10","551","165","16","0","620.227","41.514","1956.151","1882.777"
"1","9","11","618","163","17","1","710.257","39.56","2267.342","2182.264"
"1","9","12","918","82","17","2","850.235","39.77","2708.983","2605.748"
"1","9","13","885","79","17","2","762.346","37.991","2442.073","2350.028"
"1","9","14","812","72","16","2","604.701","32.763","1963.816","1890.166"
"1","9","15","25","98","14","1","114.585","18.576","402.827","374.42"
"1","9","16","0","17","12","1","16.105","10.613","59.093","37.607"
"1","9","17","0","0","11","0","0","11","0","0"
"1","9","18","0","0","10","0","0","10","0","0"
"1","9","19","0","0","10","0","0","10","0","0"
"1","9","20","0","0","10","0","0","10","0","0"
"1","9","21","0","0","10","0","0","10","0","0"
"1","9","22","0","0","10","1","0","10","0","0"
"1","9","23","0","0","10","1","0","10","0","0"
"1","10","0","0","0","9","1","0","9","0","0"
"1","10","1","0","0","9","1","0","9","0","0"
"1","10","2","0","0","9","1","0","9","0","0"
"1","10","3","0","0","9","1","0","9","0","0"
"1","10","4","0","0","9","1","0","9","0","0"
"1","10","5","0","0","9","1","0","9","0","0"
"1","10","6","0","0","9","0","0","9","0","0"
"1","10","7","428","33","11","0","168.527","15.125","519.551","488.545"
"1","10","8","642","58","13","1","388.401","24.054","1275.655","1224.742"
"1","10","9","857","70","14","1","646.948","33.871","2094.471","2016.007"
"1","10","10","914","77","15","1","793.048","40.132","2515.119","2420.077"
"1","10","11","937","80","16","2","868.214","39.511","2770.452","2664.545"
"1","10","12","934","80","16","3","862.434","36.872","2788.224","2681.538"
"1","10","13","906","77","16","3","777.51","34.925","2529.105","2433.484"
"1","10","14","844","69","15","2","623.19","32.316","2028.457","1952.444"
"1","10","15","713","55","14","1","401.605","27.621","1285.546","1234.337"
"1","10","16","418","26","12","1","147.708","16.589","440.642","411.407"
"1","10","17","0","0","11","1","0","11","0","0"
"1","10","18","0","0","10","1","0","10","0","0"
"1","10","19","0","0","10","0","0","10","0","0"
"1","10","20","0","0","10","0","0","10","0","0"
"1","10","21","0","0","10","1","0","10","0","0"
"1","10","22","0","0","10","1","0","10","0","0"
"1","10","23","0","0","10","1","0","10","0","0"
"1","11","0","0","0","10","1","0","10","0","0"
"1","11","1","0","0","10","0","0","10","0","0"
"1","11","2","0","0","10","0","0","10","0","0"
"1","11","3","0","0","10","0","0","10","0","0"
"1","11","4","0","0","9","0","0","9","0","0"
"1","11","5","0","0","9","0","0","9","0","0"
"1","11","6","0","0","9","0","0","9","0","0"
"1","11","7","482","29","11","0","176.563","15.493","536.539","505.144"
"1","11","8","749","52","13","0","431.191","29.153","1378.787","1324.746"
"1","11","9","856","64","14","1","635.264","33.719","2057.653","1980.561"
"1","11","10","904","71","15","2","779.024","35.842","2524.281","2428.859"
"1","11","11","921","75","16","2","850.332","39.023","2720.171","2616.451"
"1","11","12","916","76","16","3","844.536","36.423","2736.63","2632.197"
"1","11","13","896","70","16","3","763.468","34.561","2488.062","2394.135"
"1","11","14","840","63","15","3","611.403","29.885","2013.594","1938.128"
"1","11","15","720","50","14","2","400.932","25.025","1299.097","1247.481"
"1","11","16","427","25","12","1","149.456","16.64","445.033","415.701"
"1","11","17","0","0","11","1","0","11","0","0"
"1","11","18","0","0","11","0","0","11","0","0"
"1","11","19","0","0","11","0","0","11","0","0"
"1","11","20","0","0","11","0","0","11","0","0"
"1","11","21","0","0","11","0","0","11","0","0"
"1","11","22","0","0","10","0","0","10","0","0"
"1","11","23","0","0","10","0","0","10","0","0"
"1","12","0","0","0","10","0","0","10","0","0"
"1","12","1","0","0","10","0","0","10","0","0"
"1","12","2","0","0","10","0","0","10","0","0"
"1","12","3","0","0","10","0","0","10","0","0"
"1","12","4","0","0","10","0","0","10","0","0"
"1","12","5","0","0","9","1","0","9","0","0"
