"PVWatts: Hourly PV Performance Data"
"Requested Location:","Tustin, CA"
"Location:","Lat, Lon: 33.73, -117.82"
"Lat (deg N):","33.73"
"Long (deg W):","117.82"
"Elev (m):","34.5"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.160"
"Capacity Factor (%)","18.8"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","4","2","0","4","0","0"
"1","1","1","0","0","4","2","0","4","0","0"
"1","1","2","0","0","4","2","0","4","0","0"
"1","1","3","0","0","4","2","0","4","0","0"
"1","1","4","0","0","4","2","0","4","0","0"
"1","1","5","0","0","4","1","0","4","0","0"
"1","1","6","0","0","4","1","0","4","0","0"
"1","1","7","456","27","6","1","164.2","8.914","510.763","479.957"
"1","1","8","754","52","8","1","424.721","20.261","1410.2","1355.188"
"1","1","9","870","66","9","1","637.719","28.987","2109.321","2030.299"
"1","1","10","921","74","10","0","778.78","40.854","2457.76","2365.075"
"1","1","11","941","78","11","0","850.761","44.766","2640.356","2540.061"
"1","1","12","938","78","12","0","843.707","45.86","2602.991","2504.279"
"1","1","13","905","76","12","0","756.102","43.195","2355.365","2266.812"
"1","1","14","836","68","11","1","598.981","31.244","1953.393","1880.12"
"1","1","15","691","53","10","1","374.833","22.813","1217.88","1168.676"
"1","1","16","315","22","8","1","116.353","11.422","357.523","330.092"
"1","1","17","0","0","7","2","0","7","0","0"
"1","1","18","0","0","7","1","0","7","0","0"
"1","1","19","0","0","6","1","0","6","0","0"
"1","1","20","0","0","6","1","0","6","0","0"
"1","1","21","0","0","6","1","0","6","0","0"
"1","1","22","0","0","6","1","0","6","0","0"
"1","1","23","0","0","5","0","0","5","0","0"
"1","2","0","0","0","5","0","0","5","0","0"
"1","2","1","0","0","5","0","0","5","0","0"
"1","2","2","0","0","5","1","0","5","0","0"
"1","2","3","0","0","5","1","0","5","0","0"
"1","2","4","0","0","5","2","0","5","0","0"
"1","2","5","0","0","5","2","0","5","0","0"
"1","2","6","0","0","6","2","0","6","0","0"
"1","2","7","395","29","7","2","152.301","9.572","478.137","448.067"
"1","2","8","701","57","9","2","404.792","18.648","1355.699","1302.367"
"1","2","9","825","72","11","2","616.046","27.067","2057.046","1979.977"
"1","2","10","891","79","12","2","767.855","32.622","2524.988","2429.537"
"1","2","11","914","83","13","2","835.732","35.766","2714.89","2611.399"
