"PVWatts: Hourly PV Performance Data"
"Requested Location:","Los Angeles, CA"
"Location:","Lat, Lon: 34.05, -118.26"
"Lat (deg N):","34.05"
"Long (deg W):","118.26"
"Elev (m):","97.559997558594"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.130"
"Capacity Factor (%)","19.0"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","12","1","0","12","0","0"
"1","1","1","0","0","12","1","0","12","0","0"
"1","1","2","0","0","12","1","0","12","0","0"
"1","1","3","0","0","12","1","0","12","0","0"
"1","1","4","0","0","11","1","0","11","0","0"
"1","1","5","0","0","11","1","0","11","0","0"
"1","1","6","0","0","11","1","0","11","0","0"
"1","1","7","229","30","12","1","106.784","13.045","84.943","78.179"
"1","1","8","566","72","15","2","356.327","23.147","293.126","281.155"
"1","1","9","725","93","18","1","574.768","35.458","460.872","443.532"
"1","1","10","856","89","21","0","748.448","49.726","563.849","542.696"
"1","1","11","888","92","22","0","827.306","53.951","611.318","588.274"
"1","1","12","890","91","22","0","824.866","54.29","608.292","585.371"
"1","1","13","886","79","22","1","750.595","46.255","575.41","553.804"
"1","1","14","812","71","21","1","588.924","40.447","458.948","441.676"
"1","1","15","659","56","18","1","368.438","30.355","289.558","277.69"
"1","1","16","287","22","16","0","110.074","21.866","81.273","74.587"
"1","1","17","0","0","14","0","0","14","0","0"
"1","1","18","0","0","12","0","0","12","0","0"
"1","1","19","0","0","11","0","0","11","0","0"
"1","1","20","0","0","11","1","0","11","0","0"
"1","1","21","0","0","11","1","0","11","0","0"
"1","1","22","0","0","10","1","0","10","0","0"
"1","1","23","0","0","10","1","0","10","0","0"
"1","2","0","0","0","10","1","0","10","0","0"
"1","2","1","0","0","10","2","0","10","0","0"
"1","2","2","0","0","10","2","0","10","0","0"
"1","2","3","0","0","10","2","0","10","0","0"
"1","2","4","0","0","10","3","0","10","0","0"
"1","2","5","0","0","11","4","0","11","0","0"
"1","2","6","0","0","11","4","0","11","0","0"
"1","2","7","432","26","13","5","154.403","14.841","116.579","109.128"
"1","2","8","754","50","15","5","415.598","22.058","340.942","327.547"
"1","2","9","882","62","18","5","629.835","29.681","518.351","498.931"
"1","2","10","944","68","20","6","783.483","33.467","641.013","616.744"
"1","2","11","970","70","21","5","861.107","37.75","692.242","665.781"
"1","2","12","969","70","21","5","857.709","37.808","689.215","662.887"
"1","2","13","941","68","21","5","773.861","36.192","624.32","600.744"
"1","2","14","873","62","20","5","613.306","31.955","498.278","479.599"
"1","2","15","26","90","18","4","106.918","20.187","93.16","86.222"
"1","2","16","249","24","15","3","103.034","16.085","79.165","72.523"
"1","2","17","0","0","13","3","0","13","0","0"
"1","2","18","0","0","13","3","0","13","0","0"
"1","2","19","0","0","12","3","0","12","0","0"
"1","2","20","0","0","12","3","0","12","0","0"
"1","2","21","0","0","12","3","0","12","0","0"
"1","2","22","0","0","12","3","0","12","0","0"
"1","2","23","0","0","12","3","0","12","0","0"
"1","3","0","0","0","12","3","0","12","0","0"
"1","3","1","0","0","11","3","0","11","0","0"
"1","3","2","0","0","11","3","0","11","0","0"
"1","3","3","0","0","11","3","0","11","0","0"
"1","3","4","0","0","11","3","0","11","0","0"
"1","3","5","0","0","11","3","0","11","0","0"
"1","3","6","0","0","11","4","0","11","0","0"
"1","3","7","452","26","12","4","159.342","14.181","120.307","112.773"
"1","3","8","771","50","15","4","422.86","23.131","345.009","331.49"
"1","3","9","894","62","18","4","637.09","31.269","520.282","500.791"
"1","3","10","949","69","21","4","788.612","37.847","631.396","607.527"
"1","3","11","971","72","22","3","865.04","42.542","678.775","652.9"
"1","3","12","968","72","23","2","860.506","46.208","662.465","637.29"
"1","3","13","944","68","24","2","777.588","45.122","599.61","577.04"
"1","3","14","882","61","23","1","619.306","43.336","475.444","457.589"
"1","3","15","747","49","20","0","400.441","38.061","302.505","290.262"
"1","3","16","391","23","16","0","136.664","23.231","98.564","91.509"
"1","3","17","0","0","14","1","0","14","0","0"
"1","3","18","0","0","13","1","0","13","0","0"
"1","3","19","0","0","12","1","0","12","0","0"
"1","3","20","0","0","12","2","0","12","0","0"
"1","3","21","0","0","12","2","0","12","0","0"
"1","3","22","0","0","11","2","0","11","0","0"
"1","3","23","0","0","11","2","0","11","0","0"
"1","4","0","0","0","10","2","0","10","0","0"
"1","4","1","0","0","10","2","0","10","0","0"
"1","4","2","0","0","10","2","0","10","0","0"
"1","4","3","0","0","10","2","0","10","0","0"
"1","4","4","0","0","10","2","0","10","0","0"
"1","4","5","0","0","10","2","0","10","0","0"
"1","4","6","0","0","10","2","0","10","0","0"
"1","4","7","436","25","13","2","153.843","15.735","115.335","107.912"
"1","4","8","751","51","17","2","414.298","26.841","332.252","319.122"
"1","4","9","872","63","20","1","624.425","39.091","490.667","472.265"
"1","4","10","932","70","22","1","777.557","46.211","596.533","574.087"
"1","4","11","955","73","23","1","854.271","49.863","645.225","620.78"
"1","4","12","954","73","24","1","851.806","51.025","639.329","615.13"
"1","4","13","921","72","24","1","767.113","48.703","580.663","558.849"
"1","4","14","856","65","23","1","613.825","43.139","472.054","454.32"
"1","4","15","718","52","21","0","392.424","38.713","296.031","283.976"
"1","4","16","365","24","18","0","134.05","25.026","96.829","89.812"
"1","4","17","0","0","16","0","0","16","0","0"
"1","4","18","0","0","15","0","0","15","0","0"
"1","4","19","0","0","15","1","0","15","0","0"
"1","4","20","0","0","14","1","0","14","0","0"
"1","4","21","0","0","14","1","0","14","0","0"
"1","4","22","0","0","14","1","0","14","0","0"
"1","4","23","0","0","14","1","0","14","0","0"
"1","5","0","0","0","14","1","0","14","0","0"
"1","5","1","0","0","15","1","0","15","0","0"
"1","5","2","0","0","14","1","0","14","0","0"
"1","5","3","0","0","14","1","0","14","0","0"
"1","5","4","0","0","14","1","0","14","0","0"
"1","5","5","0","0","13","1","0","13","0","0"
"1","5","6","0","0","13","1","0","13","0","0"
"1","5","7","0","21","14","1","19.911","12.905","18.08","12.647"
"1","5","8","401","80","15","1","285.631","22.053","237.523","227.101"
"1","5","9","316","155","16","1","376.751","27.218","316.37","303.717"
"1","5","10","0","31","17","1","29.409","17.617","26.145","20.56"
"1","5","11","147","253","17","1","399.209","27.677","338.174","324.864"
"1","5","12","0","128","17","1","123.832","20.811","108.491","101.219"
"1","5","13","30","195","18","1","227.457","23.739","196.407","187.055"
"1","5","14","20","148","17","0","160.761","23.421","138.887","130.928"
"1","5","15","240","92","16","0","217.12","24.009","180.513","171.559"
"1","5","16","0","20","15","0","18.961","15.513","17.018","11.604"
"1","5","17","0","0","14","0","0","14","0","0"
"1","5","18","0","0","13","0","0","13","0","0"
"1","5","19","0","0","13","0","0","13","0","0"
"1","5","20","0","0","13","0","0","13","0","0"
"1","5","21","0","0","12","0","0","12","0","0"
"1","5","22","0","0","12","0","0","12","0","0"
"1","5","23","0","0","12","0","0","12","0","0"
"1","6","0","0","0","12","0","0","12","0","0"
"1","6","1","0","0","12","0","0","12","0","0"
"1","6","2","0","0","11","0","0","11","0","0"
"1","6","3","0","0","11","0","0","11","0","0"
"1","6","4","0","0","11","0","0","11","0","0"
"1","6","5","0","0","11","0","0","11","0","0"
"1","6","6","0","0","11","0","0","11","0","0"
"1","6","7","290","27","12","0","119.405","14.151","92.64","85.713"
"1","6","8","619","61","15","0","366.527","28.298","293.086","281.116"
"1","6","9","763","77","17","0","576.637","39.308","453.117","436.049"
"1","6","10","851","81","18","1","736.768","41.081","580.587","558.777"
"1","6","11","877","85","19","1","813.873","44.836","631.315","607.45"
"1","6","12","876","85","20","2","812.331","42.003","639.347","615.148"
"1","6","13","860","78","19","2","737.742","39.181","586.837","564.779"
"1","6","14","792","70","18","2","583.58","34.087","470.181","452.513"
"1","6","15","653","56","16","1","372.926","28.511","296.902","284.822"
"1","6","16","346","24","13","1","129.871","16.856","97.866","90.826"
"1","6","17","0","0","11","1","0","11","0","0"
"1","6","18","0","0","11","0","0","11","0","0"
"1","6","19","0","0","11","0","0","11","0","0"
"1","6","20","0","0","11","0","0","11","0","0"
"1","6","21","0","0","10","0","0","10","0","0"
"1","6","22","0","0","10","1","0","10","0","0"
"1","6","23","0","0","10","1","0","10","0","0"
"1","7","0","0","0","10","1","0","10","0","0"
"1","7","1","0","0","10","1","0","10","0","0"
"1","7","2","0","0","10","1","0","10","0","0"
"1","7","3","0","0","10","1","0","10","0","0"
"1","7","4","0","0","9","1","0","9","0","0"
"1","7","5","0","0","9","1","0","9","0","0"
"1","7","6","0","0","9","1","0","9","0","0"
"1","7","7","17","28","11","1","33.796","10.278","30.14","24.479"
"1","7","8","156","101","14","1","184.722","17.845","159.558","151.113"
"1","7","9","0","7","16","1","6.629","14.783","5.969","0.76"
"1","7","10","173","225","17","1","378.247","26.914","321.068","308.276"
"1","7","11","590","164","18","1","673.923","38.447","540.534","520.279"
"1","7","12","843","100","18","1","804.706","43.39","628.979","605.211"
"1","7","13","481","174","18","2","567.168","33.875","464.276","446.817"
"1","7","14","110","170","17","1","257.378","25.868","218.836","208.908"
"1","7","15","629","61","15","1","369.247","25.867","298.346","286.223"
"1","7","16","193","28","13","1","93.085","15.629","73.425","66.902"
"1","7","17","0","0","12","1","0","12","0","0"
"1","7","18","0","0","11","1","0","11","0","0"
"1","7","19","0","0","11","0","0","11","0","0"
"1","7","20","0","0","10","0","0","10","0","0"
"1","7","21","0","0","10","0","0","10","0","0"
"1","7","22","0","0","10","0","0","10","0","0"
"1","7","23","0","0","10","0","0","10","0","0"
"1","8","0","0","0","9","0","0","9","0","0"
"1","8","1","0","0","9","0","0","9","0","0"
"1","8","2","0","0","9","1","0","9","0","0"
"1","8","3","0","0","9","1","0","9","0","0"
"1","8","4","0","0","9","1","0","9","0","0"
"1","8","5","0","0","9","1","0","9","0","0"
"1","8","6","0","0","10","1","0","10","0","0"
"1","8","7","0","12","10","1","11.358","8.28","10.526","5.233"
"1","8","8","0","35","11","2","33.181","9.88","30.536","24.867"
"1","8","9","48","162","12","3","201.243","15.253","180.194","171.247"
"1","8","10","0","106","12","3","101.822","13.271","92.308","85.388"
"1","8","11","0","126","12","3","121.725","13.49","110.244","102.933"
"1","8","12","0","153","12","2","149.507","14.551","134.765","126.902"
"1","8","13","0","36","11","2","34.16","10.416","31.362","25.678"
"1","8","14","0","9","11","1","8.524","8.867","7.879","2.635"
"1","8","15","0","10","11","1","9.463","8.751","8.752","3.491"
"1","8","16","0","20","10","1","18.959","8.053","17.587","12.163"
"1","8","17","0","0","9","2","0","9","0","0"
"1","8","18","0","0","8","2","0","8","0","0"
"1","8","19","0","0","7","2","0","7","0","0"
"1","8","20","0","0","7","2","0","7","0","0"
"1","8","21","0","0","7","2","0","7","0","0"
"1","8","22","0","0","7","2","0","7","0","0"
"1","8","23","0","0","7","2","0","7","0","0"
"1","9","0","0","0","7","2","0","7","0","0"
"1","9","1","0","0","7","2","0","7","0","0"
"1","9","2","0","0","7","2","0","7","0","0"
"1","9","3","0","0","7","2","0","7","0","0"
"1","9","4","0","0","7","2","0","7","0","0"
"1","9","5","0","0","6","2","0","6","0","0"
"1","9","6","0","0","6","2","0","6","0","0"
"1","9","7","37","30","8","2","45.205","7.194","40.085","34.232"
"1","9","8","452","76","10","3","303.412","15.769","258.835","247.833"
"1","9","9","707","96","12","2","566.324","26.408","474.498","456.676"
"1","9","10","820","94","14","2","730.337","33.431","598.106","575.596"
"1","9","11","846","99","15","1","808.217","40.901","639.886","615.664"
"1","9","12","854","97","16","1","812.758","42.282","638.97","614.786"
"1","9","13","305","213","16","2","472.53","29.514","395.684","380.555"
"1","9","14","565","113","15","3","497.719","26.502","417.629","401.773"
"1","9","15","461","75","13","3","310.198","20.126","259.611","248.588"
"1","9","16","183","32","11","2","95.628","12.724","77.254","70.652"
"1","9","17","0","0","9","1","0","9","0","0"
"1","9","18","0","0","8","1","0","8","0","0"
"1","9","19","0","0","8","1","0","8","0","0"
"1","9","20","0","0","8","0","0","8","0","0"
"1","9","21","0","0","8","0","0","8","0","0"
"1","9","22","0","0","8","0","0","8","0","0"
"1","9","23","0","0","8","1","0","8","0","0"
"1","10","0","0","0","8","1","0","8","0","0"
"1","10","1","0","0","8","1","0","8","0","0"
"1","10","2","0","0","8","1","0","8","0","0"
"1","10","3","0","0","8","1","0","8","0","0"
"1","10","4","0","0","9","1","0","9","0","0"
"1","10","5","0","0","9","2","0","9","0","0"
"1","10","6","0","0","9","2","0","9","0","0"
"1","10","7","259","31","9","3","114.148","10.255","91.003","84.11"
"1","10","8","0","65","10","3","62.659","10.041","57.622","51.422"
"1","10","9","43","162","11","4","197.907","13.941","178.31","169.41"
"1","10","10","71","219","12","4","285.449","17.189","253.841","242.976"
"1","10","11","0","163","12","4","159.855","14.59","144.067","135.988"
"1","10","12","0","146","11","4","142.168","12.911","129.091","121.358"
"1","10","13","0","133","11","4","129.384","12.587","117.652","110.177"
"1","10","14","0","37","10","5","35.092","9.489","32.349","26.646"
"1","10","15","0","19","10","5","17.992","8.993","16.622","11.216"
"1","10","16","0","20","9","5","18.957","7.974","17.591","12.167"
"1","10","17","0","0","9","5","0","9","0","0"
"1","10","18","0","0","9","5","0","9","0","0"
"1","10","19","0","0","9","6","0","9","0","0"
"1","10","20","0","0","10","6","0","10","0","0"
"1","10","21","0","0","10","7","0","10","0","0"
"1","10","22","0","0","10","8","0","10","0","0"
"1","10","23","0","0","10","7","0","10","0","0"
"1","11","0","0","0","10","5","0","10","0","0"
"1","11","1","0","0","9","4","0","9","0","0"
"1","11","2","0","0","8","3","0","8","0","0"
"1","11","3","0","0","8","3","0","8","0","0"
"1","11","4","0","0","8","2","0","8","0","0"
"1","11","5","0","0","8","2","0","8","0","0"
"1","11","6","0","0","8","2","0","8","0","0"
"1","11","7","0","1","8","2","0.945","5.939","0.884","0"
"1","11","8","0","36","8","2","34.132","6.813","31.833","26.14"
"1","11","9","209","171","9","2","320.116","15.93","284.029","272.32"
"1","11","10","151","229","9","2","366.499","18.192","324.086","311.203"
"1","11","11","385","228","10","3","573.016","23.087","495.487","476.91"
"1","11","12","162","261","9","3","420.925","19.016","371.292","356.949"
"1","11","13","871","80","9","2","756.742","28.842","633.742","609.776"
"1","11","14","321","160","9","2","387.301","20.248","336.218","322.968"
"1","11","15","4","95","8","1","96.937","10.843","88.715","81.871"
"1","11","16","0","25","7","0","23.834","5.213","22.383","16.869"
"1","11","17","0","0","6","0","0","6","0","0"
"1","11","18","0","0","6","1","0","6","0","0"
"1","11","19","0","0","6","1","0","6","0","0"
"1","11","20","0","0","6","1","0","6","0","0"
"1","11","21","0","0","6","1","0","6","0","0"
"1","11","22","0","0","6","1","0","6","0","0"
"1","11","23","0","0","6","2","0","6","0","0"
"1","12","0","0","0","7","2","0","7","0","0"
"1","12","1","0","0","7","2","0","7","0","0"
"1","12","2","0","0","6","2","0","6","0","0"
"1","12","3","0","0","6","2","0","6","0","0"
"1","12","4","0","0","6","2","0","6","0","0"
"1","12","5","0","0","6","2","0","6","0","0"
"1","12","6","0","0","6","3","0","6","0","0"
"1","12","7","0","13","6","3","12.307","4.478","11.594","6.281"
"1","12","8","0","17","7","3","16.096","5.554","15.093","9.716"
"1","12","9","0","31","8","3","29.393","6.912","27.401","21.793"
"1","12","10","0","73","9","3","69.368","8.959","64.094","57.763"
"1","12","11","0","125","10","2","120.623","11.536","110.197","102.888"
"1","12","12","38","232","10","2","275.702","16.016","246.76","236.088"
"1","12","13","331","213","10","1","493.469","24.893","422.409","406.393"
"1","12","14","430","143","10","1","446.36","24.497","379.259","364.662"
"1","12","15","47","105","9","1","133.224","13.366","119.396","111.882"
"1","12","16","158","34","8","1","91.403","9.214","75.935","69.36"
"1","12","17","0","0","7","1","0","7","0","0"
"1","12","18","0","0","7","1","0","7","0","0"
"1","12","19","0","0","7","0","0","7","0","0"
"1","12","20","0","0","6","0","0","6","0","0"
"1","12","21","0","0","6","1","0","6","0","0"
"1","12","22","0","0","5","1","0","5","0","0"
"1","12","23","0","0","5","1","0","5","0","0"
"1","13","0","0","0","5","1","0","5","0","0"
"1","13","1","0","0","4","1","0","4","0","0"
"1","13","2","0","0","4","1","0","4","0","0"
"1","13","3","0","0","5","1","0","5","0","0"
"1","13","4","0","0","5","1","0","5","0","0"
"1","13","5","0","0","4","1","0","4","0","0"
"1","13","6","0","0","4","1","0","4","0","0"
"1","13","7","362","27","6","1","136.128","8.474","106.438","99.211"
"1","13","8","678","58","9","1","386.632","19.897","320.772","307.988"
"1","13","9","804","75","11","0","601.412","34.569","483.898","465.74"
"1","13","10","885","78","12","0","757.82","41.84","595.03","572.644"
"1","13","11","902","85","13","1","835.677","39.922","664.984","639.702"
"1","13","12","890","89","14","2","838.573","36.995","677.263","651.453"
"1","13","13","866","85","13","2","762.553","34.134","622.649","599.141"
"1","13","14","814","74","12","2","614.65","29.152","508.381","489.331"
"1","13","15","697","58","11","1","404.488","24.764","329.405","316.362"
"1","13","16","414","29","9","1","155.151","13.859","118.718","111.219"
"1","13","17","0","0","7","1","0","7","0","0"
"1","13","18","0","0","7","1","0","7","0","0"
"1","13","19","0","0","7","1","0","7","0","0"
"1","13","20","0","0","7","1","0","7","0","0"
"1","13","21","0","0","7","0","0","7","0","0"
"1","13","22","0","0","6","0","0","6","0","0"
"1","13","23","0","0","6","1","0","6","0","0"
"1","14","0","0","0","5","1","0","5","0","0"
"1","14","1","0","0","5","1","0","5","0","0"
"1","14","2","0","0","5","0","0","5","0","0"
"1","14","3","0","0","5","0","0","5","0","0"
"1","14","4","0","0","4","0","0","4","0","0"
"1","14","5","0","0","4","1","0","4","0","0"
"1","14","6","0","0","4","1","0","4","0","0"
"1","14","7","356","28","6","1","135.317","7.917","106.247","99.025"
"1","14","8","673","60","8","2","388.965","17.17","327.023","314.051"
"1","14","9","802","77","11","1","602.877","29.695","496.798","478.173"
"1","14","10","828","99","12","1","745.64","35.773","603.861","581.12"
"1","14","11","858","104","13","1","829.43","39.694","660.924","635.815"
"1","14","12","857","105","14","1","831.936","41.039","658.491","633.485"
"1","14","13","874","86","14","1","771.642","39.356","614.004","590.851"
"1","14","14","807","79","13","2","617.811","30.228","508.62","489.561"
"1","14","15","673","64","11","1","403.873","24.761","329.699","316.647"
"1","14","16","353","34","9","1","144.682","13.513","112.689","105.325"
"1","14","17","0","0","7","1","0","7","0","0"
"1","14","18","0","0","7","1","0","7","0","0"
"1","14","19","0","0","6","1","0","6","0","0"
"1","14","20","0","0","6","1","0","6","0","0"
"1","14","21","0","0","5","1","0","5","0","0"
"1","14","22","0","0","5","1","0","5","0","0"
"1","14","23","0","0","5","2","0","5","0","0"
"1","15","0","0","0","4","2","0","4","0","0"
"1","15","1","0","0","4","2","0","4","0","0"
"1","15","2","0","0","3","2","0","3","0","0"
"1","15","3","0","0","3","2","0","3","0","0"
"1","15","4","0","0","3","2","0","3","0","0"
"1","15","5","0","0","3","2","0","3","0","0"
"1","15","6","0","0","3","2","0","3","0","0"
"1","15","7","277","32","5","3","118.521","6.063","95.702","88.709"
"1","15","8","618","70","7","3","375.046","14.719","319.747","306.994"
"1","15","9","779","85","9","2","597.849","24.549","505.079","486.151"
"1","15","10","852","94","10","2","758.879","30.419","630.865","607.018"
"1","15","11","882","98","11","2","843.386","34.029","691.28","664.861"
"1","15","12","882","98","12","2","845.957","35.303","689.133","662.809"
"1","15","13","442","194","11","2","567.61","27.235","480.326","462.296"
"1","15","14","791","85","11","3","616.205","25.598","518.908","499.468"
"1","15","15","646","70","10","2","399.44","21.074","332.426","319.292"
"1","15","16","311","38","8","2","137.767","11.206","109.802","102.502"
"1","15","17","0","0","6","2","0","6","0","0"
"1","15","18","0","0","6","2","0","6","0","0"
"1","15","19","0","0","5","2","0","5","0","0"
"1","15","20","0","0","4","2","0","4","0","0"
"1","15","21","0","0","4","2","0","4","0","0"
"1","15","22","0","0","3","2","0","3","0","0"
"1","15","23","0","0","3","2","0","3","0","0"
"1","16","0","0","0","3","2","0","3","0","0"
"1","16","1","0","0","2","2","0","2","0","0"
"1","16","2","0","0","2","2","0","2","0","0"
"1","16","3","0","0","2","2","0","2","0","0"
"1","16","4","0","0","2","2","0","2","0","0"
"1","16","5","0","0","2","2","0","2","0","0"
"1","16","6","0","0","2","2","0","2","0","0"
"1","16","7","404","27","4","2","145.992","5.943","114.475","107.071"
"1","16","8","728","55","7","3","406.632","15.56","343.708","330.229"
