"PVWatts: Hourly PV Performance Data"
"Requested Location:","Pasadena, CA"
"Location:","Lat, Lon: 34.13, -118.14"
"Lat (deg N):","34.13"
"Long (deg W):","118.14"
"Elev (m):","239.94999694824"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.154"
"Capacity Factor (%)","18.8"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","1","1","0","1","0","0"
"1","1","1","0","0","1","1","0","1","0","0"
"1","1","2","0","0","1","1","0","1","0","0"
"1","1","3","0","0","1","1","0","1","0","0"
"1","1","4","0","0","1","1","0","1","0","0"
"1","1","5","0","0","1","1","0","1","0","0"
"1","1","6","0","0","2","1","0","2","0","0"
"1","1","7","482","25","3","1","167.623","6.019","130.935","123.159"
"1","1","8","786","48","6","1","429.285","18.468","357.959","344.038"
"1","1","9","901","61","8","2","641.094","24.895","539.75","519.525"
"1","1","10","951","69","10","1","789.602","35.32","640.15","615.917"
"1","1","11","970","73","11","0","863.496","45.198","668.28","642.857"
"1","1","12","966","73","11","0","856.79","45.415","662.221","637.057"
"1","1","13","932","71","12","0","768.018","43.628","596.632","574.182"
"1","1","14","866","64","11","0","612.027","37.389","483.939","465.78"
"1","1","15","725","50","9","0","386.942","27.132","307.681","295.286"
"1","1","16","355","21","7","0","123.752","13.776","93.041","86.105"
"1","1","17","0","0","6","0","0","6","0","0"
"1","1","18","0","0","6","0","0","6","0","0"
"1","1","19","0","0","5","0","0","5","0","0"
"1","1","20","0","0","5","0","0","5","0","0"
"1","1","21","0","0","4","0","0","4","0","0"
"1","1","22","0","0","4","0","0","4","0","0"
"1","1","23","0","0","3","0","0","3","0","0"
"1","2","0","0","0","3","1","0","3","0","0"
"1","2","1","0","0","3","1","0","3","0","0"
"1","2","2","0","0","3","1","0","3","0","0"
"1","2","3","0","0","3","1","0","3","0","0"
"1","2","4","0","0","3","1","0","3","0","0"
"1","2","5","0","0","3","1","0","3","0","0"
"1","2","6","0","0","3","1","0","3","0","0"
"1","2","7","418","26","5","1","150.934","8.163","117.627","110.153"
"1","2","8","735","53","8","1","410.778","19.754","340.938","327.544"
"1","2","9","859","67","10","0","625.838","34.59","503.139","484.282"
"1","2","10","919","74","12","0","772.154","42.423","604.107","581.356"
"1","2","11","942","77","13","1","846.674","40.289","672.017","646.433"
"1","2","12","939","78","14","1","842.502","41.405","664.828","639.553"
"1","2","13","928","68","14","2","762.952","35.112","618.749","595.401"
"1","2","14","857","63","13","2","607.027","29.922","498.021","479.351"
"1","2","15","712","50","10","2","382.776","20.599","314.145","301.559"
"1","2","16","345","21","8","1","121.714","11.641","92.632","85.705"
"1","2","17","0","0","6","1","0","6","0","0"
"1","2","18","0","0","6","1","0","6","0","0"
"1","2","19","0","0","6","0","0","6","0","0"
"1","2","20","0","0","6","0","0","6","0","0"
"1","2","21","0","0","6","0","0","6","0","0"
"1","2","22","0","0","6","0","0","6","0","0"
"1","2","23","0","0","6","0","0","6","0","0"
"1","3","0","0","0","5","0","0","5","0","0"
"1","3","1","0","0","5","0","0","5","0","0"
"1","3","2","0","0","5","0","0","5","0","0"
"1","3","3","0","0","4","0","0","4","0","0"
"1","3","4","0","0","4","1","0","4","0","0"
"1","3","5","0","0","4","1","0","4","0","0"
"1","3","6","0","0","4","1","0","4","0","0"
"1","3","7","383","26","5","1","144.157","7.919","113.301","105.923"
"1","3","8","700","55","8","0","396.315","22.763","324.596","311.698"
"1","3","9","826","70","10","0","608.527","33.935","490.899","472.488"
"1","3","10","900","74","11","0","758.349","40.978","597.723","575.229"
"1","3","11","919","79","12","0","831.45","44.982","644.294","619.887"
"1","3","12","913","80","13","1","825.395","39.936","656.261","631.35"
"1","3","13","882","77","14","1","746.796","38.626","595.37","572.971"
"1","3","14","811","70","13","1","588.767","32.797","476.741","458.84"
"1","3","15","665","55","11","1","368.869","23.549","299.415","287.262"
"1","3","16","308","23","9","1","117.036","12.409","90.064","83.191"
"1","3","17","0","0","8","1","0","8","0","0"
"1","3","18","0","0","8","1","0","8","0","0"
"1","3","19","0","0","7","1","0","7","0","0"
"1","3","20","0","0","7","1","0","7","0","0"
"1","3","21","0","0","7","1","0","7","0","0"
"1","3","22","0","0","6","1","0","6","0","0"
