,Emissions/Supply (C02 kg/kWh),Supply (GWh),Emissions (mmTh)
0,0.2492775052086834,29758,7418
1,0.28559581399940764,50645,14464
2,0.2711845073635649,78902,21397
3,0.28533624224794457,99006,28250
4,0.29353618559300665,118970,34922
5,0.2832792318035503,147254,41714
6,0.2746390956963864,176224,48398
7,0.2685022551562067,205529,55185
8,0.2611693728330644,233048,60865
9,0.2535379786419911,257421,65266
10,0.24645546870542592,280432,69114
11,0.24066201032493167,302956,72910
12,0.23563899726251805,324751,76524
13,0.23126194863027544,346274,80080
14,0.22726296647648353,367891,83608
15,0.22357825674671314,390190,87238
16,0.2215016892257976,415279,91985
17,0.22065867118409183,444501,98083
18,0.2201098551718945,478084,105231
19,0.21981837606837606,512928,112751
20,0.21951816739882027,547244,120130
21,0.22328866511070902,571995,127720
22,0.22322781995778143,604947,135041
23,0.22292283875429264,636265,141838
24,0.22315285671552498,26744,5968
25,0.2600982237511088,46221,12022
26,0.27451460395660887,65359,17942
27,0.261069838178496,91397,23861
28,0.2675275590551181,111125,29729
29,0.2711647134675921,131835,35749
30,0.2618700791031291,162699,42606
31,0.254465544916997,194993,49619
32,0.24751865950469895,227498,56310
33,0.24124727749056327,258034,62250
34,0.23582644425964877,286202,67494
35,0.23168624796017104,313139,72550
36,0.22868731996943154,340220,77804
37,0.22639264408376422,367269,83147
38,0.22448472745611345,394597,88581
39,0.22571085359976406,417069,94137
40,0.228182736966421,440305,100470
41,0.23315749066127023,464999,108418
42,0.23843748920791696,492259,117373
43,0.23889297639934348,530070,126630
44,0.23924051749226144,566965,135641
45,0.2395686554050694,603230,144515
46,0.239861128083649,638286,153100
47,0.24025603810799748,671775,161398
48,0.24902108704242554,27837,6932
49,0.2501426599171652,54325,13589
50,0.2500932673415077,80414,20111
51,0.2500422701910613,106458,26619
52,0.2494801402307652,133209,33233
53,0.24821862998135272,161954,40200
54,0.24721041993234882,193936,47943
55,0.24622901032152997,227195,55942
56,0.24370378101721385,258687,63043
57,0.2393621465071917,287276,68763
58,0.23450618797301298,314077,73653
59,0.23053275376119395,340251,78439
60,0.22725818229555542,365637,83094
61,0.22449741674765972,390980,87774
62,0.22205436255290578,417015,92600
63,0.2205458021117934,443604,97835
64,0.21965402409883572,472056,103689
65,0.22060257101191985,504704,111339
66,0.22168914102521486,541506,120046
67,0.22271985071145323,578745,128898
68,0.22716997333201233,605595,137573
69,0.22770213926664848,641575,146088
70,0.2281228749667386,676460,154316
71,0.2285801226468388,709843,162256
72,0.2360644497771683,29170,6886
73,0.27355832573223876,49335,13496
74,0.28883161263231055,69061,19947
75,0.2971907955648895,88566,26321
76,0.30170972539094615,108263,32664
77,0.3036495214380204,128510,39022
78,0.28754245244381155,158707,45635
79,0.28958010192776423,180520,52275
80,0.2864289347496506,202497,58001
81,0.278316299181646,223864,62305
82,0.26935426474858987,244481,65852
83,0.2626010824938907,264759,69526
84,0.256670227870166,284548,73035
85,0.24887186978432949,307367,76495
86,0.24259627411762574,330982,80295
87,0.23726417613053535,355827,84425
88,0.23357826648063265,382009,89229
89,0.23197521796988052,412557,95703
90,0.23068906367761544,447143,103151
91,0.22968343609139422,482525,110828
92,0.22891314969708323,517799,118531
93,0.22843766695945886,552155,126133
94,0.2282731323999529,585899,133745
95,0.22845601000940807,618618,141327
96,0.31406911489613076,20314,6380
97,0.30715484210262706,39931,12265
