i,cluster,kwh_ann_tot,customer_count,util,slap,sector,building_type,care,kwh_bin,kw_bin,poolpump_penetration,hvac_penetration,weather_station,bev_count,bev_work_count,phev_count,phev_work_count,battery_kwh_per_customer,cluster_oldname
1,pge-com-PGCC-com_other-noKW-Care-0.0_1.0," 1,742,474 ",49,pge,PGCC,com,office,Care,0.0_1.0,noKW,NA,0.666666667,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-Care-0.0_1.0
2,pge-com-PGCC-com_other-noKW-nonCare-0.0_0.1,"417,259",1752,pge,PGCC,com,com_other,nonCare,0.0_0.1,noKW,NA,0.151515152,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.0_0.1
3,pge-com-PGCC-com_other-noKW-nonCare-0.1_0.2,"2,186,239",1752,pge,PGCC,com,com_other,nonCare,0.1_0.2,noKW,NA,0.151898734,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.1_0.2
4,pge-com-PGCC-com_other-noKW-nonCare-0.2_0.3,"4,645,043",1749,pge,PGCC,com,com_other,nonCare,0.2_0.3,noKW,NA,0.328571429,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.2_0.3
5,pge-com-PGCC-com_other-noKW-nonCare-0.3_0.4,"7,683,064",1752,pge,PGCC,com,com_other,nonCare,0.3_0.4,noKW,NA,0.386666667,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.3_0.4
6,pge-com-PGCC-com_other-noKW-nonCare-0.4_0.5,"11,723,841",1752,pge,PGCC,com,com_other,nonCare,0.4_0.5,noKW,NA,0.481012658,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.4_0.5
7,pge-com-PGCC-com_other-noKW-nonCare-0.5_0.6,"17,938,719",1749,pge,PGCC,com,com_other,nonCare,0.5_0.6,noKW,NA,0.365853659,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.5_0.6
8,pge-com-PGCC-com_other-noKW-nonCare-0.6_0.7,"28,907,644",1752,pge,PGCC,com,com_other,nonCare,0.6_0.7,noKW,NA,0.461538462,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.6_0.7
9,pge-com-PGCC-com_other-noKW-nonCare-0.7_0.8,"49,872,867",1750,pge,PGCC,com,com_other,nonCare,0.7_0.8,noKW,NA,0.577464789,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.7_0.8
10,pge-com-PGCC-com_other-noKW-nonCare-0.8_0.9,"94,226,229",1750,pge,PGCC,com,com_other,nonCare,0.8_0.9,noKW,NA,0.821428571,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.8_0.9
11,pge-com-PGCC-com_other-noKW-nonCare-0.9_1.0,"573,097,129",1752,pge,PGCC,com,com_other,nonCare,0.9_1.0,noKW,NA,0.525423729,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.9_1.0
12,pge-com-PGCC-office-50_200kW-nonCare-0.0_1.0,"82,342,824",265,pge,PGCC,com,office,nonCare,0.0_1.0,50_200kW,NA,1,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-50_200kW-nonCare-0.0_1.0
13,pge-com-PGCC-office-lt50kW-nonCare-0.0_0.1,"355,528",899,pge,PGCC,com,office,nonCare,0.0_0.1,<50kW,NA,0.68852459,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.0_0.1
14,pge-com-PGCC-office-lt50kW-nonCare-0.1_0.2,"1,689,208",899,pge,PGCC,com,office,nonCare,0.1_0.2,<50kW,NA,0.866666667,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.1_0.2
15,pge-com-PGCC-office-lt50kW-nonCare-0.2_0.3,"3,072,610",899,pge,PGCC,com,office,nonCare,0.2_0.3,<50kW,NA,0.777777778,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.2_0.3
16,pge-com-PGCC-office-lt50kW-nonCare-0.3_0.4,"4,375,420",899,pge,PGCC,com,office,nonCare,0.3_0.4,<50kW,NA,0.745098039,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.3_0.4
17,pge-com-PGCC-office-lt50kW-nonCare-0.4_0.5,"5,865,804",899,pge,PGCC,com,office,nonCare,0.4_0.5,<50kW,NA,0.825,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.4_0.5
18,pge-com-PGCC-office-lt50kW-nonCare-0.5_0.6,"7,918,986",898,pge,PGCC,com,office,nonCare,0.5_0.6,<50kW,NA,0.892857143,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.5_0.6
19,pge-com-PGCC-office-lt50kW-nonCare-0.6_0.7,"11,155,589",899,pge,PGCC,com,office,nonCare,0.6_0.7,<50kW,NA,0.905660377,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.6_0.7
20,pge-com-PGCC-office-lt50kW-nonCare-0.7_0.8,"16,385,088",899,pge,PGCC,com,office,nonCare,0.7_0.8,<50kW,NA,0.914893617,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.7_0.8
21,pge-com-PGCC-office-lt50kW-nonCare-0.8_0.9,"27,840,865",899,pge,PGCC,com,office,nonCare,0.8_0.9,<50kW,NA,0.854166667,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.8_0.9
22,pge-com-PGCC-office-lt50kW-nonCare-0.9_1.0,"81,933,606",899,pge,PGCC,com,office,nonCare,0.9_1.0,<50kW,NA,0.780487805,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.9_1.0
23,pge-com-PGCC-office-gt200kW-nonCare-0.0_0.5,"32,405,745",36,pge,PGCC,com,office,nonCare,0.0_0.5,>200kW,NA,0.166666667,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office->200kW-nonCare-0.0_0.5
24,pge-com-PGCC-office-gt200kW-nonCare-0.5_1.0,"137,669,927",36,pge,PGCC,com,office,nonCare,0.5_1.0,>200kW,NA,0.347826087,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office->200kW-nonCare-0.5_1.0
25,pge-com-PGCC-ref_wh-lt50kW-nonCare-0.0_1.0,"1,321,003",38,pge,PGCC,com,ref_wh,nonCare,0.0_1.0,<50kW,NA,0,724915,NA,NA,NA,NA,NA,pge-com-PGCC-ref_wh-<50kW-nonCare-0.0_1.0
26,pge-com-PGCC-retail-50_200kW-nonCare-0.0_0.5,"35,688,518",164,pge,PGCC,com,retail,nonCare,0.0_0.5,50_200kW,NA,0.727272727,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail-50_200kW-nonCare-0.0_0.5
27,pge-com-PGCC-retail-50_200kW-nonCare-0.5_1.0,"84,813,700",162,pge,PGCC,com,retail,nonCare,0.5_1.0,50_200kW,NA,1,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail-50_200kW-nonCare-0.5_1.0
28,pge-com-PGCC-retail-lt50kW-nonCare-0.0_0.1,"489,789",369,pge,PGCC,com,retail,nonCare,0.0_0.1,<50kW,NA,0.72,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail-<50kW-nonCare-0.0_0.1
