hour_ending,cooling,poolpump,plugload,other,total,,,,,,
1,0,66.43728,1706.696981,3982.292955,5755.427216,,9.3471,1.9336,12.3146,28.7340,52.3293
2,0,51.1056,1530.713984,3571.665963,5153.485547,,,,,,
3,0,64.393056,1489.158852,3474.703987,5028.255895,,,,,,
4,0,73.592064,1298.000707,3028.668316,4400.261086,,,,,,
5,0,72.569952,1586.706528,3702.315232,5361.591712,,,,,,
6,0,97.10064,1359.70022,3172.633847,4629.434706,,,,,,
7,0,178.8696,1258.092864,2935.550015,4372.512479,,,,,,
8,0,234.063648,1445.967859,3373.925004,5053.956511,,,,,,
9,0,286.19136,1743.546363,4068.274847,6098.012569,,,,,,
10,0,393.51312,1541.796272,3597.524636,5532.834028,,,,,,
11,0,474.259968,1427.139958,3329.993236,5231.393163,,,,,,
12,0,513.100224,1582.719827,3693.01293,5788.832981,,,,,,
13,0,477.326304,1441.524598,3363.557396,5282.408298,,,,,,
14,0,458.928288,1674.507047,3907.183109,6040.618443,,,,,,
15,0,414.977472,1501.280726,3502.98836,5419.246558,,,,,,
16,0,346.495968,1557.064716,3633.151005,5536.711689,,,,,,
17,0,288.235584,1852.829357,4323.268499,6464.33344,,,,,,
18,0,201.356064,2076.759732,4845.772709,7123.888505,,,,,,
19,0,153.3168,2184.937633,5098.18781,7436.442243,,,,,,
20,0,140.029344,2228.008615,5198.686768,7566.724727,,,,,,
21,0,112.43232,2472.825719,5769.926677,8355.184715,,,,,,
22,0,80.746848,1962.848213,4579.979163,6623.574223,,,,,,
23,0,56.21616,1716.451185,4005.052764,5777.720109,,,,,,
24,0,62.348832,1564.189756,3649.776096,5276.314684,,,,,,
25,0,66.43728,1351.620558,3153.781301,4571.839139,,,,,,
26,0,51.1056,1221.531039,2850.23909,4122.875729,,,,,,
27,0,64.393056,1149.190563,2681.444648,3895.028267,,,,,,
28,0,73.592064,1111.87352,2594.371548,3779.837132,,,,,,
29,0,72.569952,1247.619548,2911.112278,4231.301777,,,,,,
30,0,97.10064,1167.52978,2724.236152,3988.866572,,,,,,
31,0,178.8696,988.0953842,2305.555896,3472.520881,,,,,,
32,0,234.063648,1309.934212,3056.513161,4600.511022,,,,,,
33,0,286.19136,1811.326492,4226.428482,6323.946334,,,,,,
34,0,393.51312,1750.500048,4084.500113,6228.513282,,,,,,
35,0,474.259968,1629.891129,3803.079302,5907.230399,,,,,,
36,0,513.100224,1505.76906,3513.46114,5532.330424,,,,,,
37,0,477.326304,1910.549839,4457.949623,6845.825766,,,,,,
38,0,458.928288,1567.537257,3657.586934,5684.052479,,,,,,
39,0,414.977472,1398.481335,3263.123114,5076.58192,,,,,,
40,0,346.495968,1561.518957,3643.544233,5551.559158,,,,,,
41,0,288.235584,2104.970454,4911.597726,7304.803764,,,,,,
42,0,201.356064,2402.591842,5606.047632,8209.995539,,,,,,
43,0,153.3168,2539.948588,5926.546704,8619.812092,,,,,,
44,0,140.029344,2736.568581,6385.326689,9261.924614,,,,,,
45,0,112.43232,2324.358077,5423.502179,7860.292575,,,,,,
46,0,80.746848,2208.813685,5153.898599,7443.459132,,,,,,
47,0,56.21616,1815.001549,4235.003614,6106.221323,,,,,,
48,0,62.348832,1514.458811,3533.737227,5110.54487,,,,,,
49,0,66.43728,1607.557399,3750.967265,5424.961945,,,,,,
50,0,51.1056,1353.188363,3157.439513,4561.733475,,,,,,
51,0,64.393056,1194.580437,2787.354353,4046.327845,,,,,,
52,0,73.592064,1203.766233,2808.787877,4086.146174,,,,,,
53,0,72.569952,1253.72827,2925.365964,4251.664186,,,,,,
54,0,97.10064,1185.014928,2765.034832,4047.150399,,,,,,
55,0,178.8696,1370.406739,3197.615724,4746.892062,,,,,,
56,0,234.063648,1459.650793,3405.851851,5099.566292,,,,,,
57,0,286.19136,1566.237291,3654.55368,5506.982331,,,,,,
58,0,393.51312,1562.005921,3644.680482,5600.199523,,,,,,
59,0,474.259968,1805.664207,4213.216483,6493.140658,,,,,,
60,0,513.100224,1307.741699,3051.397298,4872.239222,,,,,,
61,0,477.326304,1985.692857,4633.283333,7096.302494,,,,,,
62,0,458.928288,1521.500418,3550.167643,5530.596349,,,,,,
63,0,414.977472,1493.127024,3483.963057,5392.067553,,,,,,
64,0,346.495968,1262.708214,2946.319165,4555.523347,,,,,,
65,0,288.235584,1573.118888,3670.610738,5531.96521,,,,,,
66,0,201.356064,2038.249096,4755.914558,6995.519719,,,,,,
67,0,153.3168,2137.054917,4986.461474,7276.833191,,,,,,
68,0,140.029344,1947.702351,4544.63882,6632.370515,,,,,,
69,0,112.43232,2180.845903,5088.64044,7381.918663,,,,,,
70,0,80.746848,2005.704955,4679.978229,6766.430032,,,,,,
71,0,56.21616,1766.036083,4120.750861,5943.003105,,,,,,
72,0,62.348832,1487.354817,3470.494574,5020.198223,,,,,,
73,0,66.43728,1235.912388,2883.795573,4186.145241,,,,,,
74,0,51.1056,1117.818728,2608.2437,3777.168028,,,,,,
75,0,64.393056,1040.824948,2428.591544,3533.809548,,,,,,
76,0,73.592064,1010.301529,2357.370235,3441.263828,,,,,,
77,0,72.569952,1058.082959,2468.860237,3599.513148,,,,,,
78,0,97.10064,1468.73563,3427.049803,4992.886073,,,,,,
79,0,178.8696,1256.894285,2932.753331,4368.517216,,,,,,
80,0,234.063648,1227.700634,2864.634812,4326.399093,,,,,,
81,0,286.19136,1400.853574,3268.65834,4955.703274,,,,,,
82,0,393.51312,1824.52991,4257.236456,6475.279485,,,,,,
83,0,474.259968,1628.088225,3798.872525,5901.220718,,,,,,
84,0,513.100224,1705.327378,3979.097216,6197.524818,,,,,,
85,0,477.326304,2056.496195,4798.491121,7332.31362,,,,,,
86,0,458.928288,1763.522639,4114.886157,6337.337083,,,,,,
87,0,414.977472,1448.002773,3378.673137,5241.653383,,,,,,
88,0,346.495968,1500.206659,3500.482203,5347.18483,,,,,,
89,0,288.235584,2071.049058,4832.447802,7191.732444,,,,,,
90,0,201.356064,2265.530861,5286.238677,7753.125602,,,,,,
91,0,153.3168,2247.938556,5245.189963,7646.445319,,,,,,
92,0,140.029344,2582.198694,6025.130286,8747.358325,,,,,,
93,0,112.43232,2351.62826,5487.132607,7951.193187,,,,,,
94,0,80.746848,2033.947096,4745.876556,6860.5705,,,,,,
95,0,56.21616,1965.599438,4586.398688,6608.214286,,,,,,
96,0,62.348832,1702.801858,3973.204334,5738.355024,,,,,,
97,0,66.43728,1586.406011,3701.614025,5354.457315,,,,,,
98,0,51.1056,1329.695213,3102.622163,4483.422976,,,,,,
99,0,64.393056,1157.001469,2699.670095,3921.06462,,,,,,
100,0,73.592064,1110.030328,2590.070765,3773.693157,,,,,,
101,0,72.569952,1095.44034,2556.027461,3724.037754,,,,,,
102,0,97.10064,1182.703383,2759.641227,4039.445251,,,,,,
103,0,178.8696,1349.945288,3149.872338,4678.687226,,,,,,
104,0,234.063648,1441.435419,3363.34931,5038.848376,,,,,,
105,0,286.19136,1629.318791,3801.743845,5717.253995,,,,,,
106,0,393.51312,1647.20573,3843.480036,5884.198886,,,,,,
107,0,474.259968,1719.880217,4013.05384,6207.194024,,,,,,
108,0,513.100224,1762.771771,4113.134131,6389.006126,,,,,,
109,0,477.326304,1734.04701,4046.109689,6257.483003,,,,,,
110,0,458.928288,1932.821805,4509.917545,6901.667638,,,,,,
111,0,414.977472,1833.997968,4279.328593,6528.304033,,,,,,
112,0,346.495968,2096.6721,4892.2349,7335.402968,,,,,,
113,0,288.235584,1734.451687,4047.053936,6069.741207,,,,,,
114,0,201.356064,2339.705069,5459.311827,8000.37296,,,,,,
115,0,153.3168,3187.458071,7437.402165,10778.17704,,,,,,
116,0,140.029344,2581.624585,6023.790698,8745.444627,,,,,,
117,0,112.43232,2053.574974,4791.67494,6957.682234,,,,,,
118,0,80.746848,1611.876166,3761.044387,5453.667401,,,,,,
119,0,56.21616,1547.07892,3609.850813,5213.145893,,,,,,
120,0,62.348832,1205.336299,2812.451363,4080.136494,,,,,,
121,0,66.43728,1089.524633,2542.224143,3698.186056,,,,,,
122,0,51.1056,1136.321158,2651.416035,3838.842792,,,,,,
123,0,64.393056,1123.501698,2621.503962,3809.398716,,,,,,
124,0,73.592064,1095.672564,2556.569315,3725.833943,,,,,,
125,0,72.569952,1222.932855,2853.509995,4149.012802,,,,,,
126,0,97.10064,1258.032544,2935.409269,4290.542453,,,,,,
127,0,178.8696,1651.59431,3853.720057,5684.183967,,,,,,
128,0,234.063648,1745.088787,4071.873835,6051.02627,,,,,,
129,0,286.19136,1868.319413,4359.411964,6513.922737,,,,,,
130,0,393.51312,1620.756422,3781.764984,5796.034526,,,,,,
131,0,474.259968,1389.948766,3243.213788,5107.422522,,,,,,
132,0,513.100224,1410.084205,3290.196479,5213.380909,,,,,,
133,0,477.326304,1362.700422,3179.634319,5019.661045,,,,,,
134,0,458.928288,1391.118724,3245.943688,5095.9907,,,,,,
135,0,414.977472,1441.132565,3362.642652,5218.75269,,,,,,
136,0,346.495968,1722.744205,4019.736479,6088.976652,,,,,,
137,0,288.235584,2220.64225,5181.498584,7690.376418,,,,,,
138,0,201.356064,2301.931375,5371.173209,7874.460649,,,,,,
139,0,153.3168,2480.951321,5788.886415,8423.154536,,,,,,
140,0,140.029344,2191.698731,5113.963705,7445.691779,,,,,,
141,0,112.43232,2197.394347,5127.253476,7437.080142,,,,,,
142,0,80.746848,2147.368901,5010.527435,7238.643183,,,,,,
143,0,56.21616,1679.557119,3918.966611,5654.73989,,,,,,
144,0,62.348832,1544.166441,3603.055028,5209.570301,,,,,,
145,0,66.43728,1471.125905,3432.627112,4970.190297,,,,,,
146,0,51.1056,1255.242324,2928.898755,4235.246679,,,,,,
147,0,64.393056,1154.347473,2693.477438,3912.217968,,,,,,
148,0,73.592064,1078.338497,2516.123159,3668.05372,,,,,,
149,0,72.569952,1292.329555,3015.435628,4380.335135,,,,,,
150,0,97.10064,1310.911016,3058.792371,4466.804027,,,,,,
