hour_ending,cooling,poolpump,plugload,other,total
1.0,0.0,99.95986,3485.86824294,8133.69256686,11719.5206698
2.0,0.0,76.8922,3184.95197919,7431.55461811,10693.3987973
3.0,0.0,96.884172,3095.88352782,7223.72823158,10416.4959314
4.0,0.0,110.724768,2856.99237935,6666.31555181,9634.03269915
5.0,0.0,109.186924,2789.89004532,6509.74343909,9408.82040841
6.0,0.0,146.09518,2661.8737053,6211.03864569,9019.00753099
7.0,0.0,269.1227,2707.24579141,6316.90684663,9293.27533804
8.0,0.0,352.166276,2688.9614618,6274.24341088,9315.37114868
9.0,0.0,430.59632,2530.18383346,5903.76227807,8864.54243153
10.0,0.0,592.06994,2587.79997555,6038.19994295,9218.0698585
11.0,0.0,713.559616,2797.13069052,6526.63827788,10037.3285844
12.0,0.0,771.997688,2855.06737746,6661.82388074,10288.8889462
13.0,0.0,718.173148,2658.17563709,6202.40981989,9578.75860498
14.0,0.0,690.491956,2449.45110458,5715.38591068,8855.32897126
15.0,0.0,624.364664,2259.46388297,5272.08239359,8155.91094056
16.0,0.0,521.329116,2391.27374574,5579.63874006,8492.2416018
17.0,0.0,433.672008,2697.59281388,6294.38323238,9425.64805426
18.0,0.0,302.955268,3700.68677157,8634.93580033,12638.5778399
19.0,0.0,230.6766,3782.45899713,8825.73765997,12838.8732571
20.0,0.0,210.684628,3990.39910128,9310.93123632,13512.0149656
21.0,0.0,169.16284,3960.67042764,9241.56433116,13371.3975988
22.0,0.0,121.489676,3769.38149055,8795.22347795,12686.0946445
23.0,0.0,84.58142,3547.52469822,8277.55762918,11909.6637474
24.0,0.0,93.808484,3126.42222063,7294.98518147,10515.2158861
25.0,0.0,99.95986,2729.16916201,6368.06137802,9197.19040003
26.0,0.0,76.8922,2568.3666225,5992.85545249,8638.11427499
27.0,0.0,96.884172,2546.80089813,5942.53542898,8586.22049911
28.0,0.0,110.724768,2335.88377314,5450.39547067,7897.00401181
29.0,0.0,109.186924,2435.89631682,5683.75807259,8228.84131341
30.0,0.0,146.09518,2559.82914732,5972.93467707,8678.85900439
31.0,0.0,269.1227,2545.72596446,5940.02725042,8754.87591488
32.0,0.0,352.166276,2458.60085225,5736.73532191,8547.50245016
33.0,0.0,430.59632,2307.97229516,5385.2686887,8123.83730386
34.0,0.0,592.06994,2409.22278134,5621.51982311,8622.81254445
35.0,0.0,713.559616,2289.48687073,5342.1360317,8345.18251843
36.0,0.0,771.997688,2010.81330845,4691.89771973,7474.70871618
37.0,3.64454635717,718.173148,1844.77419502,4304.47312171,6871.06501109
38.0,2.53640726209,690.491956,1766.38401132,4121.56269309,6580.97506767
39.0,51.8518505025,624.364664,1750.58988212,4084.70972494,6511.51612156
40.0,38.9006344634,521.329116,2033.64243124,4745.16567288,7339.03785458
41.0,3.64454635717,433.672008,2445.50111733,5706.16927377,8588.98694546
42.0,0.0,302.955268,3458.80650156,8070.54850364,11832.3102732
43.0,0.0,230.6766,4038.14355555,9422.33496295,13691.1551185
44.0,0.0,210.684628,4191.86553768,9781.01958792,14183.5697536
45.0,0.0,169.16284,4093.22430927,9550.85672163,13813.2438709
46.0,0.0,121.489676,4033.53909726,9411.59122694,13566.6200002
47.0,0.0,84.58142,3648.4136661,8512.9652209,12245.960307
48.0,0.0,93.808484,3004.24845777,7009.91306813,10107.9700099
49.0,0.0,99.95986,2587.35273395,6037.15637921,8724.46897316
50.0,0.0,76.8922,2397.42065974,5593.98153938,8068.29439912
51.0,0.0,96.884172,2374.76016137,5541.10704319,8012.75137656
52.0,0.0,110.724768,2274.09753246,5306.22757574,7691.0498762
53.0,0.0,109.186924,2283.19432887,5327.45343404,7719.83468691
54.0,0.0,146.09518,2316.02892209,5404.06748489,7866.19158698
55.0,0.0,269.1227,2353.13044252,5490.63769922,8112.89084174
56.0,0.0,352.166276,2377.96253381,5548.57924555,8278.70805536
57.0,0.0,430.59632,2477.64110272,5781.16257301,8689.39999573
58.0,0.0,592.06994,2479.85646483,5786.33175127,8858.2581561
59.0,0.0985012528966,713.559616,2391.65878172,5580.53715735,8685.85405632
60.0,2.53640726209,771.997688,2297.2077744,5360.15147359,8431.89334325
61.0,197.266956278,718.173148,2315.84220284,5403.63180664,8634.91411376
62.0,130.888913651,690.491956,2230.96069608,5205.57495752,8257.91652325
63.0,152.130727487,624.364664,2190.56638832,5111.32157276,8078.38335257
64.0,177.731799491,521.329116,2360.13048694,5506.97113618,8566.16253861
65.0,19.4738104049,433.672008,2705.7796936,6313.48595174,9472.41146374
66.0,0.0,302.955268,3520.19092737,8213.77883053,12036.9250259
67.0,0.0,230.6766,3865.65620928,9019.86448832,13116.1972976
68.0,0.0,210.684628,4088.66535774,9540.21916806,13839.5691538
69.0,0.0,169.16284,3878.42549457,9049.65948733,13097.2478219
70.0,0.0,121.489676,3899.32464483,9098.42417127,13119.2384921
71.0,0.0,84.58142,3379.98411234,7886.62959546,11351.1951278
72.0,0.0,93.808484,2900.92677633,6768.82914476,9763.56440509
73.0,0.0,99.95986,2525.93143425,5893.84001324,8519.73130749
74.0,0.0,76.8922,2396.26520921,5591.28548815,8064.44289736
75.0,0.0,96.884172,2337.05598503,5453.13063174,7887.07078877
76.0,0.0,110.724768,2336.12689705,5450.96275977,7897.81442482
77.0,0.0,109.186924,2237.52356311,5220.88831394,7567.59880105
78.0,0.0,146.09518,2407.97852489,5618.61655807,8172.69026296
79.0,0.0,269.1227,2543.77991833,5935.4864761,8748.38909443
80.0,0.0,352.166276,2362.69838909,5512.96290787,8227.82757296
81.0,0.0,430.59632,2571.17176446,5999.40078373,9001.16886819
82.0,0.0,592.06994,2686.19586328,6267.79034764,9546.05615092
83.0,0.0,713.559616,2802.38994384,6538.90986896,10054.8594288
84.0,0.0,771.997688,2830.96378959,6605.58217571,10208.5436533
85.0,36.4627284543,718.173148,2641.5251994,6163.55879859,9559.71987444
86.0,70.170535466,690.491956,2748.1625846,6412.37936406,9921.20444013
87.0,97.1811066391,624.364664,2614.58161751,6100.69044085,9436.817829
88.0,90.7054986196,521.329116,2528.74409227,5900.40288197,9041.18158886
89.0,54.6829121648,433.672008,2975.66499309,6943.21831721,10407.2382305
90.0,0.0,302.955268,3797.48014983,8860.78701627,12961.2224341
91.0,0.0,230.6766,4222.14649332,9851.67515108,14304.4982444
92.0,0.0,210.684628,3915.43957947,9136.02568543,13262.1498929
93.0,0.0,169.16284,3814.29700101,8900.02633569,12883.4861767
94.0,0.0,121.489676,3682.58632851,8592.70143319,12396.7774377
95.0,0.0,84.58142,3438.66896148,8023.56091012,11546.8112916
96.0,0.0,93.808484,2982.17313882,6958.40399058,10034.3856134
97.0,0.0,99.95986,2738.96015815,6390.90703569,9229.82705385
98.0,0.0,76.8922,2529.993538,5903.31825532,8510.20399332
99.0,0.0,96.884172,2264.99225842,5284.9819363,7646.85836672
100.0,0.0,110.724768,2358.08040625,5502.18761459,7970.99278884
101.0,0.0,109.186924,2245.79410163,5240.18623715,7595.16726278
102.0,0.0,146.09518,2179.13843461,5084.65634741,7409.88996202
103.0,0.0,269.1227,2397.64571246,5594.5066624,8261.27507486
104.0,0.0,352.166276,2538.02307171,5922.05383399,8812.2431817
105.0,0.0,430.59632,2401.32338863,5603.0879068,8435.00761543
106.0,0.0,592.06994,2499.85927986,5833.00498634,8924.9342062
107.0,0.0,713.559616,2663.15830444,6214.03604369,9590.75396413
108.0,0.0,771.997688,2594.90235828,6054.77216933,9421.67221561
109.0,55.8895525128,718.173148,2498.84298647,5830.63363511,9103.53932209
110.0,115.499791603,690.491956,2309.06847135,5387.82643316,8502.88665211
111.0,148.985970795,624.364664,2197.47874281,5127.45039989,8098.2797775
112.0,120.645632708,521.329116,2054.48099571,4793.78898999,7490.24473441
113.0,41.7316961258,433.672008,2544.89696456,5938.09291732,8958.39358601
