hour_ending,cooling,poolpump,plugload,other,total
1.0,0.0,149.03889,735.997183923,1717.32676249,2602.36283641
2.0,0.0,114.6453,744.568985529,1737.3276329,2596.54191843
3.0,0.0,144.453078,743.515029048,1734.86840111,2622.83650816
4.0,0.0,165.089232,772.791786726,1803.18083569,2741.06185442
5.0,0.0,162.796326,754.993146729,1761.6506757,2679.44014843
6.0,0.0,217.82607,710.363074464,1657.51384042,2585.70298488
7.0,0.0,401.25855,698.930157105,1630.83703324,2731.02574035
8.0,0.0,525.075474,651.367589157,1519.85770803,2696.30077119
9.0,0.0,642.01368,247.097857602,576.561667738,1465.67320534
10.0,0.0,882.76881,125.854963818,293.661582242,1302.28535606
11.0,0.0,1063.908384,92.890005369,216.743345861,1373.54173523
12.0,0.0,1151.038812,38.896869912,90.759363128,1280.69504504
13.0,0.0,1070.787102,5.706615459,13.315436071,1089.80915353
14.0,0.0,1029.514794,63.828861663,148.934010547,1242.27766621
15.0,0.0,930.919836,31.168458777,72.726403813,1034.81469859
16.0,0.0,777.295134,339.669174849,792.561407981,1909.52571683
17.0,0.0,646.599492,231.228505455,539.533179395,1417.36117685
18.0,0.0,451.702482,643.945173303,1502.53873771,2598.18639301
19.0,0.0,343.9359,964.644618771,2250.8374438,3559.41796257
20.0,0.0,314.128122,936.304779591,2184.71115238,3435.14405397
21.0,0.0,252.21966,934.195453593,2179.78939172,3366.20450531
22.0,0.0,181.139574,921.549722262,2150.28268528,3252.97198154
23.0,0.0,126.10983,878.845078245,2050.63851591,3055.59342415
24.0,0.0,139.867266,781.201418289,1822.80330934,2743.87199363
25.0,0.0,149.03889,722.749519629,1686.4155458,2558.20395543
26.0,0.0,114.6453,727.28679537,1697.00252253,2538.9346179
27.0,0.0,144.453078,753.511010808,1758.19235855,2656.15644736
28.0,0.0,165.089232,714.261212514,1666.60949587,2545.95994038
29.0,0.0,162.796326,763.363266504,1781.18095518,2707.34054768
30.0,0.0,217.82607,745.108051974,1738.58545461,2701.51957658
31.0,0.0,401.25855,686.224449522,1601.19038222,2688.67338174
32.0,0.0,525.075474,618.368863491,1442.86068148,2586.30501897
33.0,0.0,642.01368,163.155857445,380.697000705,1185.86653815
34.0,0.0,882.76881,41.852750688,97.656418272,1022.27797896
35.0,0.0,840.789945305,28.0263315102,65.3947735237,934.211050339
36.0,0.0,688.361684248,22.9453894749,53.5392421082,764.846315831
37.0,0.0,726.505221612,24.2168407204,56.5059616809,807.228024013
38.0,0.0,716.233349542,23.8744449847,55.7070382977,795.814832824
39.0,2.77077150143,650.260910864,21.6753636955,50.5758486227,725.282894683
40.0,2.02638512791,777.295134,45.7022424063,106.638565615,931.662327149
41.0,0.0,646.599492,153.941793891,359.197519079,1159.73880497
42.0,0.0,451.702482,514.771382751,1201.13322642,2167.60709117
43.0,0.0,343.9359,826.956322281,1929.56475199,3100.45697427
44.0,0.0,314.128122,854.173448334,1993.07137945,3161.37294978
45.0,0.0,252.21966,911.267211837,2126.29016095,3289.77703279
46.0,0.0,181.139574,933.572456133,2178.33573098,3293.04776111
